d,k,MSE,ES,NES,precision,recall
1,56,0.11049480644899053,0.5151430223811944,1.4854201161608198,0.08536588677745108,0.0004814065222603114
2,56,0.09057152270258,0.5325360644012749,1.5314211992519982,0.08815442340720116,0.000497132004321116
3,56,0.08045678491443602,0.5693365908244473,1.5544006802330004,0.08952152342233641,0.0005048415343068353
4,56,0.07249748905324886,0.6101992577788616,1.6593667671548156,0.09580515476606516,0.0005402770135895196
5,56,0.06730708729616694,0.5723492586654613,1.5428380042802508,0.0945103015599595,0.000532974907299521
6,56,0.06263549862651793,0.6076664083179123,1.6424268303042728,0.10048310639116638,0.0005663973595438025
7,56,0.05876738910124004,0.5852176687566312,1.577754234063858,0.10212124238321854,0.000575631109711319
8,56,0.05533879122531728,0.5862506371042495,1.572027251121471,0.10434617698413534,0.0005879023166245793
9,56,0.05302266097960797,0.5596567081296417,1.4862247834654292,0.10404579419797377,0.0005862099140760376
10,56,0.05112419709549546,0.5655848228838263,1.5258385742592366,0.10627404116004043,0.0005987641981798993
11,56,0.0497100782342092,0.5518917054957044,1.4879179023988356,0.10648097829879472,0.0005999301136622442
12,56,0.04832259157951401,0.5583182233377474,1.501428642986172,0.10794641705432963,0.0006076276246352109
13,56,0.047217455686120166,0.5567235705102057,1.4915582992796148,0.1081712555419908,0.0006091733144246483
14,56,0.04648389878512235,0.5523229851270478,1.478110012444793,0.10774559409840771,0.0006067761748970441
15,56,0.04585255024829637,0.5613057878118204,1.4945407226206244,0.10811611407196614,0.0006083029079022682
16,56,0.045118878283746035,0.5542010659735161,1.4933611994844038,0.10795427116807087,0.0006076718352408654
17,56,0.045023470932015024,0.5600215223199776,1.483275883340923,0.10856726714185866,0.0006111223739213308
18,56,0.044433151338461555,0.5477193754391539,1.4734058201608977,0.10950767962799972,0.00061556531182651
19,56,0.04394545878974608,0.5592873028199378,1.5023462510638554,0.10958393374403878,0.0006162776894070992
20,56,0.04356611677335397,0.5642053109115734,1.5008514113681146,0.11047096812840952,0.0006218382581538888
21,56,0.043214299327521286,0.558939604039919,1.5022078561586965,0.11124515471201943,0.0006256200572594253
22,56,0.04321781596125525,0.5623848034429185,1.510044306415148,0.11112596161677289,0.0006249497396058959
23,56,0.04293829312312608,0.5551803791018411,1.4765157034057605,0.11051630424880142,0.0006209488478465395
24,56,0.04277173635749158,0.5551662944561466,1.4865733116465503,0.11088621591954377,0.0006221659120742055
25,56,0.04288094818449163,0.5497018017589679,1.479594847979925,0.11083085694602211,0.000622142267174265
26,56,0.04245054549079885,0.5398348358227056,1.4434649992952266,0.11054151815716956,0.0006196594310185805
27,56,0.04281260289045585,0.5423729317409889,1.4524372118158395,0.11161899312788062,0.0006265664216429283
28,56,0.04236043965670298,0.5378340837339209,1.4471717735919156,0.11055833408182301,0.0006197536955671097
29,56,0.04227120383323872,0.5324673781482608,1.432436573866086,0.11092086356882977,0.0006212115186822369
30,56,0.042605395278379976,0.5341185417137595,1.4455285473617094,0.11142205681133897,0.0006243069446624105
31,56,0.04276635965636121,0.528469292896089,1.4257520732300706,0.11098127514929076,0.0006218372087719443
32,56,0.04262756815067771,0.5290546614085616,1.4265992339448297,0.11074127579816709,0.0006199190045871668
33,56,0.04247344934528931,0.5295248821978502,1.421922876516485,0.11205072146709762,0.0006263787819444657
34,56,0.042448116716126895,0.5305164621736184,1.430929471143954,0.11117148577335087,0.0006214637347615442
35,56,0.04252274231559811,0.5283267729587563,1.4224510639816181,0.11170465340544634,0.0006244442143835539
36,56,0.04245521874770436,0.5296464501837683,1.4181525674378386,0.1119751433976923,0.0006253764326408597
37,56,0.04248694402196605,0.530673041690235,1.4174358276143117,0.11136834334802176,0.0006216991224038748
38,56,0.04247086972504027,0.5271773586799603,1.4112135000868578,0.11219940221012017,0.0006260478896855878
39,56,0.042546663082076684,0.5310776028413485,1.4230017748628083,0.11319969123129182,0.0006316292815508261
40,56,0.0425322972279039,0.5365019553354748,1.4316506323788316,0.1126010250599072,0.0006282888565054271
41,56,0.042892261769614665,0.5356727628470649,1.4271767163594142,0.11234526259426127,0.0006274435326755534
42,56,0.042847893400439756,0.5279117481764609,1.4173083128853112,0.11201468819620364,0.0006241471326880043
43,56,0.042948538448264115,0.5350636698765247,1.4334080625464165,0.11239666474957954,0.0006259844902239824
44,56,0.04314337818101533,0.5376081585583338,1.433690773152405,0.11191439680034718,0.0006232985363567194
45,56,0.043044775599187714,0.5471216932592577,1.4603688343260035,0.11167191825226806,0.000621080639864407
46,56,0.04300829387162716,0.538026189639294,1.4408894972584534,0.11199021707950382,0.0006222709723383164
47,56,0.04299207964468738,0.5378843547007608,1.427459220900381,0.11208135115547484,0.0006227773566596128
48,56,0.04292030135376688,0.5349483285178726,1.4403482907822325,0.11208927145700802,0.0006225311413180246
49,56,0.042941601159519546,0.5331417407821124,1.4232193708300631,0.11267940183564296,0.0006258086587232381
50,56,0.04292482234684942,0.5344152128541917,1.4273842969588297,0.11235759098298174,0.0006243122766780217
51,56,0.04300644518872797,0.5341258221024429,1.4270148126292739,0.1123943065359224,0.0006245162857729599
52,56,0.04316976212160118,0.5344285285958633,1.4318671747002185,0.11267570421431866,0.0006263716079813943
53,56,0.04319696762708125,0.5354508560898794,1.424215764662845,0.11266392896923029,0.000626306148623924
54,56,0.04320572543000426,0.534830250371249,1.428838750784306,0.11239771644603419,0.0006242442099155481
29,1,0.11420745246317386,0.10814146186664786,1.5233080535828318,NaN,0.0
29,2,0.07778184560849849,0.7114522214978566,1.4485545032705824,0.1364031958251936,0.00038496458833777206
29,3,0.07149765880053714,0.6556556884592277,1.4674315746063107,0.12290599236198108,0.00046238997582171234
29,4,0.06810341700837035,0.6294961438614444,1.4613459053210112,0.11848280413812669,0.0005043440199346485
29,5,0.06540608142424789,0.6175239737749311,1.4818475715022459,0.12431659840400759,0.0005658713776597689
29,6,0.0633331530631724,0.6054523587000319,1.460402115463515,0.12366194737241347,0.0005862652651337308
29,7,0.06228759728754107,0.6035283194057567,1.4926280287664366,0.12201943207560383,0.0005971185207834247
29,8,0.060160358111406825,0.5913953325062615,1.4714158656133096,0.12445849294205526,0.0006203331786188462
29,9,0.05894194073248041,0.5823689552862907,1.4519763537025656,0.12203821563454165,0.0006193293458678606
29,10,0.05757963645001811,0.5844846885002302,1.4713854795050156,0.12234595936785107,0.0006300777626578281
29,11,0.05623959149749482,0.5837062277604473,1.4764738464845677,0.12165862667212095,0.0006337830562801834
29,12,0.05512491121842424,0.5979947783871964,1.5147248253069927,0.1218214302080845,0.0006384162612143541
29,13,0.054132261689954206,0.5886311267800526,1.50522184048011,0.12179386091625821,0.0006445788152557941
29,14,0.05315980105938072,0.5881741285641008,1.5239785706601192,0.12133042555967533,0.0006449535070375476
29,15,0.052394404384447535,0.5845174929673485,1.4979010286763297,0.1217344525455242,0.0006511987565482864
29,16,0.05165063883852722,0.5701136415328094,1.4587021552171044,0.12177082525324147,0.0006539156626737959
29,17,0.05090308651397943,0.5706202017723635,1.4701190772645063,0.12202266929787836,0.0006581115752518815
29,18,0.04991920047926676,0.5699423595615253,1.4746415585189645,0.12187081288598768,0.0006601325179627105
