d,k,invNES,MSE,ES,NES,precision,recall
1,91,0.6626539061388925,0.09369586795655957,0.5266914972395298,1.5090833853628558,0.08557604012149467,0.043915839840918035
2,91,0.6332429202133916,0.07631671947912165,0.5519502890767657,1.5791728072743678,0.09186772823136459,0.04714460302007167
3,91,0.621474817597586,0.06680916558337531,0.5796317971790821,1.6090756563003885,0.09231172867536504,0.047372454792137045
4,91,0.6245503505860448,0.05858673105926594,0.5795110539825926,1.6011519312440594,0.09837132564405292,0.05048211363589287
5,91,0.6174531384613782,0.052658493157854924,0.5818690935827067,1.619556105086589,0.09989505444050899,0.051264059490026305
6,91,0.6119870539226024,0.046685010841500924,0.5937461200940074,1.6340214937397504,0.09904741722923541,0.05082906974335605
7,91,0.6088956489742162,0.04198891711491539,0.5953777066688867,1.642317532872279,0.09859332586605314,0.050596039521925554
8,91,0.6315696983142111,0.03769566183694185,0.579878916375773,1.5833565205379627,0.09829059829059829,0.05044068604097189
9,91,0.6494069299418644,0.03406691288764491,0.5607716479268356,1.539866536517436,0.09784659784659784,0.05021283426890652
10,91,0.6379241349605016,0.030861422760672916,0.567129967941927,1.5675845217267363,0.0975085520540066,0.05003935621517493
11,91,0.6499012399072159,0.027802922052254157,0.5581362888777303,1.5386953256817395,0.09756909756909757,0.05007042691136566
12,91,0.6563669735800857,0.025077474204488814,0.5576396180529107,1.523537960092056,0.09871441689623507,0.05065818091430702
13,91,0.6597162809508191,0.022562287360729166,0.5576974487416071,1.5158031245776524,0.09806355260900715,0.050324170930256644
14,91,0.6575880379696624,0.020277847224088114,0.5522112598299854,1.5207089275643648,0.09682236954964228,0.049687221658346624
7,1,0.7707904928089092,0.07336649890310658,0.6235187196071952,1.2973694010622876,0.10835629017447199,0.0006110570250844088
7,2,0.6880910146315181,0.06744979423146326,0.6308971127912633,1.4532961174264327,0.11570247933884298,0.0013049692400107712
7,3,0.6951305833367948,0.061638279234153756,0.5945966829693415,1.438578626766439,0.11218243036424855,0.0018979016923172526
7,4,0.6512094015821782,0.05844912888771853,0.6214513103291456,1.5356043656163445,0.11248852157943066,0.002537440188909833
7,5,0.6239222467265887,0.05509412023184489,0.6342952078250025,1.6027638143158145,0.10808080808080808,0.0030475174513743607
7,6,0.6170922853846434,0.05258162365671141,0.6334334189487394,1.620503162467319,0.10606060606060606,0.003588665410029621
7,7,0.6387608307570434,0.050517182424453744,0.6115895378327969,1.5655311845199162,0.10455201364292273,0.00412722414400232
7,8,0.6171445535195399,0.048763391422523346,0.6279634872049373,1.6203659163757624,0.10565886134067952,0.0047667626405949
7,9,0.6273323490531602,0.0475476651643583,0.6105240548076308,1.5940513852175986,0.10453014998469544,0.005305321374567599
