"embedding1","embedding2","embedding3","embedding4","embedding5","embedding6","embedding7","embedding8","embedding9","embedding10","embedding11","embedding12","embedding13","embedding14"
-0.44231358,0.5478376,-0.49855363,-0.52395856,0.5778521,-0.13058388,-0.3609143,-0.3554517,-0.11938038,-0.34067872,0.19735855,-0.28437304,0.57388926,-0.11391144
0.17212671,-0.43407312,-0.42422363,0.059046615,0.17471354,0.30406386,0.010524552,0.5592575,0.08950446,-0.35484612,0.05649102,-0.65500975,-0.11312336,-0.10463324
-0.17814596,0.2878454,0.03165621,-0.81769055,0.45148236,0.34934583,0.22723514,0.052565344,0.47634414,-0.32531434,0.0045424295,-0.12037556,0.39311433,0.18852928
-0.062971324,-0.15605873,0.45102316,0.5433434,-0.43887487,-0.045303475,-0.3010322,-0.380774,0.21363828,0.09170156,0.23405926,-0.2660148,-0.013359593,-0.15356086
0.59427327,-0.12790966,0.4395223,-0.3400455,-0.16434512,-0.07684807,-0.07661427,-0.14870141,0.33589005,-0.037040096,0.45258453,0.26701906,-0.22420624,-0.020623337
0.31514364,0.3569326,0.19981578,-0.5311845,0.0007682013,-0.18328562,-0.43121484,-0.27849337,0.06700467,0.047367062,0.7351235,0.35261816,0.502644,-0.044768024
-0.17870791,0.49490932,-0.17221922,0.3682819,0.44800305,-0.18571419,0.26222476,-0.7332251,0.17012388,0.048805706,0.46163353,0.021785531,-0.36207116,-0.15152386
-0.33951974,0.18500148,-0.56392884,-0.18488772,0.49295744,-0.465133,0.1977577,-0.19394056,-0.1364348,-0.3247103,-0.3066786,-0.16148199,-0.46003342,-0.098121405
-0.04136713,-0.13368379,-0.21176615,0.2768448,0.576859,-0.17286974,0.011549914,0.11527996,0.2991373,-0.42069423,-0.034667954,-0.10475184,-0.43040982,-0.12247291
0.39789134,0.23353651,-0.06981144,-0.35641515,-0.45836312,0.07306561,0.110005274,-0.63916725,0.39656106,0.14923608,0.62289304,0.2575109,-0.28728437,0.18124644
0.37316978,0.27271906,-7.353723e-05,-0.11349681,-0.011753141,0.044462483,-0.4483716,-0.41506958,0.15179993,-0.026376592,0.6883271,0.49610034,0.4079544,-0.4563524
-0.4835017,0.28455073,-0.5994651,-0.7304193,0.5168692,-0.14535838,-0.24016519,0.15993264,0.22550578,-0.03504959,0.14903569,0.06477777,0.6780187,-0.13744828
-0.0022988017,-0.2712695,-0.2846762,-0.5217508,0.51829046,-0.307945,0.35388064,0.07816778,0.053399406,-0.14066528,0.085420325,-0.5735421,-0.49407002,-0.11269201
-0.4316769,0.11238872,0.07886655,-0.34663212,0.2660672,-0.66487646,-0.17105617,0.1480731,0.17544656,-0.18440124,-0.289131,0.3180505,-0.26766828,0.05932125
0.053375527,-0.6874015,-0.4014717,0.14146037,-0.16398992,-0.11942234,0.38356432,0.538222,-0.2622245,0.26177582,-0.11929432,-0.45503014,-0.10002648,-0.36598602
-0.20860983,0.22758396,0.28698495,-0.5087841,0.37161312,-0.4958584,0.28967032,-0.3566876,0.07716849,-0.39895847,0.014838217,0.47655857,-0.06495825,-0.30036998
-0.35116673,0.2160199,0.5397776,0.0068737045,0.28469723,-0.28017572,0.1075346,-0.4504302,0.08142671,-0.010579858,-0.2060742,0.041011196,-0.010769717,-0.4083455
