"","k","ES"
"1",3,0.693397129186603
"2",4,0.683007074120747
"3",5,0.690653225551469
"4",6,0.684595266802966
"5",7,0.664012129767134
"6",8,0.666617125290898
"7",9,0.655146891595878
"8",10,0.656311122026566
"9",11,0.660604337445878
"10",12,0.658310160874909
"11",13,0.658702301559444
"12",14,0.650571854633502
"13",15,0.647855609716957
"14",16,0.642337454790142
"15",17,0.641475189153436
"16",18,0.643458249667216
"17",19,0.640241333013899
"18",20,0.630966240826185
"19",21,0.63233227850283
"20",22,0.633824440906403
"21",23,0.634541529297038
"22",24,0.627865869571667
"23",25,0.628219065734496
"24",26,0.627477430735706
"25",27,0.626424034008647
"26",28,0.62479201828383
"27",29,0.624961602785078
"28",30,0.628422351918217
"29",31,0.62239448307437
"30",32,0.625994238681755
"31",33,0.624842237265457
"32",34,0.623571385901092
"33",35,0.617427663446231
"34",36,0.6187628970876
"35",37,0.61635252329105
"36",38,0.612981358264377
"37",39,0.610952665486943
"38",40,0.608244469190683
"39",41,0.607803854365906
"40",42,0.608703101937137
"41",43,0.606083617173845
"42",44,0.603996966624628
"43",45,0.606094519675475
"44",46,0.603608923452505
"45",47,0.599593335872295
"46",48,0.599787716895208
"47",49,0.599495979363169
"48",50,0.59876006609736
"49",51,0.595038505480637
"50",52,0.592452947658014
"51",53,0.597433103476934
