index,label,rlabel
1,ADF/Cofilin,ADF.Cofilin
2,Arhgef8,Arhgef8
3,BMP,BMP
4,Col9a1,Col9a1
5,Daam,Daam
6,Ddr,Ddr
7,Depdc,Depdc
8,Dync2h,Dync2h
9,EPB4.1,EPB4.1
10,Eph,Eph
11,Ets,Ets
12,Farp,Farp
13,FGF4,FGF4
14,Fgfr,Fgfr
15,Foxf,Foxf
16,FZD,Fzd
17,Gata,Gata
18,Gna-L/S,GNA.L.S
19,Gna12/13,Gna12.13
20,Hand,Hand
21,Handr,Handr
22,MRF,MRF
23,NDE,NDE
24,Paxillin,Paxillin
25,Rab5,Rab5
26,Rabep,Rabep
27,Rho,Rho
28,RNF149,RNF149
29,Rock,Rock
30,TLE,TLE
31,Tol,Tol
32,Tyrosinase,Tyrosinase
33,Vangl,Vangl
34,5HTR,5HTR
