d,k,MSE,ES,NES,precision,recall
1,6,0.13411896140840676,0.30416035160210997,1.3019122456600647,0.08224077100695927,0.00046314413939385325
2,6,0.11271532976719935,0.2631705758971379,1.1323473923324112,0.08961674082581829,0.0005037542316549586
3,6,0.10055935619255961,0.37956974719547015,1.3581938801616358,0.09165123612649963,0.0005128174940172487
4,6,0.09182572533827592,0.4168042357320759,1.393642118785275,0.10227409514072401,0.0005696076253901893
5,6,0.08535680854849272,0.3761931613151791,1.3253104482065594,0.10075150124902117,0.0005564320280986862
6,6,0.08036285647038688,0.401980574490686,1.3476106232527878,0.11205752653170675,0.0006124900017307231
7,6,0.07765077404937874,0.4122487457125529,1.3227692654748529,0.11153047343243551,0.0006078765420782069
8,6,0.07387142410573518,0.39614891988259565,1.2282882498133818,0.1198059649849106,0.0006477071247397657
9,6,0.07147479085642146,0.40078181951916003,1.2168078179838877,0.11580554579014878,0.0006191831826145402
10,6,0.0693747307924697,0.4408194056306972,1.340997067156411,0.12105912367042526,0.0006419441071240728
11,6,0.068689200639854,0.414291666621116,1.2562646215947957,0.11671090763915994,0.0006125406761619849
11,1,0.11420745246317386,0.10814146186664786,1.5462529791544077,NaN,0.0
11,2,0.08423665057699363,0.5540868908098048,1.1542418519171498,0.12856448511244356,0.0004380731570105218
11,3,0.07949331060520666,0.47643953317528026,1.1980478026114307,0.1166871800098006,0.0005247986403386281
11,4,0.07589381304802485,0.46381275307404224,1.2647457903442823,0.12244382933103422,0.0006071212305262612
11,5,0.07154442274512575,0.4394306412728155,1.2801164816544357,0.1189535665001544,0.000611067060754361
11,6,0.068689200639854,0.414291666621116,1.2572611161378189,0.11671090763915994,0.0006125406761619849
11,7,0.06632731319459789,0.4035133887208246,1.2396182440951158,0.11511175073861521,0.0006136853335201252
11,8,0.06444366887972876,0.40916902313384457,1.2805891606243864,0.1133172963102682,0.0006108670042618079
11,9,0.062462361708361745,0.40493494751660086,1.284615910734414,0.11447882794169531,0.000622760365975262
11,10,0.06142971156762229,0.3727194942772911,1.195415144457472,0.11511100065509616,0.0006318622775566105
11,11,0.05982107932271286,0.3720844971791829,1.2142890717507802,0.11418314891095688,0.0006294299667321581
6,11,0.07099291678412749,0.4155976565806987,1.5532241440483547,0.10869115272542612,0.0006073169096605774
7,11,0.06712421128587732,0.3916636092119807,1.4084971512225206,0.10772227224072484,0.0005999508243827265
8,11,0.06517583794011031,0.4037801935190186,1.3464242364963674,0.11190655461623428,0.0006226753574949962
9,11,0.06303794728451535,0.4273214418832648,1.4244188465745093,0.109354025897777,0.0006067736124317379
