Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34
ADF.Cofilin->ADF.Cofilin,Arhgef8->ADF.Cofilin,BMP->ADF.Cofilin,Col9a1->ADF.Cofilin,Daam->ADF.Cofilin,Ddr->ADF.Cofilin,Depdc->ADF.Cofilin,Dync2h->ADF.Cofilin,EPB4.1->ADF.Cofilin,Eph->ADF.Cofilin,Ets->ADF.Cofilin,Farp->ADF.Cofilin,FGF4->ADF.Cofilin,Fgfr->ADF.Cofilin,Foxf->ADF.Cofilin,Fzd->ADF.Cofilin,Gata->ADF.Cofilin,GNA.L.S->ADF.Cofilin,Gna12.13->ADF.Cofilin,Hand->ADF.Cofilin,Handr->ADF.Cofilin,MRF->ADF.Cofilin,NDE->ADF.Cofilin,Paxillin->ADF.Cofilin,Rab5->ADF.Cofilin,Rabep->ADF.Cofilin,Rho->ADF.Cofilin,RNF149->ADF.Cofilin,Rock->ADF.Cofilin,TLE->ADF.Cofilin,Tol->ADF.Cofilin,Tyrosinase->ADF.Cofilin,Vangl->ADF.Cofilin,5HTR->ADF.Cofilin
ADF.Cofilin->Arhgef8,Arhgef8->Arhgef8,BMP->Arhgef8,Col9a1->Arhgef8,Daam->Arhgef8,Ddr->Arhgef8,Depdc->Arhgef8,Dync2h->Arhgef8,EPB4.1->Arhgef8,Eph->Arhgef8,Ets->Arhgef8,Farp->Arhgef8,FGF4->Arhgef8,Fgfr->Arhgef8,Foxf->Arhgef8,Fzd->Arhgef8,Gata->Arhgef8,GNA.L.S->Arhgef8,Gna12.13->Arhgef8,Hand->Arhgef8,Handr->Arhgef8,MRF->Arhgef8,NDE->Arhgef8,Paxillin->Arhgef8,Rab5->Arhgef8,Rabep->Arhgef8,Rho->Arhgef8,RNF149->Arhgef8,Rock->Arhgef8,TLE->Arhgef8,Tol->Arhgef8,Tyrosinase->Arhgef8,Vangl->Arhgef8,5HTR->Arhgef8
ADF.Cofilin->BMP,Arhgef8->BMP,BMP->BMP,Col9a1->BMP,Daam->BMP,Ddr->BMP,Depdc->BMP,Dync2h->BMP,EPB4.1->BMP,Eph->BMP,Ets->BMP,Farp->BMP,FGF4->BMP,Fgfr->BMP,Foxf->BMP,Fzd->BMP,Gata->BMP,GNA.L.S->BMP,Gna12.13->BMP,Hand->BMP,Handr->BMP,MRF->BMP,NDE->BMP,Paxillin->BMP,Rab5->BMP,Rabep->BMP,Rho->BMP,RNF149->BMP,Rock->BMP,TLE->BMP,Tol->BMP,Tyrosinase->BMP,Vangl->BMP,5HTR->BMP
ADF.Cofilin->Col9a1,Arhgef8->Col9a1,BMP->Col9a1,Col9a1->Col9a1,Daam->Col9a1,Ddr->Col9a1,Depdc->Col9a1,Dync2h->Col9a1,EPB4.1->Col9a1,Eph->Col9a1,Ets->Col9a1,Farp->Col9a1,FGF4->Col9a1,Fgfr->Col9a1,Foxf->Col9a1,Fzd->Col9a1,Gata->Col9a1,GNA.L.S->Col9a1,Gna12.13->Col9a1,Hand->Col9a1,Handr->Col9a1,MRF->Col9a1,NDE->Col9a1,Paxillin->Col9a1,Rab5->Col9a1,Rabep->Col9a1,Rho->Col9a1,RNF149->Col9a1,Rock->Col9a1,TLE->Col9a1,Tol->Col9a1,Tyrosinase->Col9a1,Vangl->Col9a1,5HTR->Col9a1
ADF.Cofilin->Daam,Arhgef8->Daam,BMP->Daam,Col9a1->Daam,Daam->Daam,Ddr->Daam,Depdc->Daam,Dync2h->Daam,EPB4.1->Daam,Eph->Daam,Ets->Daam,Farp->Daam,FGF4->Daam,Fgfr->Daam,Foxf->Daam,Fzd->Daam,Gata->Daam,GNA.L.S->Daam,Gna12.13->Daam,Hand->Daam,Handr->Daam,MRF->Daam,NDE->Daam,Paxillin->Daam,Rab5->Daam,Rabep->Daam,Rho->Daam,RNF149->Daam,Rock->Daam,TLE->Daam,Tol->Daam,Tyrosinase->Daam,Vangl->Daam,5HTR->Daam
ADF.Cofilin->Ddr,Arhgef8->Ddr,BMP->Ddr,Col9a1->Ddr,Daam->Ddr,Ddr->Ddr,Depdc->Ddr,Dync2h->Ddr,EPB4.1->Ddr,Eph->Ddr,Ets->Ddr,Farp->Ddr,FGF4->Ddr,Fgfr->Ddr,Foxf->Ddr,Fzd->Ddr,Gata->Ddr,GNA.L.S->Ddr,Gna12.13->Ddr,Hand->Ddr,Handr->Ddr,MRF->Ddr,NDE->Ddr,Paxillin->Ddr,Rab5->Ddr,Rabep->Ddr,Rho->Ddr,RNF149->Ddr,Rock->Ddr,TLE->Ddr,Tol->Ddr,Tyrosinase->Ddr,Vangl->Ddr,5HTR->Ddr
ADF.Cofilin->Depdc,Arhgef8->Depdc,BMP->Depdc,Col9a1->Depdc,Daam->Depdc,Ddr->Depdc,Depdc->Depdc,Dync2h->Depdc,EPB4.1->Depdc,Eph->Depdc,Ets->Depdc,Farp->Depdc,FGF4->Depdc,Fgfr->Depdc,Foxf->Depdc,Fzd->Depdc,Gata->Depdc,GNA.L.S->Depdc,Gna12.13->Depdc,Hand->Depdc,Handr->Depdc,MRF->Depdc,NDE->Depdc,Paxillin->Depdc,Rab5->Depdc,Rabep->Depdc,Rho->Depdc,RNF149->Depdc,Rock->Depdc,TLE->Depdc,Tol->Depdc,Tyrosinase->Depdc,Vangl->Depdc,5HTR->Depdc
ADF.Cofilin->Dync2h,Arhgef8->Dync2h,BMP->Dync2h,Col9a1->Dync2h,Daam->Dync2h,Ddr->Dync2h,Depdc->Dync2h,Dync2h->Dync2h,EPB4.1->Dync2h,Eph->Dync2h,Ets->Dync2h,Farp->Dync2h,FGF4->Dync2h,Fgfr->Dync2h,Foxf->Dync2h,Fzd->Dync2h,Gata->Dync2h,GNA.L.S->Dync2h,Gna12.13->Dync2h,Hand->Dync2h,Handr->Dync2h,MRF->Dync2h,NDE->Dync2h,Paxillin->Dync2h,Rab5->Dync2h,Rabep->Dync2h,Rho->Dync2h,RNF149->Dync2h,Rock->Dync2h,TLE->Dync2h,Tol->Dync2h,Tyrosinase->Dync2h,Vangl->Dync2h,5HTR->Dync2h
ADF.Cofilin->EPB4.1,Arhgef8->EPB4.1,BMP->EPB4.1,Col9a1->EPB4.1,Daam->EPB4.1,Ddr->EPB4.1,Depdc->EPB4.1,Dync2h->EPB4.1,EPB4.1->EPB4.1,Eph->EPB4.1,Ets->EPB4.1,Farp->EPB4.1,FGF4->EPB4.1,Fgfr->EPB4.1,Foxf->EPB4.1,Fzd->EPB4.1,Gata->EPB4.1,GNA.L.S->EPB4.1,Gna12.13->EPB4.1,Hand->EPB4.1,Handr->EPB4.1,MRF->EPB4.1,NDE->EPB4.1,Paxillin->EPB4.1,Rab5->EPB4.1,Rabep->EPB4.1,Rho->EPB4.1,RNF149->EPB4.1,Rock->EPB4.1,TLE->EPB4.1,Tol->EPB4.1,Tyrosinase->EPB4.1,Vangl->EPB4.1,5HTR->EPB4.1
ADF.Cofilin->Eph,Arhgef8->Eph,BMP->Eph,Col9a1->Eph,Daam->Eph,Ddr->Eph,Depdc->Eph,Dync2h->Eph,EPB4.1->Eph,Eph->Eph,Ets->Eph,Farp->Eph,FGF4->Eph,Fgfr->Eph,Foxf->Eph,Fzd->Eph,Gata->Eph,GNA.L.S->Eph,Gna12.13->Eph,Hand->Eph,Handr->Eph,MRF->Eph,NDE->Eph,Paxillin->Eph,Rab5->Eph,Rabep->Eph,Rho->Eph,RNF149->Eph,Rock->Eph,TLE->Eph,Tol->Eph,Tyrosinase->Eph,Vangl->Eph,5HTR->Eph
ADF.Cofilin->Ets,Arhgef8->Ets,BMP->Ets,Col9a1->Ets,Daam->Ets,Ddr->Ets,Depdc->Ets,Dync2h->Ets,EPB4.1->Ets,Eph->Ets,Ets->Ets,Farp->Ets,FGF4->Ets,Fgfr->Ets,Foxf->Ets,Fzd->Ets,Gata->Ets,GNA.L.S->Ets,Gna12.13->Ets,Hand->Ets,Handr->Ets,MRF->Ets,NDE->Ets,Paxillin->Ets,Rab5->Ets,Rabep->Ets,Rho->Ets,RNF149->Ets,Rock->Ets,TLE->Ets,Tol->Ets,Tyrosinase->Ets,Vangl->Ets,5HTR->Ets
ADF.Cofilin->Farp,Arhgef8->Farp,BMP->Farp,Col9a1->Farp,Daam->Farp,Ddr->Farp,Depdc->Farp,Dync2h->Farp,EPB4.1->Farp,Eph->Farp,Ets->Farp,Farp->Farp,FGF4->Farp,Fgfr->Farp,Foxf->Farp,Fzd->Farp,Gata->Farp,GNA.L.S->Farp,Gna12.13->Farp,Hand->Farp,Handr->Farp,MRF->Farp,NDE->Farp,Paxillin->Farp,Rab5->Farp,Rabep->Farp,Rho->Farp,RNF149->Farp,Rock->Farp,TLE->Farp,Tol->Farp,Tyrosinase->Farp,Vangl->Farp,5HTR->Farp
ADF.Cofilin->FGF4,Arhgef8->FGF4,BMP->FGF4,Col9a1->FGF4,Daam->FGF4,Ddr->FGF4,Depdc->FGF4,Dync2h->FGF4,EPB4.1->FGF4,Eph->FGF4,Ets->FGF4,Farp->FGF4,FGF4->FGF4,Fgfr->FGF4,Foxf->FGF4,Fzd->FGF4,Gata->FGF4,GNA.L.S->FGF4,Gna12.13->FGF4,Hand->FGF4,Handr->FGF4,MRF->FGF4,NDE->FGF4,Paxillin->FGF4,Rab5->FGF4,Rabep->FGF4,Rho->FGF4,RNF149->FGF4,Rock->FGF4,TLE->FGF4,Tol->FGF4,Tyrosinase->FGF4,Vangl->FGF4,5HTR->FGF4
ADF.Cofilin->Fgfr,Arhgef8->Fgfr,BMP->Fgfr,Col9a1->Fgfr,Daam->Fgfr,Ddr->Fgfr,Depdc->Fgfr,Dync2h->Fgfr,EPB4.1->Fgfr,Eph->Fgfr,Ets->Fgfr,Farp->Fgfr,FGF4->Fgfr,Fgfr->Fgfr,Foxf->Fgfr,Fzd->Fgfr,Gata->Fgfr,GNA.L.S->Fgfr,Gna12.13->Fgfr,Hand->Fgfr,Handr->Fgfr,MRF->Fgfr,NDE->Fgfr,Paxillin->Fgfr,Rab5->Fgfr,Rabep->Fgfr,Rho->Fgfr,RNF149->Fgfr,Rock->Fgfr,TLE->Fgfr,Tol->Fgfr,Tyrosinase->Fgfr,Vangl->Fgfr,5HTR->Fgfr
