"","Arhgef8","Depdc","Tyrosinase"
"embedding1",0.00222477313894622,1.8437634136163e-19,0.534169149970938
"embedding2",0.52315535190271,1,1
"embedding3",0.821083030545268,0.102532645431992,1
"embedding4",0.52315535190271,8.59703910048417e-18,1
"embedding5",1,0.167281514050254,1
"embedding6",1,1,1
"embedding7",1,0.738847262576264,1
"embedding8",1,0.499937416079163,1
"embedding9",1,1,1
"embedding10",0.262425779317545,0.0214579794172892,1
"embedding11",1,0.0879503215078916,1
"embedding12",1,8.80780991717376e-08,1
"embedding13",1,3.71211975976415e-09,1
"embedding14",0.821083030545268,0.0613880401922276,1
