"","Arhgef8","Depdc","Tyrosinase"
"embedding1",0.00341796875,1.35285523064223e-13,0.502254486083984
"embedding2",0.57421875,0.975810283797269,1
"embedding3",0.942382812500001,0.217910534704028,1
"embedding4",0.631103515625,6.33018288267411e-13,1
"embedding5",1,0.217910534704028,1
"embedding6",1,0.975810283797269,1
"embedding7",1,0.388831188099041,1
"embedding8",1,0.388831188099041,1
"embedding9",1,0.975810283797269,1
"embedding10",0.345947265625,0.0456737871677388,1
"embedding11",1,0.0718683102881035,1
"embedding12",1,4.33669644282021e-07,1
"embedding13",1,7.20491501990186e-08,1
"embedding14",1,0.0983764255023938,1
