"","Arhgef8","Depdc","Tyrosinase"
"ATM.dist.mean_Nucleus",1.2335796856138,1.18877250774636,0.992094274995686
"TVC.dist.min_Nucleus",0.749184617497086,0.641043466999954,0.971151302786542
"TVC.dist.max_Nucleus",0.866413127181289,0.822329634504998,0.947746724122686
"TVC.dist.mean_Nucleus",0.821629487988205,0.747866180816335,0.970361790290424
"TVC.dist.sd_Nucleus",1.02582692793651,0.987218194914139,0.94994961251568
"TVC.ATM.dist.min_Nucleus",0.917123877577911,1.01228333945985,1.00935985574415
"TVC.ATM.dist.max_Nucleus",0.996136166855016,1.04889104173519,1.07914751409293
"TVC.ATM.dist.mean_Nucleus",0.96157637569862,1.03316886729766,1.04584645072804
"TVC.ATM.dist.sd_Nucleus",1.13092831386527,1.03222037077511,1.17351141180526
"TVC.cosine.min_Nucleus",1.35211555638644,1.76649128434474,1.18758913829267
"TVC.cosine.max_Nucleus",1.07772359053009,1.37006826809447,1.1527041160797
"TVC.cosine.sd_Nucleus",1.10765498930797,1.56317818487322,1.15315558400119
"ATM.Nucleus.Dist.to.Cell.Membrane.min",0.808133508537068,0.879105005689624,1.04676073370033
"ATM.Nucleus.Dist.to.Cell.Membrane.max",0.81764720838925,0.895577043797678,1.09423343577525
"ATM.Nucleus.Dist.to.Cell.Membrane.mean",0.813416577333028,0.889908915694083,1.07215372665241
"ATM.Nucleus.Dist.to.Cell.Membrane.SD",0.866338407854783,1.04898594141522,1.38928910229996
"TVC.Nucleus.Dist.to.Cell.Membrane.min",0.638575064170769,0.670542379105723,0.801406051358785
"TVC.Nucleus.Dist.to.Cell.Membrane.max",0.660583736995472,0.660189744196664,0.892453686157888
"TVC.Nucleus.Dist.to.Cell.Membrane.mean",0.646698496637227,0.668316569069946,0.870567797300995
"TVC.Nucleus.Dist.to.Cell.Membrane.SD",0.717786540158905,0.618764169781066,1.06368327789712
"ATM.dist.mean_Cell",1.26543374861748,1.21077501703057,0.976395132234344
"TVC.dist.min_Cell",0.748170432274163,0.687443802847415,0.970917686163271
"TVC.dist.max_Cell",0.841018483074699,0.816263082924672,0.949201834161538
"TVC.dist.mean_Cell",0.799410993927729,0.746696597987207,0.955634971943688
"TVC.dist.sd_Cell",0.970072585645071,0.975824728868158,0.949695224094296
"TVC.ATM.dist.min_Cell",0.874125700605188,1.00336381980209,1.02371375388473
"TVC.ATM.dist.max_Cell",0.996230964496831,1.04899085981286,1.07925021153823
"TVC.ATM.dist.mean_Cell",0.943070116321507,1.03075787495865,1.05028451971953
"TVC.ATM.dist.sd_Cell",1.17805735874545,1.04441085311642,1.13559924865957
"TVC.cosine.min_Cell",1.41433702535488,1.80105956793759,1.16043706037109
"TVC.cosine.max_Cell",1.08536621480366,1.37779415092066,1.14157184836585
"TVC.cosine.sd_Cell",1.12281124204699,1.55780092800455,1.16109994992687
"ATM.Cell.Ellipticity..oblate..min",0.824585517875971,1.17110353741869,1.03478355795202
"ATM.Cell.Ellipticity..oblate..max",0.929457657232059,1.09111455717166,0.992590340488209
"ATM.Cell.Ellipticity..oblate..mean",0.877413122498685,1.12573950163875,1.00942172067617
"ATM.Cell.Ellipticity..oblate..SD",1.14970325236402,0.981091607979354,0.932718425489719
"ATM.Cell.Ellipticity..prolate..min",0.947877102621539,1.01606907592094,1.15715704150527
"ATM.Cell.Ellipticity..prolate..max",1.07068956344829,1.00456987219472,1.105589496078
"ATM.Cell.Ellipticity..prolate..mean",1.02051922055475,1.00967125463566,1.12739802499594
"ATM.Cell.Ellipticity..prolate..SD",1.61842795258655,1.02339038315192,0.885394460754284
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.min",0.93580879301802,0.94857061085806,1.00351012779068
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.max",1.01641559373312,0.93763496561411,0.939856239579361
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.mean",0.976906743828526,0.945378288281363,0.975151641693432
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.SD",1.28763032943875,0.989227217095574,0.625876488479961
"ATM.Cell.Sphericity.min",0.927854407770985,1.01396854825063,1.03984127039673
"ATM.Cell.Sphericity.max",0.935192525277663,1.01304850316129,1.01652453059304
"ATM.Cell.Sphericity.mean",0.932063652165905,1.0143032945686,1.02749477797179
"ATM.Cell.Sphericity.SD",1.00839748391645,1.06156101463566,0.751097468038147
"ATM.Cell.Volume.frac.min",0.971065610180138,1.12025553961049,1.05938784678076
"ATM.Cell.Volume.frac.max",1.02676308498785,1.10268391360372,1.08815594008707
"ATM.Cell.Volume.frac.mean",1.00247150691225,1.11418677997894,1.08385568923141
"ATM.Cell.Volume.frac.SD",1.26222265632388,1.11648280514272,1.18486575848301
"ATM.Nucleus.Ellipticity..oblate..min",1.00785226419898,1.02624704644698,1.06330580725934
"ATM.Nucleus.Ellipticity..oblate..max",1.04082617653977,1.03350420628676,1.04953274465735
"ATM.Nucleus.Ellipticity..oblate..mean",1.02078747895595,1.03070147970759,1.06243683236759
"ATM.Nucleus.Ellipticity..oblate..SD",1.18982929863499,1.14107357362976,0.995083451035555
"ATM.Nucleus.Ellipticity..prolate..min",0.838705276564107,1.02630228781483,1.07200673745176
"ATM.Nucleus.Ellipticity..prolate..max",0.946812932277454,1.03049096590765,1.01864070451917
"ATM.Nucleus.Ellipticity..prolate..mean",0.88810906949953,1.02938323936922,1.03608656020488
"ATM.Nucleus.Ellipticity..prolate..SD",1.28931907339342,1.13576920006606,0.893085836319493
"ATM.Nucleus.Sphericity.min",0.990770344968446,1.04266202900308,1.07463635537605
"ATM.Nucleus.Sphericity.max",1.00698480115416,1.04589893244329,1.0743656935197
"ATM.Nucleus.Sphericity.mean",0.99948193778991,1.04394790881478,1.07448961275606
"ATM.Nucleus.Sphericity.SD",1.59025374204368,1.21949795610523,1.08789710249569
"ATM.Nucleus.Volume.frac.min",0.996874865322039,1.14405801113921,1.1214890385124
"ATM.Nucleus.Volume.frac.max",1.03724831479372,1.09197622488913,1.17444133762154
"ATM.Nucleus.Volume.frac.mean",1.03040316003793,1.11888412002456,1.14821827945547
"ATM.Nucleus.Volume.frac.SD",1.23148859530658,0.934040378634228,1.3933513016722
"TVC.Cell.Ellipticity..oblate..min",1.06066807602815,0.95962337771979,0.946931468509545
"TVC.Cell.Ellipticity..oblate..max",1.09719639136365,1.01674574587885,1.04750787777047
"TVC.Cell.Ellipticity..oblate..mean",1.10113896855731,0.993081555613477,1.00777956491022
"TVC.Cell.Ellipticity..oblate..SD",1.13848347343228,1.05480646866,1.18011678245652
"TVC.Cell.Ellipticity..prolate..min",0.940766232909623,0.972273217674866,0.895872178651614
"TVC.Cell.Ellipticity..prolate..max",0.982786650599784,1.07268559671569,0.995143461385755
"TVC.Cell.Ellipticity..prolate..mean",0.962108969333253,1.03264049541259,0.958055990440007
"TVC.Cell.Ellipticity..prolate..SD",1.06411586544221,1.14271708693699,1.09895110686629
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.min",0.93936371433358,0.951554662470578,0.682852413301447
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.max",0.830032874060315,0.877667206523255,0.826075346361941
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.mean",0.881885292822427,0.904252936428752,0.784246312237547
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.SD",0.710376517857897,0.766553874712481,0.955124443340191
"TVC.Cell.Sphericity.min",1.01051923149842,0.962313638570455,0.95634185088627
"TVC.Cell.Sphericity.max",0.964779530389849,0.996116120357389,0.987419208740906
"TVC.Cell.Sphericity.mean",0.98421005953448,0.984031461479367,0.97152644108244
"TVC.Cell.Sphericity.SD",0.689861384026395,1.07287282955501,1.11858636969616
"TVC.Cell.Volume.frac.min",0.670433143515845,0.792227773395391,0.781681402705241
"TVC.Cell.Volume.frac.max",0.782779022684814,0.668819829717481,0.895912038921861
"TVC.Cell.Volume.frac.mean",0.719425444930051,0.705407430557295,0.867455533753885
"TVC.Cell.Volume.frac.SD",0.870711855744616,0.519912842631579,0.994484041604333
"TVC.Nucleus.Ellipticity..oblate..min",1.03041402326033,0.954388277789885,1.02292219314183
"TVC.Nucleus.Ellipticity..oblate..max",1.04496909904682,1.00746639350778,1.09197363950352
"TVC.Nucleus.Ellipticity..oblate..mean",1.03094204517232,0.992770498130518,1.05563168850211
"TVC.Nucleus.Ellipticity..oblate..SD",1.08765373670532,1.03850925292826,1.15099222642558
"TVC.Nucleus.Ellipticity..prolate..min",0.8394578603477,0.901547849940724,0.937135767515098
"TVC.Nucleus.Ellipticity..prolate..max",0.893895467029663,0.938664074204069,1.03698464236042
"TVC.Nucleus.Ellipticity..prolate..mean",0.845593555844143,0.922797484753217,1.00880127406215
"TVC.Nucleus.Ellipticity..prolate..SD",0.938022102616203,0.939442737995269,1.11792020506849
"TVC.Nucleus.Sphericity.min",1.01925704265677,1.0094043303196,0.974250944958131
"TVC.Nucleus.Sphericity.max",1.01639187999287,1.0069442813858,0.988435400422291
"TVC.Nucleus.Sphericity.mean",1.01634916792094,1.00738831574313,0.983184215248477
"TVC.Nucleus.Sphericity.SD",1.01406970636014,0.899618939696296,1.22018547203608
"TVC.Nucleus.Volume.frac.min",0.712279385344581,0.819738922625297,0.67639558392583
"TVC.Nucleus.Volume.frac.max",0.714586177140249,0.671670550818005,0.80942013822792
"TVC.Nucleus.Volume.frac.mean",0.712729479000354,0.736534368347648,0.780813975833197
"TVC.Nucleus.Volume.frac.SD",0.706818074478399,0.47233057132745,0.931160265253596
"ATMgroup.Ellipticity..oblate.",0.705940266746732,0.9794227511811,1.16001221038285
"ATMgroup.Ellipticity..prolate.",0.928343463503775,1.01758176657681,1.10957304069998
"ATMgroup.Sphericity",0.926444694305283,1.01359644969206,1.08624041680341
"TVCgroup.Ellipticity..oblate.",1.09155883980925,0.935389422389648,1.09956408824923
"TVCgroup.Ellipticity..prolate.",0.726744366154156,1.01457186273123,0.85247848441915
"TVCgroup.Sphericity",0.964829124824987,0.957731218032036,0.941526460578263
"TVC.Volume",0.754020078546781,0.779320013984825,0.958597778364864
"ATM.Volume",1.18736195091589,1.16809108834421,1.0315359114353
