"","Arhgef8","Depdc","Tyrosinase"
"ATM.dist.mean_Nucleus",1,0.00479199303722688,1
"TVC.dist.min_Nucleus",1,1.83504709184777e-26,1
"TVC.dist.max_Nucleus",1,0.0436966517773943,1
"TVC.dist.mean_Nucleus",1,1.2196648669068e-08,1
"TVC.dist.sd_Nucleus",1,1,1
"TVC.ATM.dist.min_Nucleus",1,1,1
"TVC.ATM.dist.max_Nucleus",1,0.344210313576907,NA
"TVC.ATM.dist.mean_Nucleus",1,1,1
"TVC.ATM.dist.sd_Nucleus",1,1,1
"TVC.cosine.min_Nucleus",1,5.57973400560927e-34,1
"TVC.cosine.max_Nucleus",1,4.98351707441345e-35,1
"TVC.cosine.sd_Nucleus",1,1.49360705123731e-29,1
"ATM.Nucleus.Dist.to.Cell.Membrane.min",1,0.0105908471486154,1
"ATM.Nucleus.Dist.to.Cell.Membrane.max",1,0.0193127118528124,1
"ATM.Nucleus.Dist.to.Cell.Membrane.mean",1,0.0089204339756392,1
"ATM.Nucleus.Dist.to.Cell.Membrane.SD",1,1,1
"TVC.Nucleus.Dist.to.Cell.Membrane.min",0.000175688290752184,6.61869334320079e-27,0.674808251382741
"TVC.Nucleus.Dist.to.Cell.Membrane.max",0.0111141513581721,4.41025794206291e-28,1
"TVC.Nucleus.Dist.to.Cell.Membrane.mean",0.000313372400787218,3.17304941075229e-28,1
"TVC.Nucleus.Dist.to.Cell.Membrane.SD",1,5.45312858209013e-14,1
"ATM.dist.mean_Cell",1,9.41361184659918e-05,1
"TVC.dist.min_Cell",0.286656785793376,6.0403426126515e-20,1
"TVC.dist.max_Cell",1,0.0161312799795102,1
"TVC.dist.mean_Cell",1,1.93499620579105e-09,1
"TVC.dist.sd_Cell",1,1,1
"TVC.ATM.dist.min_Cell",1,1,1
"TVC.ATM.dist.max_Cell",1,0.344210313576907,NA
"TVC.ATM.dist.mean_Cell",1,1,1
"TVC.ATM.dist.sd_Cell",1,1,1
"TVC.cosine.min_Cell",1,5.32412562398178e-29,1
"TVC.cosine.max_Cell",1,2.39560069891932e-34,1
"TVC.cosine.sd_Cell",1,2.86850064327219e-27,1
"ATM.Cell.Ellipticity..oblate..min",1,0.0575222106780441,1
"ATM.Cell.Ellipticity..oblate..max",1,1,1
"ATM.Cell.Ellipticity..oblate..mean",1,0.349253679956601,1
"ATM.Cell.Ellipticity..oblate..SD",1,1,1
"ATM.Cell.Ellipticity..prolate..min",1,1,1
"ATM.Cell.Ellipticity..prolate..max",1,1,1
"ATM.Cell.Ellipticity..prolate..mean",1,1,1
"ATM.Cell.Ellipticity..prolate..SD",1,1,1
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.min",1,1,1
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.max",1,1,1
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.mean",1,1,1
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.SD",1,1,1
"ATM.Cell.Sphericity.min",1,1,1
"ATM.Cell.Sphericity.max",1,1,1
"ATM.Cell.Sphericity.mean",1,1,1
"ATM.Cell.Sphericity.SD",1,1,1
"ATM.Cell.Volume.frac.min",1,0.00812166567096518,1
"ATM.Cell.Volume.frac.max",1,0.00244504013022353,0.864092072050845
"ATM.Cell.Volume.frac.mean",1,0.00102133170559124,1
"ATM.Cell.Volume.frac.SD",1,1,1
"ATM.Nucleus.Ellipticity..oblate..min",1,1,1
"ATM.Nucleus.Ellipticity..oblate..max",1,1,1
"ATM.Nucleus.Ellipticity..oblate..mean",1,1,1
"ATM.Nucleus.Ellipticity..oblate..SD",1,1,1
"ATM.Nucleus.Ellipticity..prolate..min",1,1,1
"ATM.Nucleus.Ellipticity..prolate..max",1,1,1
"ATM.Nucleus.Ellipticity..prolate..mean",1,1,1
"ATM.Nucleus.Ellipticity..prolate..SD",1,1,1
"ATM.Nucleus.Sphericity.min",1,1,0.000104151905214866
"ATM.Nucleus.Sphericity.max",1,0.583940372854818,1.27244967319273e-09
"ATM.Nucleus.Sphericity.mean",1,0.834837762288689,4.32690838436598e-07
"ATM.Nucleus.Sphericity.SD",1,1,1
"ATM.Nucleus.Volume.frac.min",1,0.00122624205764352,1
"ATM.Nucleus.Volume.frac.max",1,0.00589412888214563,0.0126413402228902
"ATM.Nucleus.Volume.frac.mean",1,0.00078944696635836,0.324325692891799
"ATM.Nucleus.Volume.frac.SD",1,1,1
"TVC.Cell.Ellipticity..oblate..min",1,1,1
"TVC.Cell.Ellipticity..oblate..max",1,1,1
"TVC.Cell.Ellipticity..oblate..mean",1,1,1
"TVC.Cell.Ellipticity..oblate..SD",1,1,1
"TVC.Cell.Ellipticity..prolate..min",1,1,1
"TVC.Cell.Ellipticity..prolate..max",1,0.0209282736090802,1
"TVC.Cell.Ellipticity..prolate..mean",1,1,1
"TVC.Cell.Ellipticity..prolate..SD",1,0.146481339768151,1
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.min",1,1,0.0161600761905388
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.max",1,0.00078944696635836,1
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.mean",1,0.0266998423022266,0.242901331322642
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.SD",0.0407681262007629,5.3219095123923e-05,1
"TVC.Cell.Sphericity.min",1,1,1
"TVC.Cell.Sphericity.max",1,1,1
"TVC.Cell.Sphericity.mean",1,1,1
"TVC.Cell.Sphericity.SD",1,1,1
"TVC.Cell.Volume.frac.min",0.00126015160150177,4.29902041109601e-05,1
"TVC.Cell.Volume.frac.max",1,6.22967591806245e-19,1
"TVC.Cell.Volume.frac.mean",0.0911450501059065,3.69140963882197e-16,1
"TVC.Cell.Volume.frac.SD",1,8.81916617784017e-24,1
"TVC.Nucleus.Ellipticity..oblate..min",1,1,1
"TVC.Nucleus.Ellipticity..oblate..max",1,1,1
"TVC.Nucleus.Ellipticity..oblate..mean",1,1,1
"TVC.Nucleus.Ellipticity..oblate..SD",1,1,1
"TVC.Nucleus.Ellipticity..prolate..min",0.303430596281666,0.00403251149552558,1
"TVC.Nucleus.Ellipticity..prolate..max",1,0.170370973349445,1
"TVC.Nucleus.Ellipticity..prolate..mean",0.239370250956489,0.00333268747914403,1
"TVC.Nucleus.Ellipticity..prolate..SD",1,1,1
"TVC.Nucleus.Sphericity.min",0.348554856680929,0.279061625840849,1
"TVC.Nucleus.Sphericity.max",1,0.0548039533551097,1
"TVC.Nucleus.Sphericity.mean",0.319009363923297,0.113286056520637,1
"TVC.Nucleus.Sphericity.SD",1,1,1
"TVC.Nucleus.Volume.frac.min",0.000718825428954358,4.01662028852203e-06,0.000425164779231035
"TVC.Nucleus.Volume.frac.max",1,3.52620429613934e-24,1
"TVC.Nucleus.Volume.frac.mean",0.0263997491288012,2.36163399086423e-20,0.150152038016638
"TVC.Nucleus.Volume.frac.SD",1,2.49956630974655e-23,1
"ATMgroup.Ellipticity..oblate.",1,1,1
"ATMgroup.Ellipticity..prolate.",1,1,1
"ATMgroup.Sphericity",1,1,1
"TVCgroup.Ellipticity..oblate.",1,1,1
"TVCgroup.Ellipticity..prolate.",0.328064254007793,1,1
"TVCgroup.Sphericity",1,0.238010077756529,1
"TVC.Volume",1,2.2582237642387e-07,1
"ATM.Volume",1,2.2582237642387e-07,1
