"","Arhgef8","Depdc","Tyrosinase"
"ATM.dist.mean_Nucleus",1,0.00014611489532198,1
"TVC.dist.min_Nucleus",1,1.5459353442129e-14,1
"TVC.dist.max_Nucleus",1,1.1155044605361e-08,1
"TVC.dist.mean_Nucleus",1,6.47885034578376e-12,1
"TVC.dist.sd_Nucleus",1,0.0170973661533924,1
"TVC.ATM.dist.min_Nucleus",1,1,1
"TVC.ATM.dist.max_Nucleus",1,1.18285899580093e-17,NA
"TVC.ATM.dist.mean_Nucleus",1,1.64993545830985e-09,1
"TVC.ATM.dist.sd_Nucleus",1,1,1
"TVC.cosine.min_Nucleus",1,5.1570626325494e-15,1
"TVC.cosine.max_Nucleus",1,9.68564457962484e-15,1
"TVC.cosine.sd_Nucleus",1,7.13383227094963e-15,1
"ATM.Nucleus.Dist.to.Cell.Membrane.min",1,0.000839665009580175,1
"ATM.Nucleus.Dist.to.Cell.Membrane.max",1,0.00529570596569846,1
"ATM.Nucleus.Dist.to.Cell.Membrane.mean",1,0.000953755592260671,1
"ATM.Nucleus.Dist.to.Cell.Membrane.SD",1,1,1
"TVC.Nucleus.Dist.to.Cell.Membrane.min",0.02734375,1.5712875836552e-14,1
"TVC.Nucleus.Dist.to.Cell.Membrane.max",0.1318359375,1.11196868781514e-14,1
"TVC.Nucleus.Dist.to.Cell.Membrane.mean",0.02734375,4.55939840297006e-15,1
"TVC.Nucleus.Dist.to.Cell.Membrane.SD",1,4.62834621074298e-10,1
"ATM.dist.mean_Cell",1,1.96520929961326e-06,1
"TVC.dist.min_Cell",0.62255859375,1.54878475829776e-13,1
"TVC.dist.max_Cell",1,1.19515508218889e-08,1
"TVC.dist.mean_Cell",1,3.88257110593627e-12,1
"TVC.dist.sd_Cell",1,0.00363260601179272,1
"TVC.ATM.dist.min_Cell",1,1,1
"TVC.ATM.dist.max_Cell",1,1.18285899580093e-17,NA
"TVC.ATM.dist.mean_Cell",1,1.93771364881095e-10,1
"TVC.ATM.dist.sd_Cell",1,0.406673704205144,1
"TVC.cosine.min_Cell",1,6.19112361388874e-14,1
"TVC.cosine.max_Cell",1,9.68564457962484e-15,1
"TVC.cosine.sd_Cell",1,6.8311055173183e-15,1
"ATM.Cell.Ellipticity..oblate..min",1,0.115627096641855,1
"ATM.Cell.Ellipticity..oblate..max",1,1,1
"ATM.Cell.Ellipticity..oblate..mean",1,0.504243699799741,1
"ATM.Cell.Ellipticity..oblate..SD",1,1,1
"ATM.Cell.Ellipticity..prolate..min",1,1,1
"ATM.Cell.Ellipticity..prolate..max",1,1,1
"ATM.Cell.Ellipticity..prolate..mean",1,1,1
"ATM.Cell.Ellipticity..prolate..SD",1,1,1
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.min",1,0.769740592697808,1
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.max",1,0.110575102956048,1
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.mean",1,0.357684249376531,1
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.SD",1,0.769740592697808,1
