"","Arhgef8","Depdc","Tyrosinase"
"ATM.dist.mean_Nucleus",0.293519458532646,0.282857983850948,0.236060124697318
"TVC.dist.min_Nucleus",0.0916573328781867,0.0784270433107634,0.118813355420951
"TVC.dist.max_Nucleus",0.245864087058711,0.23335441085323,0.268944312798427
"TVC.dist.mean_Nucleus",0.15591738066549,0.141919609393158,0.184141721848875
"TVC.dist.sd_Nucleus",0.0581843356367134,0.0559944696666316,0.0538806162982682
"TVC.ATM.dist.min_Nucleus",0.517198772944466,0.570862577935974,0.569213921492227
"TVC.ATM.dist.max_Nucleus",0.923076923076923,0.97196261682243,1
"TVC.ATM.dist.mean_Nucleus",0.718808755866086,0.772326407834472,0.781803302445527
"TVC.ATM.dist.sd_Nucleus",0.160560213707902,0.146546444450454,0.166605823515142
"TVC.cosine.min_Nucleus",-0.636722936633918,-0.831856059042888,-0.55924602011763
"TVC.cosine.max_Nucleus",0.751602838217183,0.955483584009341,0.803894145848656
"TVC.cosine.sd_Nucleus",0.449256344278203,0.634013048801719,0.467711035523835
"ATM.Nucleus.Dist.to.Cell.Membrane.min",0.0407154084327391,0.0442910966861321,0.0527379329699056
"ATM.Nucleus.Dist.to.Cell.Membrane.max",0.0480765663927838,0.0526587368784787,0.0643394680303348
"ATM.Nucleus.Dist.to.Cell.Membrane.mean",0.0443588591811634,0.0485302923192992,0.0584688307399249
"ATM.Nucleus.Dist.to.Cell.Membrane.SD",0.00454424102415831,0.00550228975828043,0.0072872961372224
"TVC.Nucleus.Dist.to.Cell.Membrane.min",0.0260680621183222,0.0273730394001433,0.0327151871424051
"TVC.Nucleus.Dist.to.Cell.Membrane.max",0.0418480659708995,0.0418231064756634,0.0565370575185137
"TVC.Nucleus.Dist.to.Cell.Membrane.mean",0.033293126258302,0.0344060609855453,0.0448182943715929
"TVC.Nucleus.Dist.to.Cell.Membrane.SD",0.00742023666529294,0.00639657659053145,0.0109960012027585
"ATM.dist.mean_Cell",0.329876864532721,0.315628271103846,0.254529456890468
"TVC.dist.min_Cell",0.104680180912221,0.0961836214648517,0.13584583759814
"TVC.dist.max_Cell",0.249815400889327,0.242462078296409,0.281950089680595
"TVC.dist.mean_Cell",0.161702178655072,0.151039287182705,0.193302641740055
"TVC.dist.sd_Cell",0.0538595873619453,0.0541789532166522,0.0527282119361362
"TVC.ATM.dist.min_Cell",0.466681519915379,0.535679653543136,0.546544152963862
"TVC.ATM.dist.max_Cell",0.923076923076923,0.97196261682243,1
"TVC.ATM.dist.mean_Cell",0.691348574540928,0.755630970822276,0.769945620165278
"TVC.ATM.dist.sd_Cell",0.180091111902628,0.159660402292474,0.173600487148335
"TVC.cosine.min_Cell",-0.637044276501199,-0.811231459562815,-0.522682906758938
"TVC.cosine.max_Cell",0.743921093060661,0.944354188278189,0.782445008569961
"TVC.cosine.sd_Cell",0.430660885534093,0.597503749532458,0.445346745653772
"ATM.Cell.Ellipticity..oblate..min",0.162704638461538,0.231078491588785,0.204180259090909
"ATM.Cell.Ellipticity..oblate..max",0.262363769230769,0.307995663551402,0.280184622727273
"ATM.Cell.Ellipticity..oblate..mean",0.210374191025641,0.269914514485981,0.242025418181818
"ATM.Cell.Ellipticity..oblate..SD",0.0604811838344751,0.0516112151362971,0.0490664999353977
"ATM.Cell.Ellipticity..prolate..min",0.445310230769231,0.477346644859813,0.543629409090909
"ATM.Cell.Ellipticity..prolate..max",0.618778538461539,0.580566299065421,0.638948090909091
"ATM.Cell.Ellipticity..prolate..mean",0.534654871794872,0.528971570872274,0.590649185606061
"ATM.Cell.Ellipticity..prolate..SD",0.108521389301004,0.0686219896285396,0.0593688689119017
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.min",0.0684060846153846,0.0693389525233645,0.0733549409090909
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.max",0.0929480615384615,0.0857438168224299,0.0859469454545455
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.mean",0.0800261435897436,0.077443398894081,0.0798823693181818
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.SD",0.0143280922653197,0.0110076149294253,0.00696443371098905
"ATM.Cell.Sphericity.min",0.359799153846154,0.393192102803738,0.403224909090909
"ATM.Cell.Sphericity.max",0.396470076923077,0.429476719626168,0.430950363636364
"ATM.Cell.Sphericity.mean",0.378512423076923,0.411910063084112,0.417267143939394
"ATM.Cell.Sphericity.SD",0.022842042587641,0.0240462935424146,0.0170137278464474
"ATM.Cell.Volume.frac.min",0.258377881311736,0.298073837460478,0.28187836585814
"ATM.Cell.Volume.frac.max",0.336685452094593,0.361580619129385,0.356816757433355
"ATM.Cell.Volume.frac.mean",0.296669033720146,0.329729785954949,0.320753675091246
"ATM.Cell.Volume.frac.SD",0.0488272009293833,0.0431894721488161,0.0458347647096514
"ATM.Nucleus.Ellipticity..oblate..min",0.370826307692308,0.377594431775701,0.391229727272727
"ATM.Nucleus.Ellipticity..oblate..max",0.475676846153846,0.472330570093458,0.479655909090909
"ATM.Nucleus.Ellipticity..oblate..mean",0.420192217948718,0.424273171183801,0.437336564393939
"ATM.Nucleus.Ellipticity..oblate..SD",0.0674375525795192,0.0646741588957657,0.056399680716558
"ATM.Nucleus.Ellipticity..prolate..min",0.243907076923077,0.298462878504673,0.311754363636364
"ATM.Nucleus.Ellipticity..prolate..max",0.361181230769231,0.393101934579439,0.388581409090909
"ATM.Nucleus.Ellipticity..prolate..mean",0.298708294871795,0.346224718068536,0.348479325757576
"ATM.Nucleus.Ellipticity..prolate..SD",0.0734973364149239,0.0647442613000825,0.0509101521213192
"ATM.Nucleus.Sphericity.min",0.573240230769231,0.603263738317757,0.621763454545455
"ATM.Nucleus.Sphericity.max",0.599381461538462,0.62254408411215,0.639488181818182
"ATM.Nucleus.Sphericity.mean",0.586649256410256,0.612748706386293,0.630675261363636
"ATM.Nucleus.Sphericity.SD",0.0169474430357098,0.0129962732341681,0.0115937939247139
"ATM.Nucleus.Volume.frac.min",0.248797666943446,0.285531287748379,0.279898577033935
"ATM.Nucleus.Volume.frac.max",0.318596596283685,0.335406578647053,0.36073619726776
"ATM.Nucleus.Volume.frac.mean",0.284858737135148,0.309319623417143,0.317429159504068
"ATM.Nucleus.Volume.frac.SD",0.043841755180248,0.0332524148129472,0.0496041675747596
"TVC.Cell.Ellipticity..oblate..min",0.336050115384615,0.304036252336449,0.300015090909091
