"","Arhgef8","Depdc","Tyrosinase"
"ATM.dist.mean_Nucleus",1,0.0278620814250399,1
"TVC.dist.min_Nucleus",0.864932132702066,7.0764922271168e-29,1
"TVC.dist.max_Nucleus",1,0.0131583173182437,1
"TVC.dist.mean_Nucleus",1,5.53589656945213e-10,1
"TVC.dist.sd_Nucleus",1,0.044865386832608,1
"TVC.ATM.dist.min_Nucleus",1,1,1
"TVC.ATM.dist.max_Nucleus",2.59495174011638e-09,4.47217592584759e-111,NA
"TVC.ATM.dist.mean_Nucleus",1,0.678423391084441,1
"TVC.ATM.dist.sd_Nucleus",1,1,1
"TVC.cosine.min_Nucleus",1,2.39282674163151e-26,1
"TVC.cosine.max_Nucleus",0.224683260707725,2.06167857417603e-30,1
"TVC.cosine.sd_Nucleus",1,3.72050188957678e-17,1
"ATM.Nucleus.Dist.to.Cell.Membrane.min",0.725844144832289,1.01877448234808e-06,1
"ATM.Nucleus.Dist.to.Cell.Membrane.max",1,3.31693170582844e-07,1
"ATM.Nucleus.Dist.to.Cell.Membrane.mean",0.47109148248084,9.26688396513494e-08,1
"ATM.Nucleus.Dist.to.Cell.Membrane.SD",1,1,1
"TVC.Nucleus.Dist.to.Cell.Membrane.min",0.000175688290752182,6.87325847178578e-27,0.708214600461094
"TVC.Nucleus.Dist.to.Cell.Membrane.max",0.0111141513581722,4.53507656306489e-28,1
"TVC.Nucleus.Dist.to.Cell.Membrane.mean",0.000313372400787226,3.26201341292296e-28,1
"TVC.Nucleus.Dist.to.Cell.Membrane.SD",1,3.86069292977645e-15,1
"ATM.dist.mean_Cell",1,0.00895860405899743,1
"TVC.dist.min_Cell",0.142723656908947,2.90727210219411e-22,1
"TVC.dist.max_Cell",1,0.00407617348366083,1
"TVC.dist.mean_Cell",1,6.63366248797994e-11,1
"TVC.dist.sd_Cell",1,0.027075896419159,1
"TVC.ATM.dist.min_Cell",0.346084107412119,0.283446156824481,1
"TVC.ATM.dist.max_Cell",2.59495174011638e-09,4.47217592584759e-111,NA
"TVC.ATM.dist.mean_Cell",0.0365511487119,0.158566408564116,1
"TVC.ATM.dist.sd_Cell",0.632525516076137,1,1
"TVC.cosine.min_Cell",1,3.45039557986765e-21,1
"TVC.cosine.max_Cell",0.839624873840633,7.11986386945715e-21,1
"TVC.cosine.sd_Cell",1,1.95771662510376e-14,1
"ATM.Cell.Ellipticity..oblate..min",1,0.457955879482267,1
"ATM.Cell.Ellipticity..oblate..max",1,1,1
"ATM.Cell.Ellipticity..oblate..mean",1,1,1
"ATM.Cell.Ellipticity..oblate..SD",1,0.236529936585041,1
"ATM.Cell.Ellipticity..prolate..min",1,1,1
"ATM.Cell.Ellipticity..prolate..max",1,1,1
"ATM.Cell.Ellipticity..prolate..mean",1,1,1
"ATM.Cell.Ellipticity..prolate..SD",1,0.489785497096144,1
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.min",1,0.0271861870194631,1
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.max",1,0.0134308208226402,0.0722130082241883
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.mean",1,0.0123614933024508,0.447890226254429
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.SD",1,0.459656272544599,1
"ATM.Cell.Sphericity.min",1,1,1
"ATM.Cell.Sphericity.max",1,1,1
"ATM.Cell.Sphericity.mean",1,1,1
"ATM.Cell.Sphericity.SD",1,1,1
"ATM.Cell.Volume.frac.min",1,0.235221371046103,1
"ATM.Cell.Volume.frac.max",1,0.0406432701354859,1
"ATM.Cell.Volume.frac.mean",1,0.0184619377901143,1
"ATM.Cell.Volume.frac.SD",1,1,1
"ATM.Nucleus.Ellipticity..oblate..min",1,1,1
"ATM.Nucleus.Ellipticity..oblate..max",1,1,1
"ATM.Nucleus.Ellipticity..oblate..mean",1,1,1
"ATM.Nucleus.Ellipticity..oblate..SD",1,1,1
"ATM.Nucleus.Ellipticity..prolate..min",0.954120412640596,1,1
"ATM.Nucleus.Ellipticity..prolate..max",1,1,1
"ATM.Nucleus.Ellipticity..prolate..mean",1,1,1
"ATM.Nucleus.Ellipticity..prolate..SD",1,1,1
"ATM.Nucleus.Sphericity.min",1,1,1
"ATM.Nucleus.Sphericity.max",1,1,1
"ATM.Nucleus.Sphericity.mean",1,1,1
"ATM.Nucleus.Sphericity.SD",1,1,1
"ATM.Nucleus.Volume.frac.min",1,0.0302288628182549,1
"ATM.Nucleus.Volume.frac.max",1,0.106522709862713,1
"ATM.Nucleus.Volume.frac.mean",1,0.0137820965392755,1
"ATM.Nucleus.Volume.frac.SD",1,0.0951214383089839,1
"TVC.Cell.Ellipticity..oblate..min",1,1,1
"TVC.Cell.Ellipticity..oblate..max",1,1,1
"TVC.Cell.Ellipticity..oblate..mean",1,1,1
"TVC.Cell.Ellipticity..oblate..SD",1,1,1
"TVC.Cell.Ellipticity..prolate..min",1,1,1
"TVC.Cell.Ellipticity..prolate..max",1,0.0212189440758732,1
"TVC.Cell.Ellipticity..prolate..mean",1,1,1
"TVC.Cell.Ellipticity..prolate..SD",1,0.331001486696958,1
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.min",1,1,0.0170835091157124
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.max",1,0.000771087734582605,1
