"","Arhgef8","Depdc","Tyrosinase"
"ATM.dist.mean_Nucleus",1,0.00985028144226123,1
"TVC.dist.min_Nucleus",1,8.36483798403879e-15,1
"TVC.dist.max_Nucleus",1,2.39969227743704e-09,1
"TVC.dist.mean_Nucleus",1,2.63200736028553e-12,1
"TVC.dist.sd_Nucleus",1,6.14003749457818e-08,1
"TVC.ATM.dist.min_Nucleus",1,0.351803685485692,1
"TVC.ATM.dist.max_Nucleus",0.0585436132524895,2.10998251887463e-22,NA
"TVC.ATM.dist.mean_Nucleus",1,0.276196481183645,1
"TVC.ATM.dist.sd_Nucleus",1,1,1
"TVC.cosine.min_Nucleus",1,7.3839157929014e-14,1
"TVC.cosine.max_Nucleus",1,1.78197084811963e-14,1
"TVC.cosine.sd_Nucleus",1,1.22164766048572e-13,1
"ATM.Nucleus.Dist.to.Cell.Membrane.min",0.25390625,1.24496397535545e-07,1
"ATM.Nucleus.Dist.to.Cell.Membrane.max",1,7.62090355652899e-07,1
"ATM.Nucleus.Dist.to.Cell.Membrane.mean",0.781494140625001,3.34152325769522e-08,1
"ATM.Nucleus.Dist.to.Cell.Membrane.SD",1,0.000159159720907416,1
"TVC.Nucleus.Dist.to.Cell.Membrane.min",0.02783203125,1.66371626504668e-14,1
"TVC.Nucleus.Dist.to.Cell.Membrane.max",0.12939453125,1.16542872088318e-14,1
"TVC.Nucleus.Dist.to.Cell.Membrane.mean",0.02783203125,4.6008474793607e-15,1
"TVC.Nucleus.Dist.to.Cell.Membrane.SD",1,1.02426565646027e-10,1
"ATM.dist.mean_Cell",1,0.0156584440422252,1
"TVC.dist.min_Cell",0.25390625,7.89396524523633e-14,1
"TVC.dist.max_Cell",1,2.42278759847085e-09,1
"TVC.dist.mean_Cell",1,1.7579132480079e-12,1
"TVC.dist.sd_Cell",1,4.44677025147908e-08,1
"TVC.ATM.dist.min_Cell",0.59814453125,0.0367197292875268,1
"TVC.ATM.dist.max_Cell",0.0585436132524895,2.10998251887463e-22,NA
"TVC.ATM.dist.mean_Cell",0.12939453125,0.016150297795822,1
"TVC.ATM.dist.sd_Cell",0.781494140625001,1,1
"TVC.cosine.min_Cell",1,3.96683584408181e-12,1
"TVC.cosine.max_Cell",1,1.34317514638062e-11,1
"TVC.cosine.sd_Cell",1,2.66787557858629e-12,1
"ATM.Cell.Ellipticity..oblate..min",1,1,1
"ATM.Cell.Ellipticity..oblate..max",1,1,1
"ATM.Cell.Ellipticity..oblate..mean",1,1,1
"ATM.Cell.Ellipticity..oblate..SD",1,0.000233290121474641,1
"ATM.Cell.Ellipticity..prolate..min",1,1,1
"ATM.Cell.Ellipticity..prolate..max",1,1,1
"ATM.Cell.Ellipticity..prolate..mean",1,1,1
"ATM.Cell.Ellipticity..prolate..SD",1,0.00656768485572218,1
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.min",1,0.000851709097906554,1
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.max",1,0.00037715580792776,0.0549898147583008
