"","Arhgef8","Depdc","Tyrosinase"
"ATM.dist.mean_Nucleus",-0.149264674033159,-0.277215636542843,0.0593124985478675
"TVC.dist.min_Nucleus",-0.347741888437651,-0.582154265279721,0.173846138451345
"TVC.dist.max_Nucleus",0.011632120209922,-0.0458132761991843,0.141220746749569
"TVC.dist.mean_Nucleus",-0.106581907991854,-0.236454975353558,0.187957106981997
"TVC.dist.sd_Nucleus",0.348723303952089,0.056474942710552,0.147712545971491
"TVC.ATM.dist.min_Nucleus",-0.433781834126662,-0.23389867236079,-0.394308918230224
"TVC.ATM.dist.max_Nucleus",0.0341902339947526,0.0360009317452535,0.037039420160982
"TVC.ATM.dist.mean_Nucleus",-0.474870662311547,-0.241332024827147,-0.4626414583343
"TVC.ATM.dist.sd_Nucleus",0.473952028850795,0.0386616613825707,0.363485824824923
"TVC.cosine.min_Nucleus",-0.665901252518144,-0.906710703814075,-0.293032989790715
"TVC.cosine.max_Nucleus",0.650103769146323,0.788965420672242,0.246524909557229
"TVC.cosine.sd_Nucleus",0.508444542525793,1.05662209806743,0.32508357782677
"ATM.Nucleus.Dist.to.Cell.Membrane.min",-0.438568187789955,-0.375418121888942,0.0500224841664308
"ATM.Nucleus.Dist.to.Cell.Membrane.max",-0.439138192091237,-0.34846072917153,0.210118483706373
"ATM.Nucleus.Dist.to.Cell.Membrane.mean",-0.456423314684617,-0.370213955780038,0.136338457154834
"ATM.Nucleus.Dist.to.Cell.Membrane.SD",-0.247659284406405,-0.098321641421727,0.481730623902694
"TVC.Nucleus.Dist.to.Cell.Membrane.min",-0.46432498260162,-0.396128205510417,-0.116953032239294
"TVC.Nucleus.Dist.to.Cell.Membrane.max",-0.420265675370062,-0.421083192296917,0.0608537990022618
"TVC.Nucleus.Dist.to.Cell.Membrane.mean",-0.465563624151024,-0.41820815009297,0.0248333292763613
"TVC.Nucleus.Dist.to.Cell.Membrane.SD",-0.260422225744721,-0.399912495204419,0.271361096836894
"ATM.dist.mean_Cell",-0.167185907573082,-0.351890793035405,-0.015360135584563
"TVC.dist.min_Cell",-0.389001774410816,-0.521228031465988,0.174191450477963
"TVC.dist.max_Cell",-0.0412387315529071,-0.0692367820357571,0.140503939629107
"TVC.dist.mean_Cell",-0.165637871294268,-0.258657789919407,0.160903087265605
