"","Df","Sum Sq","Mean Sq","F value","Pr(>F)","Sum Sq_residual","Mean Sq_residual","FDR"
"embedding1",14,108.484982279438,7.74892730567413,177.692175733137,2.26507240437185e-275,50.0628038922423,0.0436087141918487,3.17110136612058e-274
"embedding2",14,59.9281523765252,4.28058231260894,78.0502467483927,1.35351036959245e-155,62.9608322791915,0.054843930556787,2.70702073918489e-155
"embedding3",14,50.1767449850114,3.5840532132151,64.8835931360701,1.88440416399946e-134,63.413459241418,0.0552382049141272,2.63816582959924e-134
"embedding4",14,72.9910778834204,5.21364842024432,80.087341224119,1.02963181291453e-158,74.7342625558152,0.0650995318430446,2.88296907616068e-158
"embedding5",14,67.6876080456393,4.83482914611709,77.8578471365723,2.6793363266007e-155,71.2886891157722,0.0620981612506727,4.68883857155122e-155
"embedding6",14,52.4491810013149,3.7463700715225,61.1451978242144,4.11969403956351e-128,70.3380313605696,0.0612700621607749,4.80630971282409e-128
"embedding7",14,57.6851032639476,4.1203645188534,68.8182875905996,5.88086822344015e-141,68.7343238730897,0.0598731044190676,9.14801723646246e-141
"embedding8",14,82.9797169341932,5.92712263815666,107.504709515859,2.5914673419485e-197,63.2933833247563,0.0551336091679062,1.20935142624263e-196
"embedding9",14,49.3444117322968,3.5246008380212,60.2712720175418,1.31823161046828e-126,67.1338371765356,0.058478952244369,1.41963404204276e-126
"embedding10",14,21.668702842079,1.54776448871993,26.0489967521666,1.77933935751386e-59,68.2112117389969,0.0594174318283945,1.77933935751386e-59
"embedding11",14,61.1761030777335,4.36972164840954,79.8656265765551,2.24006794650102e-158,62.811007280656,0.0547134209761811,5.22682520850238e-158
"embedding12",14,83.0643370854452,5.93316693467465,132.677793251293,3.50093928761074e-228,51.3369681096963,0.0447186133359724,2.45065750132752e-227
"embedding13",14,72.9602128567531,5.21144377548237,84.2091430688381,6.57437626631459e-165,71.0461742778106,0.0618869113918211,2.3010316932101e-164
"embedding14",14,47.208376394917,3.37202688535122,63.9466302209539,7.06806586893322e-133,60.5362135738425,0.0527318933570057,8.9957201968241e-133
