"","Df","Sum Sq","Mean Sq","F value","Pr(>F)","Sum Sq_residual","Mean Sq_residual","FDR"
"embedding1",33,37.6717089548761,1.14156693802655,10.6623998950621,7.74939134199025e-47,120.876077216804,0.107064727384237,5.42457393939317e-46
"embedding2",33,19.2933794237871,0.584647861326883,6.37157757764235,5.85990454851164e-25,103.59560523193,0.0917587291691139,1.64077327358326e-24
"embedding3",33,11.8690812172805,0.359669127796378,3.99195794609531,7.693990638796e-13,101.721123009149,0.0900984260488475,1.3464483617893e-12
"embedding4",33,35.6676365616071,1.08083747156385,10.88961725227,5.7298850376161e-48,112.057703877629,0.099253944975756,8.02183905266254e-47
"embedding5",33,12.2806739222056,0.372141634006232,3.31619904501185,1.44385862121235e-09,126.695623239206,0.112219329707003,1.55492466899792e-09
"embedding6",33,19.4963445343107,0.590798319221536,6.45760188126771,2.10781885074385e-25,103.290867827574,0.0914888111847421,7.37736597760346e-25
"embedding7",33,11.9967923705816,0.363539162744897,3.58701506547822,7.32490826081701e-11,114.422634766456,0.101348657897658,1.02548715651438e-10
"embedding8",33,12.9725690838578,0.393108154056297,3.32946239611452,1.24953526916465e-09,133.300531175092,0.118069558171029,1.45779114735876e-09
"embedding9",33,13.1187308039799,0.397537297090301,4.34231521822352,1.3894056663324e-14,103.359518104852,0.091549617453368,2.7788113326648e-14
"embedding10",33,9.22521595562799,0.279551998655394,3.91315337929188,1.88197868902766e-12,80.6546986254479,0.0714390598985367,2.92752240515413e-12
"embedding11",33,8.44838305260728,0.256011607654766,2.50164695234414,6.98668628535297e-06,115.538727305782,0.1023372252487,6.98668628535297e-06
"embedding12",33,12.4128888783719,0.376148147829452,3.48124249598174,2.36368102124429e-10,121.98841631677,0.108049970165429,3.00832129976546e-10
"embedding13",33,33.257762806014,1.00781099412163,10.2738848384052,6.7808744473113e-45,110.74862432855,0.0980944413893266,3.16440807541194e-44
"embedding14",33,13.8740927209542,0.420427052150127,5.0565636253577,3.3745729956911e-18,93.8704972478054,0.0831448159856558,7.87400365661257e-18
