"","Df","Sum Sq","Mean Sq","F value","Pr(>F)","Sum Sq_residual","Mean Sq_residual","FDR"
"ATM.dist.mean_Nucleus",14,27.5814225995352,1.97010161425252,186.070444290817,2.99779583843349e-283,12.1549484217226,0.0105879341652636,1.0174337391047e-282
"TVC.dist.min_Nucleus",14,2.45070482159817,0.175050344399869,73.6978162647102,8.4536905146667e-149,2.72678086755303,0.00237524465814723,1.52711828652044e-148
"TVC.dist.max_Nucleus",14,54.620599946015,3.90147142471536,544.483844011312,0,8.22593589293015,0.00716544938408549,0
"TVC.dist.mean_Nucleus",14,13.9961144883259,0.999722463451852,291.269694107657,0,3.94027051650121,0.00343229139068049,0
"TVC.dist.sd_Nucleus",14,3.71927089807141,0.265662207005101,389.209423870627,0,0.783588975335886,0.000682568793846591,0
"TVC.ATM.dist.min_Nucleus",14,35.9737295589163,2.56955211135116,190.357670217399,3.46355870247467e-287,15.4963328793752,0.0134985478043338,1.25135024089407e-286
"TVC.ATM.dist.max_Nucleus",14,71.3096728641901,5.09354806172787,783.283539937097,0,7.46523177971182,0.00650281513912179,0
"TVC.ATM.dist.mean_Nucleus",14,48.9303497142277,3.49502497958769,497.067757923617,0,8.07191497056066,0.00703128481756155,0
"TVC.ATM.dist.sd_Nucleus",14,2.47534619176463,0.176810442268902,71.5906944549029,1.9223202103833e-145,2.83526217017719,0.00246974056635644,3.41745815179254e-145
"TVC.cosine.min_Nucleus",14,191.782246681154,13.6987319057967,322.730548577006,0,48.7284029887933,0.0424463440668931,0
"TVC.cosine.max_Nucleus",14,157.981311563384,11.2843793973846,376.337755895529,0,34.4224499010768,0.029984712457384,0
"TVC.cosine.sd_Nucleus",14,67.8616053815076,4.84725752725054,223.200044314829,1.88750636792541e-315,24.9312300020629,0.0217170993049328,8.13079666411282e-315
"ATM.Nucleus.Dist.to.Cell.Membrane.min",14,0.275803822105864,0.0197002730075617,66.2552608945075,9.732143756061e-137,0.341345171799869,0.00029733899982567,1.67692323181359e-136
"ATM.Nucleus.Dist.to.Cell.Membrane.max",14,0.326285519246891,0.023306108517635,62.98773764306,2.95422225767006e-131,0.424771766369243,0.00037001024945056,4.93840138595593e-131
"ATM.Nucleus.Dist.to.Cell.Membrane.mean",14,0.289742197729777,0.0206958712664126,66.0620303132074,2.03767027030334e-136,0.359644717263431,0.000313279370438529,3.45786470112081e-136
