"","Df","Sum Sq","Mean Sq","F value","Pr(>F)","Sum Sq_residual","Mean Sq_residual","FDR"
"ATM.dist.mean_Nucleus",33,7.36600724065319,0.223212340625854,7.78510659548363,3.01682450630608e-32,32.3703637806046,0.0286717128260449,2.11177715441425e-31
"TVC.dist.min_Nucleus",33,0.695231224812219,0.0210676128730975,5.30655613664158,1.77858264011311e-19,4.48225446433898,0.00397011024299289,5.10772450494021e-19
"TVC.dist.max_Nucleus",33,8.60311678234236,0.260700508555829,5.42611213080793,4.33683726768645e-20,54.2434190566028,0.0480455438942452,1.27822572100232e-19
"TVC.dist.mean_Nucleus",33,2.36780771951319,0.0717517490761572,5.20328371837786,6.00740771032537e-19,15.5685772853139,0.0137897053014295,1.6820741588911e-18
"TVC.dist.sd_Nucleus",33,0.529956625730488,0.0160592916888027,4.56365010329926,1.07160882164118e-15,3.97290324767681,0.00351895770387671,2.35333702007475e-15
"TVC.ATM.dist.min_Nucleus",33,6.44665410710854,0.195353154760865,4.89864539136328,2.1514855528454e-17,45.0234083311829,0.0398790153509149,5.12694429614223e-17
"TVC.ATM.dist.max_Nucleus",33,6.75593011597351,0.2047251550295,3.2093583884435,4.59805543098072e-09,72.0189745279284,0.063790057154941,7.9228032041514e-09
"TVC.ATM.dist.mean_Nucleus",33,5.20433831936176,0.157707221798841,3.43742435082759,3.83031284458474e-10,51.7979263654266,0.0458794741943548,6.80944505703953e-10
"TVC.ATM.dist.sd_Nucleus",33,0.695731507480185,0.021082772953945,5.15776507492109,1.02663847812361e-18,4.61487685446164,0.00408757914478444,2.80447584267912e-18
"TVC.cosine.min_Nucleus",33,60.1156598486943,1.82168666208164,11.401005335725,1.67979661832103e-50,180.394989821254,0.159782984784104,6.27124070839851e-49
"TVC.cosine.max_Nucleus",33,46.9895645362391,1.42392619806785,11.0554038847537,8.6107277630761e-49,145.414196928222,0.128799111539612,1.92880301892905e-47
"TVC.cosine.sd_Nucleus",33,20.6061633465711,0.624429192320336,9.76607645478269,2.42200155406055e-42,72.1866720369994,0.0639385934782988,3.39080217568477e-41
"ATM.Nucleus.Dist.to.Cell.Membrane.min",33,0.0438738120420952,0.00132950945582107,2.61831703710318,2.19587569671218e-06,0.573275181863637,0.000507772526008536,3.19400101339953e-06
"ATM.Nucleus.Dist.to.Cell.Membrane.max",33,0.0553581652802223,0.00167752016000674,2.72232665715194,7.67687226580257e-07,0.695699120335911,0.000616208255390533,1.16190499158093e-06
"ATM.Nucleus.Dist.to.Cell.Membrane.mean",33,0.0471390814157341,0.001428457012598,2.67784768546732,1.20581256006624e-06,0.602247833577474,0.000533434750732926,1.77698693062394e-06
"ATM.Nucleus.Dist.to.Cell.Membrane.SD",33,0.00305862533295601,9.2685616150182e-05,2.25991377173661,7.07432618416505e-05,0.0463035634112465,4.10128993899438e-05,8.90252283849984e-05
"TVC.Nucleus.Dist.to.Cell.Membrane.min",33,0.0950631013994863,0.00288070004240868,5.86855334635932,2.30261269191253e-22,0.554192857409575,0.000490870555721501,9.91894698054629e-22
"TVC.Nucleus.Dist.to.Cell.Membrane.max",33,0.277882076606126,0.00842066898806442,6.67126193441229,1.66264496432659e-26,1.42505801465915,0.00126223030527825,8.46437436384447e-26
"TVC.Nucleus.Dist.to.Cell.Membrane.mean",33,0.161853878546917,0.00490466298627022,6.67445273446614,1.60076235082395e-26,0.829635736710627,0.00073484121940711,8.46437436384447e-26
"TVC.Nucleus.Dist.to.Cell.Membrane.SD",33,0.00979944583695197,0.00029695290415006,4.77016160968344,9.66838048568622e-17,0.0702826982014276,6.2252168468935e-05,2.20991553958542e-16
"ATM.dist.mean_Cell",33,8.4437400840554,0.255870911638042,8.42078077146641,1.65749263142232e-35,34.3054007792491,0.0303856517088123,1.23759449812866e-34
"TVC.dist.min_Cell",33,0.848646491538563,0.0257165603496534,5.68150515797842,2.11394686713388e-21,5.11026494343438,0.00452636398887013,7.39881403496858e-21
"TVC.dist.max_Cell",33,8.92804094151651,0.27054669519747,5.722499768311,1.30072353697648e-21,53.3765366963216,0.0472777118656524,4.85603453804553e-21
"TVC.dist.mean_Cell",33,2.59140253785237,0.0785273496318899,5.60640616233744,5.14357843169239e-21,15.8135845258561,0.0140067179148416,1.74569934651378e-20
"TVC.dist.sd_Cell",33,0.518591626918772,0.0157148977854173,4.82011649776316,5.39309833805094e-17,3.68084871143045,0.00326027343793662,1.25838961221189e-16
"TVC.ATM.dist.min_Cell",33,6.14471999946341,0.186203636347376,5.10453786055758,1.92018166834216e-18,41.1837292971364,0.0364780596077382,4.9962921591786e-18
"TVC.ATM.dist.max_Cell",33,6.74348065987477,0.204347898784084,3.20319866186894,4.91392929128847e-09,72.0244986592936,0.0637949500968057,8.33878910036832e-09
"TVC.ATM.dist.mean_Cell",33,4.99207511104812,0.151275003365094,3.43399371190959,3.97757952799159e-10,49.7349422064662,0.0440522074459399,6.96076417398527e-10
"TVC.ATM.dist.sd_Cell",33,0.721458523695286,0.0218623795059177,5.48431750462828,2.18000174605626e-20,4.50058306094627,0.00398634460668403,6.78222765439725e-20
"TVC.cosine.min_Cell",33,59.9971066777807,1.81809414175093,10.9551286203108,2.70812002322931e-48,187.366881501622,0.165958265280445,5.05515737669471e-47
"TVC.cosine.max_Cell",33,46.8991746398098,1.42118711029727,11.3192398410265,4.25622403569503e-50,141.751590218103,0.125554995764485,1.19174272999461e-48
"TVC.cosine.sd_Cell",33,19.1824768595465,0.581287177562016,9.54671531185861,3.1035392385391e-41,68.7433532926572,0.0608887097366317,3.86218216351533e-40
"ATM.Cell.Ellipticity..oblate..min",33,0.883175400204296,0.0267628909152817,2.56989959314701,3.56008757055552e-06,11.7573869126741,0.0104139830935997,5.04721275825592e-06
"ATM.Cell.Ellipticity..oblate..max",33,1.40185484611446,0.0424804498822564,1.85295864838603,0.00252185870119234,25.8831614827683,0.0229257409059063,0.00282448174533543
"ATM.Cell.Ellipticity..oblate..mean",33,1.02846781348569,0.0311656913177483,2.19642381587088,0.000127224006936276,16.0197067813102,0.0141892885574049,0.00015488139974851
"ATM.Cell.Ellipticity..oblate..SD",33,0.14922349391373,0.00452192405799183,1.28035434622803,0.134373075793602,3.98737449247003,0.0035317754583437,0.134373075793602
"ATM.Cell.Ellipticity..prolate..min",33,3.10873398777569,0.0942040602356271,2.55453423028699,4.14660745928953e-06,41.634354609558,0.0368771962883596,5.80525044300534e-06
"ATM.Cell.Ellipticity..prolate..max",33,3.45217981525135,0.104611509553071,2.68890778581093,1.0780606559967e-06,43.9235569582013,0.0389048334439339,1.60990391295507e-06
"ATM.Cell.Ellipticity..prolate..mean",33,3.10794014088526,0.0941800042692502,2.75807941788291,5.32861803202523e-07,38.5519083063973,0.0341469515557106,8.17541396694281e-07
"ATM.Cell.Ellipticity..prolate..SD",33,0.272018265819236,0.00824297775209807,1.59635659942087,0.018104442507009,5.82972619369314,0.00516361930353688,0.0189504444933178
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.min",33,0.124328165085372,0.00376752015410219,3.89921742060833,2.20370882785683e-12,1.09086767808854,0.00096622469272678,4.33009453894676e-12
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.max",33,0.203062618099059,0.00615341266966846,3.9610242836593,1.09348932577526e-12,1.75389051077407,0.0015534902664075,2.18697865155052e-12
