"","Df","Sum Sq","Mean Sq","F value","Pr(>F)","Sum Sq_residual","Mean Sq_residual","FDR"
"ATM.dist.mean_Nucleus",6,8.17074560594483,1.36179093432414,49.8716657555918,1.18075643073017e-54,31.565625415313,0.0273059043385061,1.32244720241779e-53
"TVC.dist.min_Nucleus",6,0.577997608501463,0.0963329347502439,24.2115797711885,4.1494267506899e-27,4.59948808064973,0.00397879591751707,1.45229936274146e-26
"TVC.dist.max_Nucleus",6,10.4080405736547,1.73467342894245,38.2406564817048,1.66732574470871e-42,52.4384952652905,0.0453620201256838,1.09847343180809e-41
"TVC.dist.mean_Nucleus",6,2.61360706869832,0.435601178116387,32.8631638467615,1.06458081260548e-36,15.3227779361288,0.0132549982146443,4.9680437921589e-36
"TVC.dist.sd_Nucleus",6,0.783033510058077,0.130505585009679,40.5568544160098,5.73554714409727e-45,3.71982636334922,0.00321784287486957,4.01488300086809e-44
"TVC.ATM.dist.min_Nucleus",6,4.36043595218489,0.726739325364148,17.8330995761284,7.51623847309578e-20,47.1096264861066,0.040752272046805,2.05321636338226e-19
"TVC.ATM.dist.max_Nucleus",6,6.72333300744712,1.12055550124119,17.9782637632212,5.11992186505352e-20,72.0515716364548,0.0623283491664834,1.43357812221499e-19
"TVC.ATM.dist.mean_Nucleus",6,4.69994528565305,0.783324214275508,17.3132435063187,2.97602088713414e-19,52.3023193991353,0.045244220933508,7.57532589452325e-19
"TVC.ATM.dist.sd_Nucleus",6,0.219805939370589,0.0366343232284315,8.31878241125635,7.63187004868419e-09,5.09080242257123,0.00440380832402356,1.23879629775743e-08
"TVC.cosine.min_Nucleus",6,100.486489899341,16.7477483165568,138.264690076745,4.77310958125126e-132,140.024159770607,0.121128165891529,2.67294136550071e-130
"TVC.cosine.max_Nucleus",6,36.3703833121303,6.06173055202171,44.9093687588819,1.54477613353653e-49,156.033378152331,0.134976970720009,1.23582090682922e-48
"TVC.cosine.sd_Nucleus",6,25.7959388858081,4.29932314763468,74.1828027635829,2.2558239409614e-78,66.9968964977624,0.0579557928181335,6.31630703469192e-77
"ATM.Nucleus.Dist.to.Cell.Membrane.min",6,0.0209136898869424,0.00348561498115707,6.75802135676722,4.71897371554052e-07,0.59623530401879,0.00051577448444532,6.86396176805893e-07
"ATM.Nucleus.Dist.to.Cell.Membrane.max",6,0.0250185686951912,0.00416976144919853,6.63910081230334,6.44824216660336e-07,0.726038716920943,0.000628061173807044,9.14181167923515e-07
"ATM.Nucleus.Dist.to.Cell.Membrane.mean",6,0.0225800136436351,0.00376333560727251,6.94059997208099,2.91994825167827e-07,0.626806901349573,0.000542220502897554,4.30308163405218e-07
"ATM.Nucleus.Dist.to.Cell.Membrane.SD",6,0.00123718050646005,0.000206196751076676,4.95300578582963,5.12516281739269e-05,0.0481250082377425,4.16306299634451e-05,6.59791075342508e-05
"TVC.Nucleus.Dist.to.Cell.Membrane.min",6,0.0964175144176584,0.0160695857362764,33.6019343437405,1.66925315449982e-37,0.552838444391402,0.000478233948435469,8.12853710017305e-37
"TVC.Nucleus.Dist.to.Cell.Membrane.max",6,0.265668752526543,0.0442781254210906,35.6129782923927,1.10571830964401e-39,1.43727133873873,0.00124331430686742,5.89716431810138e-39
"TVC.Nucleus.Dist.to.Cell.Membrane.mean",6,0.162061532452907,0.0270102554088179,37.6450422886729,7.22910274694706e-42,0.829428082804637,0.000717498341526502,4.26136582977932e-41
"TVC.Nucleus.Dist.to.Cell.Membrane.SD",6,0.00588201350194197,0.000980335583656994,15.2731258895962,6.70260600263067e-17,0.0742001305364376,6.41869641318664e-05,1.41639975904648e-16
"ATM.dist.mean_Cell",6,11.2960029404654,1.88266715674423,69.193834921507,1.11428529482712e-73,31.4531379228392,0.027208596819065,2.49599906041274e-72
"TVC.dist.min_Cell",6,0.696921878406447,0.116153646401075,25.5176514123029,1.41461928241314e-28,5.26198955656649,0.00455189408007482,5.46335722863008e-28
"TVC.dist.max_Cell",6,11.0305479457774,1.83842465762957,41.4482520095129,6.55232417989307e-46,51.2740296920607,0.0443546969654504,4.89240205432016e-45
"TVC.dist.mean_Cell",6,2.87558264781211,0.479263774635351,35.6761218035732,9.45157016771815e-40,15.5294044158964,0.013433740844201,5.29287929392216e-39
"TVC.dist.sd_Cell",6,0.799537604977718,0.133256267496286,45.3084271246047,5.93943183900348e-50,3.3999027333715,0.00294109232990615,5.11704896898761e-49
"TVC.ATM.dist.min_Cell",6,3.80204074936699,0.633673458227831,16.8294730064041,1.0727480245716e-18,43.5264085472329,0.0376526025495094,2.66995063893376e-18
"TVC.ATM.dist.max_Cell",6,6.73461573416168,1.12243595569361,18.0129859304792,4.67079365743878e-20,72.0333635850068,0.0623125982569263,1.34135612726447e-19
"TVC.ATM.dist.mean_Cell",6,4.35469586881349,0.725782644802248,16.6560665314153,1.69927797093216e-18,50.3723214487008,0.0435746725334782,4.13737245096525e-18
"TVC.ATM.dist.sd_Cell",6,0.262541046316142,0.0437568410526904,10.1991940248865,5.09952950917506e-11,4.95950053832541,0.00429022537917423,9.06583023853344e-11
"TVC.cosine.min_Cell",6,107.639586357402,17.9399310595671,148.424756409257,1.32794021064688e-139,139.724401822,0.120868859707613,1.48729303592451e-137
"TVC.cosine.max_Cell",6,38.4647285391892,6.41078808986487,49.3446076182241,4.08292492851516e-54,150.186036318724,0.129918716538689,4.15715992721543e-53
"TVC.cosine.sd_Cell",6,25.8566020636341,4.30943367727236,80.2604685822452,5.60777674741778e-84,62.0692280885695,0.0536931038828456,2.09356998570264e-82
"ATM.Cell.Ellipticity..oblate..min",6,1.06896262460676,0.17816043743446,17.7981844535272,8.2435463691811e-20,11.5715996882716,0.0100100343324149,2.19827903178163e-19
"ATM.Cell.Ellipticity..oblate..max",6,2.08027523031353,0.346712538385589,15.9017580385499,1.25943871598746e-17,25.2047410985692,0.0218034092548176,2.8211427238119e-17
"ATM.Cell.Ellipticity..oblate..mean",6,1.49150839159332,0.24858473193222,18.4720779092431,1.38852678259743e-20,15.5566662032026,0.0134573237051925,4.2031080986733e-20
"ATM.Cell.Ellipticity..oblate..SD",6,0.15086023075974,0.0251433717932899,7.29243607460886,1.15537543538396e-07,3.98573775562402,0.00344787003081663,1.74867633463518e-07
"ATM.Cell.Ellipticity..prolate..min",6,0.82350419547956,0.137250699246593,3.61255258878005,0.00148390302044639,43.9195844018542,0.0379927200708081,0.00174944356094732
"ATM.Cell.Ellipticity..prolate..max",6,1.76778943007342,0.294631571678903,7.46786726217913,7.2702233897053e-08,45.6079473433792,0.0394532416465218,1.11543153376301e-07
"ATM.Cell.Ellipticity..prolate..mean",6,1.11459154978072,0.185765258296787,5.29641825020269,2.12245159262542e-05,40.5452568975018,0.0350737516414376,2.79664209851819e-05
"ATM.Cell.Ellipticity..prolate..SD",6,0.352811378268902,0.0588018963781503,11.8239317195946,6.64807911201234e-13,5.74893308124347,0.00497312550280577,1.26200823821251e-12
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.min",6,0.00525147222263586,0.00087524537043931,0.836223278126719,0.541873226657064,1.20994437095127,0.00104666468075369,0.541873226657064
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.max",6,0.0276527241000872,0.00460878735001454,2.7614974647992,0.0113978390205196,1.92930040477304,0.00166894498682789,0.0128945249525071
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.mean",6,0.0130906276121438,0.00218177126869063,1.8538893773805,0.0856557839549827,1.36045204065523,0.00117686162686439,0.0922446904130583
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.SD",6,0.00681342989141809,0.00113557164856968,5.8502696782902,5.06231012368089e-06,0.224386378395159,0.000194105863663632,6.99973745496616e-06
"ATM.Cell.Sphericity.min",6,0.858024050750358,0.143004008458393,8.90245995890764,1.61737067725794e-09,18.5693206755166,0.0160634261898932,2.70366441571477e-09
