"","Df","Sum Sq","Mean Sq","F value","Pr(>F)","Sum Sq_residual","Mean Sq_residual","FDR"
"ATM.dist.mean_Nucleus",14,163.676495622269,11.6911782587335,15.2873202397939,1.99182531605994e-34,877.948026894149,0.76476308962905,3.24382980044048e-34
"TVC.dist.min_Nucleus",14,883.289909582385,63.0921363987418,85.991151626709,1.53483390523288e-167,842.29331990082,0.733704982492004,6.03348500677752e-167
"TVC.dist.max_Nucleus",14,1650.36566099643,117.883261499745,547.895646194512,0,246.999561215098,0.215156412208274,0
"TVC.dist.mean_Nucleus",14,1449.08667668652,103.506191191895,317.707210905954,0,374.008217029323,0.325791129816484,0
"TVC.dist.sd_Nucleus",14,1222.19749236684,87.2998208833459,318.727704879197,0,314.438289611711,0.273900949139121,0
"TVC.ATM.dist.min_Nucleus",14,635.384161266051,45.3845829475751,53.7213353207371,4.93221705647969e-115,969.847471451521,0.84481487060237,1.6064935555391e-114
"TVC.ATM.dist.max_Nucleus",14,91.5369716432698,6.53835511737641,3.75704481957541,3.16457497897128e-06,1997.85523868102,1.74029201975699,3.27965043275206e-06
"TVC.ATM.dist.mean_Nucleus",14,604.193865543981,43.1567046817129,49.0311064269064,2.06260319659805e-106,1010.45847391726,0.880190308290293,6.53157678922715e-106
"TVC.ATM.dist.sd_Nucleus",14,360.510023998585,25.7507159998989,27.1827319846756,5.38762031528826e-62,1087.5221072168,0.947318908725438,1.27955982488096e-61
"TVC.cosine.min_Nucleus",14,1001.02005050855,71.5014321791825,230.79497331197,1.48219693752374e-321,355.656117478553,0.309804980382015,1.40808709064755e-320
"TVC.cosine.max_Nucleus",14,1018.42400237086,72.7445715979187,208.032163079407,8.56874494497855e-303,401.432004350857,0.349679446298656,6.97740659805396e-302
"TVC.cosine.sd_Nucleus",14,737.666847801606,52.6904891286861,89.1854771933887,3.43757170793305e-172,678.234656844059,0.590796739411201,1.45141916557173e-171
"ATM.Nucleus.Dist.to.Cell.Membrane.min",14,292.543462233709,20.8959615881221,21.1803402315988,2.12943405896449e-48,1132.58633434867,0.986573461976192,4.11449970715174e-48
"ATM.Nucleus.Dist.to.Cell.Membrane.max",14,153.979683657292,10.9985488326637,10.4603620835563,1.38248048269743e-22,1207.0647229073,1.05145010706211,1.75114194475008e-22
"ATM.Nucleus.Dist.to.Cell.Membrane.mean",14,201.995131539488,14.428223681392,14.0116863886103,2.50696725668612e-31,1182.12757029033,1.02972784868496,3.86208469273267e-31
"ATM.Nucleus.Dist.to.Cell.Membrane.SD",14,82.9710662052242,5.92650472894458,7.04209059513193,4.13963441441706e-14,966.137446958096,0.841583141949561,4.81549309432189e-14
"TVC.Nucleus.Dist.to.Cell.Membrane.min",14,959.584626223713,68.5417590159795,96.7211677343215,7.87092276773998e-183,813.533802305643,0.708653137896901,3.73868831467649e-182
"TVC.Nucleus.Dist.to.Cell.Membrane.max",14,1128.75639038391,80.6254564559936,132.572145763082,4.63556212889259e-228,698.17097308578,0.60816286854162,3.52302721795837e-227
"TVC.Nucleus.Dist.to.Cell.Membrane.mean",14,1094.28349563328,78.1631068309489,128.037760513054,9.0276896974656e-223,700.818620088102,0.610469181261413,6.05386250300635e-222
"TVC.Nucleus.Dist.to.Cell.Membrane.SD",14,552.805712905076,39.4861223503626,39.7756172525594,1.67198886008737e-88,1139.64462626408,0.992721799881605,5.01596658026212e-88
"ATM.dist.mean_Cell",14,217.362928931328,15.5259234950949,20.0044383334836,1.16858192276076e-45,890.990283018111,0.776123939911247,2.14868289023752e-45
"TVC.dist.min_Cell",14,967.011369408211,69.0722406720151,103.637215479338,3.25149300938285e-192,765.120250719997,0.666481054634144,1.76509620509355e-191
"TVC.dist.max_Cell",14,1646.99919082939,117.642799344956,534.929200958316,0,252.470669774735,0.219922186214926,0
"TVC.dist.mean_Cell",14,1440.58809347186,102.899149533704,311.291412296058,0,379.477939315411,0.33055569626778,0
"TVC.dist.sd_Cell",14,1215.95725344013,86.854089531438,305.815262548259,0,326.041591094088,0.284008354611575,0
"TVC.ATM.dist.min_Cell",14,726.721279912249,51.908662850875,65.7054532591644,7.98768077247423e-136,906.94367053153,0.790020618929904,2.84561127519394e-135
