"","Df","Sum Sq","Mean Sq","F value","Pr(>F)","Sum Sq_residual","Mean Sq_residual","FDR"
"ATM.dist.mean_Nucleus",33,94.4000226564285,2.8606067471645,3.40956660013133,5.20184721349994e-10,947.22449985999,0.838994242568636,9.26579034904677e-10
"TVC.dist.min_Nucleus",33,236.539704451445,7.16786983186196,5.43471356218385,3.91780217746543e-20,1489.04352503176,1.31890480516542,1.27608413780303e-19
"TVC.dist.max_Nucleus",33,232.745532218692,7.05289491571794,4.78350605109076,8.2729618184757e-17,1664.61968999283,1.47441956598125,1.96482843188798e-16
"TVC.dist.mean_Nucleus",33,216.808678913912,6.56995996708824,4.617785258001,5.71128823616206e-16,1606.28621480194,1.42275129743307,1.30217371784495e-15
"TVC.dist.sd_Nucleus",33,118.886850644559,3.60263183771391,2.86889395920892,1.69849330225078e-07,1417.748931334,1.25575636079185,2.65244159529573e-07
"TVC.ATM.dist.min_Nucleus",33,286.471735614508,8.68096168528812,7.43183483530234,1.98394736854798e-30,1318.75989710306,1.16807785394426,1.61550000010335e-29
"TVC.ATM.dist.max_Nucleus",33,40.0059063731687,1.21230019312632,0.667852085963909,0.924770317016914,2049.38630395112,1.81522258985927,0.924770317016914
"TVC.ATM.dist.mean_Nucleus",33,238.238310997958,7.21934275751387,5.9216469788041,1.22653062737384e-22,1376.41402846328,1.21914440076464,6.35565870548262e-22
"TVC.ATM.dist.sd_Nucleus",33,193.487058530971,5.8632441979082,5.2764965114199,2.53524458498539e-19,1254.54507268442,1.11120024152738,7.41071494072653e-19
"TVC.cosine.min_Nucleus",33,198.806393490622,6.0244361663825,5.8742257390764,2.15278504308295e-22,1157.86977449649,1.02557110229981,1.0225728954644e-21
"TVC.cosine.max_Nucleus",33,192.499631619711,5.83332217029428,5.3658585752772,8.83445860183854e-20,1227.35637510201,1.08711813560851,2.65033758055156e-19
"TVC.cosine.sd_Nucleus",33,182.582026441774,5.53278868005376,5.06480156210428,3.06326378461796e-18,1233.31947820389,1.09239989212036,8.12121096387088e-18
"ATM.Nucleus.Dist.to.Cell.Membrane.min",33,145.320030014874,4.40363727317801,3.88472303563699,2.59650174853043e-12,1279.8097665675,1.13357818119354,5.01696948021133e-12
"ATM.Nucleus.Dist.to.Cell.Membrane.max",33,147.672024510042,4.47490983363764,4.16374501092752,1.0825816713538e-13,1213.37238205455,1.0747319593043,2.2438965551697e-13
"ATM.Nucleus.Dist.to.Cell.Membrane.mean",33,148.292411794322,4.49370944831278,4.10525458718074,2.1142600592965e-13,1235.8302900355,1.09462381756909,4.30402940642502e-13
"ATM.Nucleus.Dist.to.Cell.Membrane.SD",33,51.4399081372809,1.55878509506912,1.76398090855741,0.00514283187552039,997.66860502604,0.883674583725456,0.00651425370899249
"TVC.Nucleus.Dist.to.Cell.Membrane.min",33,259.617389224694,7.86719361286952,5.86855334635932,2.30261269191253e-22,1513.50103930466,1.34056779389253,1.04999138751211e-21
"TVC.Nucleus.Dist.to.Cell.Membrane.max",33,298.114051206767,9.03375912747778,6.67126193441229,1.66264496432655e-26,1528.81331226292,1.35413048030374,1.05300847740681e-25
"TVC.Nucleus.Dist.to.Cell.Membrane.mean",33,293.038106850784,8.87994263184195,6.67445273446615,1.6007623508238e-26,1502.0640088706,1.33043756321577,1.05300847740681e-25
"TVC.Nucleus.Dist.to.Cell.Membrane.SD",33,185.23318001749,5.61312666719666,4.20458324056761,6.77771177411256e-14,1507.21715915167,1.33500191244612,1.43085026342376e-13
"ATM.dist.mean_Cell",33,103.045493469222,3.12259071118854,3.5067918490285,1.78253387635695e-10,1005.30771848022,0.890440848963877,3.22553749055068e-10
"TVC.dist.min_Cell",33,246.876696996921,7.48111203020974,5.68668405037174,1.98817111308729e-21,1485.25492313129,1.31554909046172,7.5550502297317e-21
"TVC.dist.max_Cell",33,243.117395015427,7.36719378834627,5.02161343062132,5.08725873124152e-18,1656.3524655887,1.46709695800593,1.31806248945803e-17
"TVC.dist.mean_Cell",33,231.230068306823,7.00697176687343,4.97903578572819,8.38485943143075e-18,1588.83596448045,1.40729491982325,2.12416438929579e-17
"TVC.dist.sd_Cell",33,126.573032285299,3.83554643288785,3.05938459314238,2.29191673131638e-08,1415.42581224892,1.25369868223997,3.84233099073628e-08
"TVC.ATM.dist.min_Cell",33,308.550314318269,9.35000952479603,7.966224555756,3.54052216911672e-33,1325.11463612551,1.17370649789682,3.36349606066088e-32
"TVC.ATM.dist.max_Cell",33,50.492629725161,1.53007968864124,0.847719626030697,0.713891783885227,2037.77276758885,1.80493602089358,0.72020941029129
"TVC.ATM.dist.mean_Cell",33,252.242018709568,7.64369753665359,6.2671212596537,2.02768826745176e-24,1376.9854070701,1.21965049341904,1.15578231244751e-23
"TVC.ATM.dist.sd_Cell",33,208.028401311504,6.30389094883344,5.77568097190115,6.92585395462859e-22,1232.25173202222,1.09145414705245,2.92424944750985e-21
"TVC.cosine.min_Cell",33,205.58293633366,6.22978594950484,5.88618272490535,1.86811274026929e-22,1194.90485866697,1.05837454266339,9.25934140829125e-22
"TVC.cosine.max_Cell",33,200.02255574915,6.06128956815606,5.40918925968259,5.29644469034609e-20,1265.10565519568,1.12055416757811,1.67720748527626e-19
"TVC.cosine.sd_Cell",33,176.026695773179,5.33414229615693,4.50777468389914,2.04965351683811e-15,1335.96887037664,1.18332052291997,4.49347117152971e-15
"ATM.Cell.Ellipticity..oblate..min",33,87.8502976108201,2.66213023063091,2.61544451907952,2.25998620243848e-06,1149.15266160571,1.01785001027964,3.4351790277065e-06
"ATM.Cell.Ellipticity..oblate..max",33,66.078147926547,2.00236811898627,1.70732464292035,0.00797168265559203,1324.10295587877,1.17281041264727,0.0097717400294354
"ATM.Cell.Ellipticity..oblate..mean",33,78.3106278635586,2.37304932919875,2.19201551299912,0.000132467818770982,1222.24166607276,1.08258783531688,0.000184767410036788
"ATM.Cell.Ellipticity..oblate..SD",33,37.9886932180399,1.15117252175878,1.26352297867363,0.147119876320668,1028.6111127397,0.911081587900533,0.153868494500515
"ATM.Cell.Ellipticity..prolate..min",33,59.7172939180885,1.8096149672148,1.60272215212933,0.0172973263847776,1274.74078727319,1.12908838553869,0.0203288165759241
"ATM.Cell.Ellipticity..prolate..max",33,49.7949440171144,1.50893769748831,1.64928170038049,0.0123235251353562,1032.92885628409,0.91490598430832,0.0149455517599001
"ATM.Cell.Ellipticity..prolate..mean",33,53.5303642734989,1.62213225071209,1.6464419001771,0.0125844239330022,1112.33035970292,0.985235039595145,0.0151013087196026
"ATM.Cell.Ellipticity..prolate..SD",33,43.8665245935327,1.32928862404645,1.57323755548617,0.0213325933184268,953.935310859434,0.84493827356903,0.0248154656969454
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.min",33,288.084082667105,8.72982068688198,8.67459778917891,8.36750980712555e-37,1136.18726712431,1.0063660470543,1.19237014751539e-35
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.max",33,260.547866335915,7.89538988896711,8.30190234338978,6.72771004152097e-35,1073.71718142907,0.951033818803428,6.97235404303082e-34
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.mean",33,306.836046901877,9.29806202732959,10.3374148600779,3.25876324332846e-45,1015.48715718041,0.899457180850677,7.4299801947889e-44
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.SD",33,74.2622525247854,2.25037128862986,2.48664915663267,8.09323120262262e-06,1021.72402491375,0.904981421535651,1.19821864558309e-05
"ATM.Cell.Sphericity.min",33,149.708905690795,4.53663350578167,5.45995005877638,2.90762108018301e-20,938.078036042579,0.83089285743364,9.7490824453195e-20
"ATM.Cell.Sphericity.max",33,132.344325831639,4.01043411611026,4.40116685239392,7.04229528731604e-15,1028.768112853,0.911220649116919,1.51475785425288e-14
"ATM.Cell.Sphericity.mean",33,149.398981788631,4.52724187238277,5.37297802347271,8.12232740363989e-20,951.289220166323,0.842594526276637,2.50255492977013e-19
"ATM.Cell.Sphericity.SD",33,43.0556203913413,1.30471576943458,1.77149748072421,0.0048478055629303,831.513518771392,0.736504445324528,0.00620954869858488
"ATM.Cell.Volume.frac.min",33,109.809307709511,3.3275547790761,2.41547892113168,1.61655131788163e-05,1555.30620147859,1.37759628120336,2.3626519261347e-05
"ATM.Cell.Volume.frac.max",33,146.903175600719,4.45161138183997,3.57252230186645,8.60468172463411e-11,1406.81256138599,1.24606958493002,1.58215115581982e-10
"ATM.Cell.Volume.frac.mean",33,133.943138065222,4.05888297167341,3.00653516325454,4.01288377396982e-08,1524.17271915716,1.350020123257,6.44322183426139e-08
"ATM.Cell.Volume.frac.SD",33,40.3267658467771,1.22202320747809,1.36118508743724,0.0848364070974561,1013.57575393389,0.897764175317886,0.09299375393375
"ATM.Nucleus.Ellipticity..oblate..min",33,42.0879913793246,1.27539367816135,1.32853161283437,0.102648861180475,1083.84282973302,0.960002506406568,0.111447334995945
"ATM.Nucleus.Ellipticity..oblate..max",33,59.0817274053886,1.79035537592087,1.96663076043198,0.00097547900758896,1027.80413084287,0.910366812084034,0.00130828949253108
"ATM.Nucleus.Ellipticity..oblate..mean",33,42.6099974224207,1.29121204310366,1.40359286223871,0.0656213528963943,1038.60488029192,0.919933463500373,0.073341512060676
"ATM.Nucleus.Ellipticity..oblate..SD",33,27.0372848244058,0.81931166134563,1.17746054069564,0.227049923412983,785.59139239836,0.6958293998214,0.235306284264365
"ATM.Nucleus.Ellipticity..prolate..min",33,93.9025682345235,2.84553237074314,3.01601139401805,3.63030589816995e-08,1065.18365711114,0.943475338450962,5.94101843792793e-08
