"","Df","Sum Sq","Mean Sq","F value","Pr(>F)","Sum Sq_residual","Mean Sq_residual","FDR"
"ATM.dist.mean_Nucleus",6,47.188788107898,7.86479801798301,9.1425782423195,8.5347594853557e-10,994.43573440852,0.860238524574845,2.07013315176713e-09
"TVC.dist.min_Nucleus",6,273.239925243202,45.5399875405337,36.2477834566842,2.2874797283517e-40,1452.34330424,1.25635233930796,1.18533040469134e-39
"TVC.dist.max_Nucleus",6,377.96085308272,62.9934755137866,47.9269766320937,1.16323141139084e-52,1519.40436912881,1.31436364111488,1.02006446845043e-51
"TVC.dist.mean_Nucleus",6,348.085959182677,58.0143265304462,45.4672238920514,4.06195494172257e-50,1475.00893453317,1.27595928592835,2.89414289597733e-49
"TVC.dist.sd_Nucleus",6,298.375306258001,49.7292177096668,46.4255920297566,4.12119934350203e-51,1238.26047572055,1.07115958107314,3.13211150106154e-50
"TVC.ATM.dist.min_Nucleus",6,142.941011021957,23.8235018369929,18.833443718342,5.3497983547519e-21,1462.29062169562,1.26495728520382,2.03292337480572e-20
"TVC.ATM.dist.max_Nucleus",6,6.09498065820842,1.0158301097014,0.563673579599126,0.759472994830589,2083.29722966608,1.80216023327516,0.766193994784842
"TVC.ATM.dist.mean_Nucleus",6,105.827051440717,17.6378419067862,13.513390454235,7.29675102045031e-15,1508.82528802052,1.30521218686896,2.13289645213163e-14
"TVC.ATM.dist.sd_Nucleus",6,60.5620664089722,10.0936777348287,8.40976087155435,5.99388533307366e-09,1387.47006480642,1.20023362007475,1.22018379994714e-08
"TVC.cosine.min_Nucleus",6,508.002422793105,84.6670704655175,115.32716077574,4.12366951856978e-114,848.673745194003,0.734146838403116,2.35049162558478e-112
"TVC.cosine.max_Nucleus",6,465.877762290289,77.6462937150482,94.0892688680675,2.73043988353716e-96,953.978244431429,0.825240695874938,7.78175366808091e-95
"TVC.cosine.sd_Nucleus",6,364.816578469924,60.8027630783207,66.8718505689869,1.82404502124987e-71,1051.08492617574,0.909243015722959,3.46568554037475e-70
"ATM.Nucleus.Dist.to.Cell.Membrane.min",6,119.807730691469,19.9679551152448,17.6837247422677,1.11594133953909e-19,1305.32206589091,1.12917133727587,3.85507008204413e-19
"ATM.Nucleus.Dist.to.Cell.Membrane.max",6,105.565290032465,17.5942150054108,16.2001201600508,5.70046718905852e-18,1255.47911653213,1.08605459907624,1.91133311633139e-17
"ATM.Nucleus.Dist.to.Cell.Membrane.mean",6,118.31704289674,19.7195071494566,18.0088863593689,4.72169755522403e-20,1265.80565893308,1.09498759423277,1.68210475404856e-19
"ATM.Nucleus.Dist.to.Cell.Membrane.SD",6,31.029394251259,5.17156570854317,5.87216636509004,4.78220489644704e-06,1018.07911891206,0.880691279335693,8.01722585580828e-06
"TVC.Nucleus.Dist.to.Cell.Membrane.min",6,263.316292022238,43.8860486703731,33.6019343437405,1.66925315449978e-37,1509.80213650712,1.30605721151135,7.92895248387394e-37
"TVC.Nucleus.Dist.to.Cell.Membrane.max",6,285.011502224357,47.5019170373928,35.6129782923927,1.10571830964392e-39,1541.91586124533,1.33383725021223,5.48051683910462e-39
"TVC.Nucleus.Dist.to.Cell.Membrane.mean",6,293.41406637698,48.9023443961634,37.6450422886729,7.22910274694705e-42,1501.68804934441,1.29903810496921,4.12058856575982e-41
"TVC.Nucleus.Dist.to.Cell.Membrane.SD",6,156.446228701075,26.0743714501791,19.623628082103,6.66937007793044e-22,1536.00411046808,1.32872327895163,2.62175237546231e-21
"ATM.dist.mean_Cell",6,48.258691791786,8.043115298631,8.77076629340061,2.29601892468999e-09,1060.09452015765,0.917036782143299,5.45304494613872e-09
"TVC.dist.min_Cell",6,295.45094287242,49.24182381207,39.6215729966404,5.63184184332256e-44,1436.68067725579,1.2428033540275,3.56683316743762e-43
"TVC.dist.max_Cell",6,406.791407571192,67.798567928532,52.5063816431025,2.48329908583528e-57,1492.67845303293,1.29124433653368,2.57360087077475e-56
"TVC.dist.mean_Cell",6,375.574764533149,62.5957940888581,50.0942716352855,6.99711879561147e-55,1444.49126825412,1.24955992063505,6.6472628558309e-54
