"","Condition","condition","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"1","Condition","5HTR",0,0.374264360760345,0.752613369923874,0,0,0.677192828372411,0.000163692977899011,0.792258542695536,0.426953639359731,0,0,0,0,0,0.0750564692344102
"2","Condition","ADF/Cofilin",0.00271157720663266,0.203820783279154,0.166083150069035,6.12602167298726e-05,0.0400687806911517,0.891061007268798,0,0.894590977973805,0.547072493449157,0.160597822341589,0.81345395939714,0.124034027286119,0.118055478558543,0,0
"3","Condition","Arhgef8",0.36562637917686,0,0.67876084652006,0,0,0.82639992120825,0,0.279424799395001,0,0.9774092406534,0,0,0.00493413553935186,0,0
"4","Condition","BMP",0.624741362386443,0,0.0731862801136505,0,0,0.246671381898777,7.44619209509792e-09,0,0,0.9774092406534,0,0.495714740090139,0,0,0
"5","Condition","Col9a1",0,0.269855859350716,0.752613369923874,0.576968713600644,0.98315889814949,0.891061007268798,0,0,0,0,0.420931704372208,0,0,0,0
"6","Condition","Daam",0.0915329789391112,0.115156405550061,0,0.0076609062584547,0.98315889814949,0.82639992120825,0,0.60358488830398,0.284063196956374,0.317986540883081,0.703039699280469,0.897403544438423,0.226346966939605,0.633258598332608,0
"7","Condition","Ddr",0.727888061608106,0.824274687440294,0,0.801169071209285,0,0,0,0,0.0858602796766337,0,0.420931704372208,0,0,0.621316703918465,0.284800591289876
"8","Condition","Depdc",2.09999794486198e-31,0,0.0754134251163536,0,0.000310761524890782,0.131536790762232,0.00795858849168956,0.0289972069633571,0.0237981653615615,0.12297436984226,0.109776690337401,0.275082525260317,1.50979391062089e-05,0.743512740766824,6.67413447712865e-05
"9","Condition","Dync2h",0.104764398544216,0.944300537052117,0.548417998200637,0.724602269830218,0.768155064994697,0.336104914384007,0.731361213235664,0.0707049900978249,0.748415202609501,0.9774092406534,0.947595693525995,0.546874543062076,0.513201761836878,0,0
"10","Condition","EPB4.1",0.104764398544216,0.824274687440294,0,0.507794442778367,0.420847922635824,0.891061007268798,0.0114612457102686,0.894590977973805,0.864515605991598,0.612643903078177,0.947595693525995,0,0.513201761836878,0,0
"11","Condition","Eph",0.0145107361462349,0.678397074354138,0.341000284440249,0.11947247794159,0.00437794822298717,0.677192828372411,0.620316110241977,0.866055201620276,0.131104293540863,0.847680922695784,0.0878797356580166,0,0,0.85262005140847,0
