"","Condition","condition","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"5HTR","Condition","5HTR",0,1,3,0,0,3,8,1,3,0,0,0,0,0,2
"ADF/Cofilin","Condition","ADF/Cofilin",1,11,3,18,12,6,0,5,3,1,3,1,1,0,0
"Arhgef8","Condition","Arhgef8",3,0,1,0,0,1,0,3,0,1,0,0,4,0,0
"BMP","Condition","BMP",3,0,8,0,0,6,15,0,0,2,0,1,0,0,0
"Col9a1","Condition","Col9a1",0,3,1,2,1,1,0,0,0,0,2,0,0,0,0
"Daam","Condition","Daam",2,10,0,12,5,5,0,2,6,1,2,3,1,1,0
"Ddr","Condition","Ddr",1,1,0,1,0,0,0,0,3,0,2,0,0,1,1
"Depdc","Condition","Depdc",56,0,5,0,1,4,2,2,2,2,2,3,16,4,8
"Dync2h","Condition","Dync2h",1,3,2,4,2,1,2,6,3,2,2,1,1,0,0
"EPB4.1","Condition","EPB4.1",1,4,0,2,5,3,7,2,2,1,2,0,1,0,0
"Eph","Condition","Eph",1,4,8,2,12,3,3,3,1,4,7,0,0,2,0
"Ets","Condition","Ets",2,11,1,23,1,2,0,9,26,3,3,4,0,2,1
"Farp","Condition","Farp",1,2,8,1,5,1,1,3,1,2,1,1,1,0,0
"FGF4","Condition","FGF4",0,1,1,0,3,2,8,0,0,3,1,0,0,0,0
"Fgfr","Condition","Fgfr",3,0,2,3,3,0,8,2,0,1,2,3,0,1,2
"Foxf","Condition","Foxf",19,2,1,1,2,1,0,2,4,2,0,2,18,4,1
"FZD","Condition","FZD",1,1,8,0,7,5,5,4,0,2,3,0,0,0,0
"Gata","Condition","Gata",3,12,1,8,3,1,1,2,1,3,1,0,0,0,0
"Gna-L/S","Condition","Gna-L/S",0,10,0,5,3,2,0,4,2,0,6,0,0,2,0
"Gna12/13","Condition","Gna12/13",2,0,4,1,2,3,3,3,0,6,1,1,0,0,0
"Hand","Condition","Hand",3,5,4,7,12,3,2,3,1,2,1,2,0,0,0
"Handr","Condition","Handr",11,1,5,1,0,0,0,5,0,6,0,22,5,1,0
"MRF","Condition","MRF",0,1,18,4,1,20,3,0,0,2,4,6,0,0,0
"NDE","Condition","NDE",0,2,0,0,0,0,0,0,2,0,2,1,0,1,0
"Paxillin","Condition","Paxillin",1,7,0,7,3,1,0,3,2,2,3,0,1,2,0
"Rab5","Condition","Rab5",0,4,1,2,1,3,0,0,2,0,1,3,0,1,0
"Rabep","Condition","Rabep",0,1,2,3,1,0,0,0,0,0,1,0,0,0,0
"Rho","Condition","Rho",3,4,6,0,3,1,0,3,0,1,1,1,0,7,0
"RNF149","Condition","RNF149",1,6,2,3,1,1,0,3,3,4,0,0,0,1,0
"Rock","Condition","Rock",0,2,0,0,1,1,0,1,4,1,0,0,0,0,0
"TLE","Condition","TLE",0,2,3,0,2,0,5,3,0,1,0,0,0,0,0
"Tol","Condition","Tol",0,1,9,1,6,10,5,0,0,2,4,2,0,0,1
"Tyrosinase","Condition","Tyrosinase",0,1,2,0,3,0,2,2,2,4,2,0,3,1,0
"Vangl","Condition","Vangl",2,2,2,0,0,1,3,1,1,1,2,0,0,0,0
