"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"embedding1",3.21350293370315e-42,2.08905441277578e-19,4.4053546609977e-33,1.53268266725706e-36,1.74851807703434e-15,1.36577818491757e-27,4.28327725909718e-20,4.02261331106775e-17,7.61311012860294e-24,6.89271861176521e-05,1.54760647744497e-11,1.95094938289951e-15,7.8868749709655e-13,0.000539766291097113,0.00878901019176863
"embedding2",0.000249957785296148,7.40253052229774e-10,2.32187631566493e-17,2.49283676215902e-21,2.19569599299158e-19,3.38827888867114e-40,3.63674518537517e-28,8.03077671938336e-11,6.83141275286526e-18,1,0.296874389856183,0.126746045716464,0.438349448278038,1,0.493734362696417
"embedding3",0.0286926220581904,8.31511897234143e-28,0.0524296597524718,6.02856011369697e-10,1.52175686326126e-18,2.88178517051013e-48,1.28908388472165e-12,7.12456182990239e-07,0.0705127385693003,1.35416016465796e-08,0.00195573089448258,1,2.25121430608243e-14,5.16464299860202e-05,0.620348736198554
"embedding4",6.17113229432141e-23,1.51424594090094e-19,1.64691874453412e-06,3.71788203830727e-48,0.000190984451532102,4.93432286124931e-06,3.83814258080767e-17,1.99447633567472e-05,1.60206980865894e-12,1,0.322975221932502,1,5.06379947793582e-14,0.000470405698011203,1.28961982580058e-06
"embedding5",0.500803635691788,0.00105183888331727,3.02469395405291e-29,5.26575935678565e-23,1.81307248988708e-22,8.12747854224897e-23,9.68775712093808e-18,1.34471744860823e-24,0.227560777125427,1.26625879494345e-05,4.93114813029338e-15,1,0.395954616306206,0.000117699135860607,0.269206124276616
"embedding6",0.000680277335593671,4.93653787086427e-33,0.167160589262438,0.476750702103181,1.27850908863373e-15,4.71986788006113e-63,1,0.559325577610907,0.283885931392825,0.00350810089502239,0.247559467442813,5.57434300621255e-07,0.00066568495617567,5.40906209833909e-06,0.00205568737985681
"embedding7",0.491648011045992,0.00436361989697374,7.65786370592652e-22,1.29903380177533e-07,5.68181852700648e-24,7.49253889104643e-05,2.06722442985943e-26,4.4452931422297e-10,3.95301822858901e-14,0.410858831196554,4.40462813232412e-14,1,0.205482431585871,4.82786185961334e-07,0.0397212088533144
"embedding8",0.0208850953196407,1.09995730819225e-15,2.97355708409368e-23,8.11557152595369e-05,5.02677465844362e-16,1.57565820184055e-58,3.57355352362742e-24,3.84323168073861e-27,3.24755817817056e-19,1,9.9277301140223e-16,0.037969140674088,0.966529055485691,0.576694156133613,1.12874773996209e-05
"embedding9",0.000680277335593671,1.05600152132574e-11,1.23021556115276e-29,0.476750702103181,9.637777013716e-26,5.9445793777301e-36,1.62827298350669e-05,1.85520262570592e-06,0.0139741457478593,1,0.000127745107004529,1.2047401187737e-08,0.00949361478502887,0.295182761455192,0.0116975704714451
"embedding10",0.000430162892852647,0.0581533599787415,0.304233469270035,0.0021680247851127,0.0807978020987607,3.42010713516496e-49,0.916581775293863,0.238137458023805,4.88844911020084e-09,1,0.181739671070227,3.61870096517535e-08,1.67964106034234e-13,0.18111565237165,0.755630614920806
"embedding11",0.440168034656167,7.38542960780251e-18,7.86399187434892e-17,0.000473596575070084,2.35354460775857e-26,7.32741414547625e-29,1,1.04759706445785e-27,2.44472567377266e-21,0.00279290084924735,4.86704943880932e-08,1,0.395954616306206,0.000470405698011203,0.00212959987550807
"embedding12",0.000129269553411469,4.83924272070486e-35,9.89419743056971e-38,0.00782178222950838,9.33643956622159e-19,1.75506628741368e-47,0.000128557185737661,6.03725827573458e-27,0.335832631329961,0.000173688789151577,2.23301136169064e-24,1,2.09777013312244e-10,1,0.0397212088533144
"embedding13",1.92411741899028e-28,0.000194105450513911,8.46074147380646e-22,2.98814443465201e-17,9.52865047323214e-08,8.78959605812005e-28,3.96923556471789e-22,6.97393531332977e-14,7.81342533498067e-23,0.00118786038906944,1.26639926004686e-05,7.27982839713338e-05,8.20395624516507e-06,0.0986213428007253,0.493734362696417
"embedding14",9.09273472836255e-08,4.58802703244474e-09,7.001812123713e-44,0.0119999914065604,1.57155098555935e-07,1.00797211017906e-43,3.42007060271729e-08,0.063736833647667,0.175201681897387,1,0.0111483729040944,8.13582509996737e-05,6.20484916358484e-09,1.92173692231622e-07,0.0202586436965015
