"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"embedding1",4.67838020142137e-20,2.74413059352996e-14,7.13676901061272e-18,3.67027812628212e-18,3.22023456353181e-12,5.96727350291642e-14,1.81409025679169e-12,3.75855783358105e-11,1.89037693105444e-12,0.000155443175791816,1.91567353019111e-08,3.94465999042717e-09,5.08232105255911e-08,0.000563976354897021,0.01312255859375
"embedding2",0.000464845436937861,1.82916645841629e-08,1.5691101339728e-13,4.14880236810651e-15,1.13004503408117e-13,1.69689684071225e-15,1.21920140509479e-13,7.0967963295552e-09,3.88034033671977e-11,0.579528739613561,0.276720116553832,0.125302778707767,0.646206897870781,1,0.57843017578125
"embedding3",0.0470284300644058,2.19881182704638e-17,0.0829345048515701,9.15502871079255e-09,3.63870940871155e-13,1.69689684071225e-15,6.18730221196408e-10,4.67833902565262e-06,0.0310279345512284,6.87107412433332e-07,0.00245661760779968,1,1.51232154685656e-08,0.000168850645422935,0.927490234375
"embedding4",4.11959981836849e-17,1.5715840493282e-14,3.34292521746188e-06,8.49562298893834e-19,0.000993545591717932,9.78233852108701e-06,7.50125569143032e-12,7.46550551141724e-05,1.66720401869893e-09,1,0.551061410563278,1,2.41336871720993e-08,0.000769563019275664,0.00042724609375
"embedding5",0.534741177885659,0.00160894022931473,2.7720873349599e-17,3.06378989671081e-15,1.24385407145676e-14,9.65029653802415e-14,4.34170605221662e-12,8.31132104329646e-13,0.350863534022992,6.09602883300858e-05,1.69856296089143e-09,1,0.323919155063519,0.00025077722966671,0.36956787109375
"embedding6",0.000667726975545461,3.28414740518783e-18,0.163593977449455,0.828451046685718,3.99099935360519e-12,1.69689684071225e-15,1,0.538968539983745,0.350863534022992,0.00566635387000654,0.276720116553832,1.00113247972138e-05,0.000967881888562142,1.01029872894287e-05,0.003662109375
"embedding7",0.427451220683588,0.00662232073914942,2.80491716059738e-15,9.6961118623766e-07,2.54556808215281e-15,0.00011666918548405,1.21920140509479e-13,4.82858200921591e-08,1.66720401869893e-09,0.456371533575228,3.44494059232044e-09,1,0.102325353497289,7.17118382453918e-07,0.04400634765625
"embedding8",0.037127380898279,4.11992485072798e-13,1.93591530685381e-15,0.000104589115367927,2.22171699569949e-12,1.69689684071225e-15,3.61128731614961e-13,8.31132104329646e-13,5.56847349203019e-11,1,8.59911491971547e-10,0.0213663182051122,0.974572366828609,0.444199837744236,0.00042724609375
"embedding9",0.00236779963137946,9.70724278926482e-10,3.44145076384799e-17,0.828451046685718,1.31860983313698e-15,7.85005644001639e-15,9.77381170021987e-05,6.53041524757188e-06,0.00696083271148717,1,0.000346065722436727,1.4456075832516e-06,0.0115758051433019,0.444199837744236,0.015106201171875
"embedding10",0.000667726975545461,0.102848902667199,0.194951222288136,0.00017988523383101,0.0810487900732697,1.69689684071225e-15,1,0.350399665895073,9.83608454514352e-08,1,0.276720116553832,2.14705769552231e-06,2.08796429800044e-08,0.276197767816484,1
"embedding11",0.490970706427785,2.33014272506441e-13,4.83193138566647e-13,0.000265881263210339,1.19641943353015e-15,8.51014431393531e-15,1,5.8745092525719e-13,5.36657584433327e-12,0.00432261516192629,1.36437438338254e-06,1,0.225617059856907,0.00136746000498533,0.011077880859375
"embedding12",3.84343275947237e-05,1.6884272521126e-18,1.92769750210806e-18,0.00790447719734225,8.88318188607742e-14,1.69689684071225e-15,0.000583891609933744,5.4123459262859e-13,0.351340755509841,0.000509575984155245,2.14789856740575e-10,1,2.19100533620049e-07,1,0.04400634765625
"embedding13",7.93296304777556e-18,0.000140570080813825,2.80491716059738e-15,4.30806453499404e-13,6.88670297507031e-07,8.42620120424113e-15,4.08422391630996e-13,2.52281011414277e-10,1.24926280404488e-12,0.0013672231296907,0.000153768984387503,0.000525220516323277,6.34763123780582e-05,0.132584732025862,0.5189208984375
"embedding14",3.51935586194184e-07,4.91587260540313e-08,9.47206291132082e-19,0.00892751820393284,6.88670297507031e-07,1.69689684071225e-15,3.88785630684215e-07,0.0319511067220086,0.164700416544133,1,0.0410558021330473,0.000559611558829032,6.13805476315285e-07,3.06311994791031e-06,0.021484375
