"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"ATM.dist.mean_Nucleus",1.23764665581239e-17,1.73765335512014e-15,0.0542133971301416,1.18637120239378e-15,NA,NA,6.44737820959977e-45,0.0972157530397848,0.00351162495606438,2.35141522971532e-11,1.01697072176962e-43,1.6152252202704e-07,1.31078606216033e-10,1,1
"TVC.dist.min_Nucleus",1.82022454608681e-49,0.198947260388027,1.14584299374864e-05,9.82262509932522e-06,0.0473909845659149,3.08334680737369e-23,0.00341780713383649,0.621061261571085,0.105922576834346,1,1,1,4.25409851405036e-16,0.232091373155495,6.96897896871153e-07
"TVC.dist.max_Nucleus",1.55957240300096e-25,3.59377686422757e-64,5.77167977537949e-18,2.24302276578766e-38,0.24235328676076,1.16719722904377e-73,7.66531411180885e-07,4.22617345053917e-40,1.50627319206222e-28,1,0.000537289325777921,8.96085311910167e-07,1.29414158197517e-07,2.4996693803315e-05,0.000144378246891811
"TVC.dist.mean_Nucleus",6.74653743753174e-37,1.31640927685972e-33,3.48378997832539e-16,9.75364908394691e-06,1,5.35063334758693e-53,0.0116668853438984,1.66885888295624e-20,9.13507661036168e-14,1,0.0212657405410998,0.000268345157686357,7.98385881255814e-11,0.000173236139277036,4.2969816621323e-06
"TVC.dist.sd_Nucleus",1,5.78431502978159e-52,3.46428809753928e-12,2.07153718020181e-94,0.190988607721421,1.17087839359977e-56,7.5120249809016e-07,1.3546654570995e-57,2.54546013283181e-49,1,5.93042643166269e-08,5.41052971281925e-07,1,0.153451638015902,0.38698858651523
"TVC.ATM.dist.min_Nucleus",1,1.15200583623438e-08,0.000130713415188396,4.28810464019506e-05,1.61519161017092e-43,4.50906338149143e-52,2.2521011322155e-19,1,8.22351183462921e-11,0.00432301069852291,2.8144818311331e-15,8.15724917129101e-07,0.0208723865335692,1.00046064457514e-05,0.001170856226199
"TVC.ATM.dist.max_Nucleus",NA,NA,NA,NA,NA,4.61269093874941e-47,NA,NA,NA,0.180211871378074,NA,NA,NA,NA,NA
"TVC.ATM.dist.mean_Nucleus",8.92013754115577e-12,3.87825265118842e-25,1,4.73979799812659e-17,8.49939088195115e-59,2.57157820564172e-48,2.60280940889873e-39,0.00186855301076063,3.03199588129485e-18,1,1.55967882527731e-24,1,0.681493263724031,7.09550683028114e-09,3.08377331701964e-05
"TVC.ATM.dist.sd_Nucleus",1.7377488914374e-07,1,3.07959139272548e-05,0.0164095823061485,9.77636936617648e-26,1.69016020510244e-41,4.07044918166932e-08,0.00736874332819494,1,5.36279180895095e-06,0.135192784770369,3.2597202850995e-07,3.62089382708058e-08,0.370310891662916,0.0140366409155689
"TVC.cosine.min_Nucleus",1.5880949248828e-60,1.60961494965661e-69,0.865080377787653,5.69400335558201e-109,6.886216707876e-12,3.16000509879684e-39,5.2117326093856e-40,5.24382390530257e-51,2.61844434734104e-41,1,6.28456043710813e-22,1.17169646661357e-21,7.53972364831763e-18,1,0.00150363582836374
