"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"ATM.dist.mean_Nucleus",1.7506417217875e-14,8.17226545310034e-13,0.0727166710342907,1.01640771142135e-13,NA,NA,1.45028896422501e-16,0.13523032118316,0.00559550288304833,1.19961833874089e-07,1.71792780916686e-12,5.71330086936163e-06,2.3399822182716e-07,1,1
"TVC.dist.min_Nucleus",1.55161027296346e-19,0.0213559140337358,8.76721209266712e-07,1.03440614944263e-05,0.0121726125566136,3.3023444964156e-14,0.00121523171406282,0.734148635955573,0.461606394259875,1,1,1,8.96322513362895e-08,0.0826613344252109,0.00335693359375
"TVC.dist.max_Nucleus",4.48103346751936e-16,1.46323773051363e-18,2.31514289723306e-13,3.42536600584718e-17,0.681385780690007,2.92891689112866e-18,1.02343647851562e-06,2.55712861649492e-12,6.33951815826364e-12,0.0837152242098791,0.000368658233876523,5.52522727829709e-06,1.18068590060995e-05,0.000108044594526291,0.008056640625
"TVC.dist.mean_Nucleus",9.12591086396979e-19,4.99954072698827e-17,1.50590325487828e-12,1.9315997057524e-06,1,6.78758736284898e-15,0.0817781991470337,6.185390787925e-12,3.28519304625965e-10,0.637273814490562,0.0775268950701898,0.000333026164703918,1.87355285750345e-06,0.00026308000087738,0.00335693359375
"TVC.dist.sd_Nucleus",0.326216827099524,1.46323773051363e-18,3.24147329867429e-11,2.75979048622696e-23,0.415649642348315,6.78758736284898e-15,2.35528998609121e-07,1.15177397195655e-15,7.72294275184945e-15,0.639378769152599,8.69010303335915e-08,1.52576402610607e-07,0.947075071366762,0.116519525200221,0.40863037109375
"TVC.ATM.dist.min_Nucleus",1,3.88304760804405e-07,0.00143321954786747,6.27861526672338e-05,2.89026508968977e-16,3.11425183231603e-18,1.79456498310588e-11,1,4.35640965580906e-08,0.00989945405315374,8.13260500425416e-09,3.29780023865925e-05,0.0120204916004237,2.30912119150162e-05,0.00335693359375
"TVC.ATM.dist.max_Nucleus",NA,NA,NA,NA,NA,6.70637200337208e-18,NA,NA,NA,1.62155323439035e-10,NA,NA,NA,NA,NA
"TVC.ATM.dist.mean_Nucleus",1.4057419006346e-10,3.81729716374662e-16,1,5.74407288909695e-12,2.65122152942486e-16,6.70637200337208e-18,2.52402955044191e-13,0.0027709962559055,8.82705706805886e-11,1,1.26449193148779e-09,1,0.205192032092507,2.01165676116943e-07,0.00335693359375
"TVC.ATM.dist.sd_Nucleus",4.59295375700604e-07,1,0.000286607429074881,0.337566838805018,1.47343276671723e-14,6.70637200337208e-18,6.99376498293773e-07,0.016680048860972,1,8.8336427621937e-05,0.0345758356201671,6.17412033666744e-06,1.53838866415732e-06,0.375619919039309,0.012969970703125
"TVC.cosine.min_Nucleus",1.50344492107461e-19,1.46323773051363e-18,1,2.71389289667425e-23,7.89058497399595e-09,1.55105785188211e-14,2.92764534984114e-13,1.29978679987758e-15,1.02860079478386e-14,1,1.92292429417121e-08,1.02695000070965e-08,1.01978469620379e-06,1,0.017730712890625
