"","parameter","condition","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"TVC.division1","TVC.division","enhanced",0,0,0.566287080951355,0,0,0.812907795069738,0.882523121214515,0.93824411235388,0,0.908182966055167,0.897174728316035,0.852125365838206,0,0.516122924511746,0.0272526325419061
"TVC.division2","TVC.division","inhibited",2.25685033964201e-33,2.69698923440974e-42,1.22900223905874e-11,1.19626633404874e-40,1.513172816698e-05,0.460265089186996,4.10685358192983e-22,7.29312906507804e-09,3.37450074187593e-24,0.760148026923509,0.897174728316035,6.96712702107277e-07,7.42557303089202e-11,0.46443198549154,0.000476445817864566
"TVC.division3","TVC.division","WT",1.88464935890601e-32,3.36509076014471e-43,1.82143306740577e-10,1.4017943967753e-41,1.513172816698e-05,0.460265089186996,1.4030146893991e-19,1.83794346955315e-09,4.86707664546327e-25,0.760148026923509,0.897174728316035,4.63335968056933e-06,3.21967579312468e-10,0.305483637957296,0.0523802885635436
"TVC.migration1","TVC.migration","inhibited",3.70391594030519e-06,5.40110576281268e-05,0.617080407845859,0.598183137234841,0,0.0239488191869244,0,1.82461684469413e-45,2.43492365867378e-06,0.0530859408502036,0.000157410594611746,2.73762210912457e-06,0.439275861250987,0,0
"TVC.migration2","TVC.migration","WT",9.46995788552924e-06,0.000110463842605637,0.617080407845859,0.598183137234841,6.74407111541265e-10,0.028827246988677,3.8803702441293e-08,6.50503307457814e-47,1.30999168012632e-06,0.0506257305855008,0.000614324726140522,1.27504675929476e-06,0.439275861250987,0.0031225785145301,0.0729509580226697
"ATM.division1","ATM.division","enhanced",0,6.46500100351796e-14,4.42803389217964e-40,5.25083532003304e-15,0.0357459931616377,1.10286884745639e-07,1.70046692874979e-22,4.7213871220515e-05,7.5436218993613e-10,0.00163475025350893,0.130417814393178,0.0635800358152977,0,0.00493080321385337,0
"ATM.division2","ATM.division","WT",9.73812681226627e-17,7.30827386333011e-13,4.58145364593099e-41,1.15507999895824e-13,0.0357459931616377,6.23404053623529e-08,3.07720523792764e-23,0.000107745696099259,1.06861658966329e-08,0.00295065621917105,0.130417814393178,0.0635800358152977,3.5186140663284e-07,0.0142773703276646,0.0182285080491608
"ATM.migration1","ATM.migration","enhanced",1.37599193872839e-24,4.6897399011083e-13,0.00146105436460559,2.42457041906237e-12,1.13096755900881e-47,2.70018358962734e-28,7.12779778502697e-33,2.72419716408458e-15,5.13534469470781e-13,0.718910393548891,1.85078942239549e-25,0.681989407612545,1.00364683310738e-08,4.49809296128519e-06,0
"ATM.migration2","ATM.migration","WT",5.46081856062644e-23,1.76457551005883e-12,0.00162491255656039,8.73634643767572e-12,9.18245598765728e-50,2.8935147392564e-29,3.12733447958837e-34,6.48797532867327e-14,5.76208571137978e-12,0.718910393548891,5.71341894998717e-27,0.681989407612545,7.70940436045292e-08,4.17862259674576e-05,0.0018021694056669
"other1","other","TVC alignment",4.856362386778e-79,0,0.000716169549341278,0,3.23715714221898e-07,7.07927674674363e-09,7.04505589609241e-05,1.15288330908905e-05,4.22121049812682e-07,0.323419484997533,1.43746731342266e-05,7.33094898976817e-08,1.09189887014586e-27,0.110484515657489,3.37376584495822e-07
"other2","other","TVC disposition",0,0,0.149081597255931,0.789917351169192,0.73118617617797,0.670196414076716,0,0,0,0,0,0,0,0,0
"other3","other","WT",3.36054331402538e-80,1.07978740473862e-15,0.0044298776188238,2.57211756174653e-13,3.092661351443e-06,2.02115784497273e-07,0.000135223869198354,2.91284881737101e-05,1.70945799603542e-06,0.323419484997533,5.13997952310143e-05,3.71648400887934e-08,6.76619750094163e-29,0.0819240580727591,2.66086181759952e-08
