"","5HTR","ADF/Cofilin","Arhgef8","BMP","Col9a1","Daam","Ddr","Depdc","Dync2h","EPB4.1","Eph","Ets","Farp","FGF4","Fgfr","Foxf","FZD","Gata","Gna-L/S","Gna12/13","Hand","Handr","MRF","NDE","Paxillin","Rab5","Rabep","Rho","RNF149","Rock","TLE","Tol","Tyrosinase","Vangl"
"embedding1",0.394384467166493,0.0980286233402984,0.00222477313894622,0.639565075545368,0.16565442747539,0.300098902294727,1,1.8437634136163e-19,1,0.0288363583614438,1,1.00424198461099e-05,1,0.161271705917148,0.0957750314345653,2.53185812376763e-05,0.333683597391402,1,0.000783914005567283,1,0.927460446009515,3.05415728067333e-09,1,1,0.172954068484739,1,1,1,1,1,1,0.0591092722481837,0.534169149970938,1
"embedding2",0.361017617398956,0.115453247156787,0.52315535190271,8.53437917324597e-07,0.306839314020262,0.373280714453778,0.226013037119106,1,1,0.493414479397242,1,0.000109908933334418,1,0.161271705917148,0.00376775301485464,1,0.00219630765900281,1,0.930525956497961,1,0.927460446009515,0.00136348573606491,0.727880635443966,0.807024458906257,0.829551738338572,0.0460911588801326,0.288823924197556,0.195855777335918,0.0477506643912825,1,1,0.0485184879412375,1,1
"embedding3",0.732875511198675,1,0.821083030545268,0.15516404615339,1,0.373280714453778,1,0.102532645431992,1,1,1,0.750019357880639,1,0.30353036780054,1,4.92419507141259e-06,0.591525023477479,0.762959953319411,1,1,0.927460446009515,0.00150696800853221,0.00983012036681421,1,1,1,1,0.022522624430948,0.294957281747485,1,1,0.000852401150272485,1,1
"embedding4",0.732875511198675,0.000225011550105706,0.52315535190271,0.0015029832477103,0.0406462032802789,0.000101766141718494,1,8.59703910048417e-18,1,1,1,6.77771474987008e-11,1,0.617202613262714,0.00810391222972107,0.000461579851543443,0.360111416391801,0.129981343811228,0.930525956497961,1,1,0.269016263579941,0.000103619207199677,1,0.296828036349406,0.320721875485718,1,1,0.00953349497186211,1,1,1,1,1
"embedding5",1,0.00166460832779834,1,0.766242082010311,1,0.168538755184229,1,0.167281514050254,1,0.937118172607094,1,0.00936499096792808,1,0.617202613262714,0.806380942830758,0.217909403416373,1,1,1,0.590113740642886,1,3.51744462297416e-05,0.0010124074599063,1,0.829551738338572,1,1,0.00739740276291268,1,0.686253545884719,1,1,1,1
"embedding6",1,0.00167945889868625,1,0.178453945435356,0.241113043995825,0.113208454370566,0.362330439334644,1,1,0.467540362833668,1,0.367439540880774,1,0.730662068712495,1,0.0646690331808973,1,1,0.00809307200039713,1,1,8.76175677562217e-13,3.56845521538343e-05,0.0969457856297923,0.200063416646781,1,1,1,1,1,0.0602231749911371,1,1,0.565377291364746
"embedding7",1,1,1,0.0755567401884159,1,0.929735043794962,1,0.738847262576264,1,0.0382754333569291,1,0.0013586066813037,1,0.0401255692258538,0.0428827639004431,0.00486151652718228,1,1,1,0.945330462850467,1,5.69383846434617e-05,1,1,0.841174321097021,1,1,1,1,1,1,0.00508094044863542,1,1
"embedding8",1,1,1,0.00154260247493315,0.35024456091417,0.929735043794962,1,0.499937416079163,1,0.563335476110758,1,7.07332268348229e-07,1,0.0672885645455659,1,1,1,1,1,1,1,0.648167839572458,0.0126714590323378,1,0.225339001678529,1,1,1,1,1,1,0.305688604310585,1,1
"embedding9",1,0.392850772497367,1,0.087895472038034,1,0.929735043794962,1,1,1,1,0.158185395448721,0.188417254441523,1,0.284828809089491,1,1,1,0.000386516438798745,1,0.150715591423574,1,0.0102756445223657,4.87382505076142e-12,1,0.71264674587629,1,1,1,1,1,1,0.111445972289247,1,0.653388695454305
"embedding10",0.300505537283194,0.392850772497367,0.262425779317545,0.766242082010311,1,0.929735043794962,0.0665456175606316,0.0214579794172892,1,0.563335476110758,1,0.188417254441523,1,0.263065422837382,1,0.00486151652718228,1,1,1,1,1,0.269016263579941,1.14152757291611e-08,1,1,1,1,0.195855777335918,1,1,1,0.148445405644394,1,1
"embedding11",1,1,1,0.639565075545368,1,0.929735043794962,1,0.0879503215078916,1,1,1,0.0013586066813037,1,0.161271705917148,1,1,1,0.129981343811228,1,1,0.0308381861531498,0.269016263579941,0.0101301767609728,1,1,1,1,1,1,1,1,0.793646791083098,1,1
"embedding12",1,1,1,0.639565075545368,1,0.929735043794962,1,8.80780991717376e-08,1,0.467540362833668,1,0.0024288268860209,1,0.816035239752377,1,0.000840442197504771,1,0.560173465190379,0.930525956497961,1,1,0.208818476017586,1,1,1,0.409411736205761,1,1,0.00495766101102572,1,1,1,1,0.953438875491401
"embedding13",0.180566643116509,1,1,1.89816672222732e-07,0.47850721475491,0.929735043794962,1,3.71211975976415e-09,1,0.467540362833668,0.110961155962238,3.55689030748897e-11,1,0.000968736546033317,1,0.00340952509308032,0.0310085630999587,0.830579724998196,0.930525956497961,1,1,0.191986662109287,2.18948614763268e-13,1,0.18495207936348,0.613082669034346,1,1,0.201236999572719,1,1,3.96754498425512e-11,1,1
"embedding14",0.361017617398956,0.025423192910431,0.821083030545268,0.0383002143351527,0.00570920320623321,0.00436156101184858,0.324113843296193,0.0613880401922276,1,1,1,0.750019357880639,1,0.816035239752377,0.746484513165203,0.00128942662960265,1,0.015729285777136,0.930525956497961,1,1,0.269016263579941,0.229624164354837,0.754403258446646,0.486551056225361,0.320721875485718,1,1,1,0.0102361612619629,0.0249529566528791,0.793646791083098,1,1
