"","5HTR","ADF/Cofilin","Arhgef8","BMP","Col9a1","Daam","Ddr","Depdc","Dync2h","EPB4.1","Eph","Ets","Farp","FGF4","Fgfr","Foxf","FZD","Gata","Gna-L/S","Gna12/13","Hand","Handr","MRF","NDE","Paxillin","Rab5","Rabep","Rho","RNF149","Rock","TLE","Tol","Tyrosinase","Vangl"
"embedding1",0.420799255371094,0.0582019511832524,0.00341796875,0.467240744328593,0.30078125,0.2628081085199,1,1.35285523064223e-13,1,0.0306288562715054,1,3.88338443431275e-05,1,0.135955810546875,0.159918177872896,0.000188361044437393,0.325919368187897,1,0.00136109720915556,1,0.926093476500114,2.76460808505537e-07,1,1,0.195971027947962,1,1,1,1,1,1,0.0611307684994245,0.502254486083984,1
"embedding2",0.319160461425781,0.115030083993422,0.57421875,7.51327024772765e-06,0.37109375,0.366369175216328,0.25390625,0.975810283797269,1,0.484521850943565,1,0.000350390745846,1,0.229873657226562,0.00324291363358498,1,0.00405693671200425,1,0.933017540723086,1,0.892063215677581,0.0030536554835109,0.891379624213716,1,1,0.092071533203125,0.546875,0.197174549102783,0.0501022338867187,1,1,0.0496346820855252,1,1
"embedding3",0.631233215332031,1,0.942382812500001,0.140232209989336,1,0.373984705160603,1,0.217910534704028,1,1,1,0.614044632591655,1,0.479255676269531,1,4.57269891524185e-05,0.415327262977371,0.88016150862677,1,1,0.726728425747638,0.00273799448711,0.0154571960578189,1,1,1,1,0.0223416704684496,0.482624173164368,1,1,0.00170604709637701,1,1
"embedding4",1,0.000992617535749408,0.631103515625,0.00247275159927086,0.126953125,0.000733387952074043,1,6.33018288267411e-13,1,1,1,5.10920254463621e-09,1,0.6256103515625,0.0134962033480406,0.000962336568205662,1,0.108275645412505,0.68004936282523,1,1,0.338751836587002,0.000358812459090103,1,0.195971027947962,0.27056884765625,1,1,0.00401878356933594,1,1,1,1,1
"embedding5",1,0.00392234875908594,1,0.73567239555996,1,0.2628081085199,1,0.217910534704028,1,1,1,0.0213632477653324,1,0.479255676269531,0.698929112404585,0.422896476835633,1,1,1,0.771613329648973,1,0.000160429860025502,0.00192301876215093,1,1,1,1,0.0122054852545261,1,1,1,1,1,1
"embedding6",1,0.00392234875908594,1,0.273853594553658,0.37109375,0.179877189006717,0.408203125,0.975810283797269,1,0.425331445410848,1,0.286887767592069,1,0.773780822753906,1,0.0489326863247965,1,1,0.00479253719095141,1,1,2.40488675362321e-08,0.000216587070314556,0.109375,0.198395373299718,1,1,1,1,1,0.170196533203125,1,1,0.57763671875
"embedding7",1,1,1,0.139258075505495,1,0.969573373574933,1,0.388831188099041,1,0.045177023857832,1,0.00237635542531268,1,0.0434417724609375,0.0483815297484398,0.00375875780811989,1,1,1,1,1,0.000189275253168141,1,1,1,1,1,1,1,1,1,0.00307444643840427,1,1
"embedding8",1,1,1,0.00230502826161683,0.234375,0.969573373574933,0.83984375,0.388831188099041,1,0.562291532754898,1,6.47244919143519e-06,1,0.0857391357421875,1,1,1,1,1,0.802598476409913,1,0.697042996256777,0.0151713418655502,1,0.264017520472407,1,1,1,1,1,1,0.287128933748136,1,1
"embedding9",1,0.678579044378312,1,0.0911871882271955,1,0.969573373574933,1,0.975810283797269,1,1,0.4174411915092,0.156498010452048,1,0.288543701171875,1,1,1,0.000606445828452706,1,0.111138224601746,1,0.0128729995983519,4.98435876885634e-08,1,1,1,1,1,1,1,1,0.0611307684994245,1,0.828369140625
"embedding10",0.258853912353516,0.228656418559955,0.345947265625,0.73567239555996,1,0.907406118859706,0.0546875,0.0456737871677388,1,0.400784965604544,1,0.207003641831572,1,0.345561981201172,1,0.00600971811953218,1,1,1,1,1,0.315277881462659,1.37108174279921e-06,1,1,1,1,0.197174549102783,1,1,1,0.159511433703301,1,1
"embedding11",1,1,1,0.467240744328593,1,0.986204807485822,1,0.0718683102881035,0.908607846125961,1,1,0.000435873146268671,1,0.232395172119141,1,1,1,0.153195281716762,1,1,0.0590943826614421,0.338751836587002,0.0211850548410442,1,1,1,1,1,1,1,1,1,1,1
"embedding12",1,1,1,0.467240744328593,1,0.969573373574933,1,4.33669644282021e-07,0.661626692861319,0.332897253334522,1,0.00469120783001515,1,0.882667541503906,1,0.00106456433256789,1,0.644229688332416,0.874475616728887,1,1,0.338751836587002,1,1,1,0.592414855957031,1,1,0.0105055570602417,1,1,1,1,0.9990234375
"embedding13",0.198322296142578,1,1,1.9354047253728e-06,0.671875,0.986204807485822,1,7.20491501990186e-08,1,0.400784965604544,0.155721276611153,6.19189770036231e-09,1,0.00731658935546875,1,0.00767603300231778,0.0286772497929633,1,0.657228485215455,1,1,0.246746737956571,1.53221435489471e-08,1,0.324882394634187,0.665359497070313,1,1,0.125986635684967,1,1,2.21425580093638e-08,1,1
"embedding14",0.228106498718262,0.0267047072909197,1,0.0564891676185654,0.0546875,0.00514764875821382,0.25390625,0.0983764255023938,1,1,1,0.614044632591655,1,0.882667541503906,0.94355913810432,0.00361893082651998,1,0.0341645518492442,0.874475616728887,1,1,0.33819985410015,0.359151419899142,1,0.512710342649371,0.410797119140625,1,1,1,0.0546875,0.03759765625,1,1,1
