"","5HTR","ADF/Cofilin","Arhgef8","BMP","Col9a1","Daam","Ddr","Depdc","Dync2h","EPB4.1","Eph","Ets","Farp","FGF4","Fgfr","Foxf","FZD","Gata","Gna-L/S","Gna12/13","Hand","Handr","MRF","NDE","Paxillin","Rab5","Rabep","Rho","RNF149","Rock","TLE","Tol","Tyrosinase","Vangl"
"embedding1",-0.284742565428571,-0.221560695918462,0.279394976769231,-0.198659121621714,-0.337187781,-0.21867391578,-0.277949284,0.233128987318692,-0.188229425533333,-0.290577483533333,-0.06565818778,-0.29149639525,0.0186699956071429,-0.289846209026316,-0.252362049733333,0.139572996990678,-0.257922991222222,-0.170843657222222,-0.329736206029412,-0.125400418307692,-0.225232778777778,0.176156464877193,-0.132979128220339,-0.232009885,-0.2554723399375,-0.224763456055556,-0.21087862625,-0.0855617288,-0.14615806256,-0.279094637,-0.0894630048125,-0.249517122097561,0.0318550920909091,-0.139079552533333
"embedding2",-0.218269893309524,0.0663829367538462,0.137408580153846,-0.316624516828571,0.1641630065,0.07467904536,0.1842144855,-0.0578061917299065,0.03965488895,-0.149058660656667,-0.0241504564,0.0970181228431818,0.0539136704785714,-0.216989655842105,-0.260967046,-0.0257555873898305,-0.238110677166667,0.000959640186111109,0.0295062904411765,-0.000163288153846154,-0.126855255433333,-0.194020584192982,-0.0911752587966102,0.227305408125,0.056335229,0.1489275085,0.25082104125,0.0834125290133333,0.1629853232,0.179578474,-0.0932471518125,-0.178897423585366,-0.0226715149772727,-0.144300791633333
"embedding3",-0.211672404428571,-0.114605006363538,0.0506416958461539,-0.225195982514286,-0.071416171,-0.18170613508,-0.1394193846,-0.0334717368130841,-0.0752149789333333,-0.149654358477667,-0.14954296702,-0.127280005630682,-0.025537450875,-0.234126295526316,-0.182684990516667,0.0969560102271187,-0.184198418888889,-0.0120660473888889,-0.157178047588235,-0.142947123807692,-0.191478535666667,0.0282723706245614,-0.236728444657627,-0.07840886525,-0.0640922931875,-0.164818919166667,-0.17930433875,0.0743285972666667,0.06308219608,-0.0190583057,-0.126111572125,-0.285582930268293,0.0186402405363636,-0.0949767893333333
"embedding4",-0.000560858604761904,-0.346231819038462,0.0144982284615385,0.0806271709914286,-0.480544069,-0.37332267546,-0.1519346309,0.173052068182897,-0.20804906601,-0.1211522483,-0.18703064782,-0.3683395728375,-0.1958144125,-0.0374330889473684,0.1334055385,0.0204954430983051,-0.0472816342027778,-0.313143332833333,-0.234754074023529,-0.0649347821923077,-0.202087742755556,-0.0842026418245614,-0.298447765294576,-0.36198797375,-0.2690351184375,-0.3077515045,-0.33070158375,-0.0838904441333333,-0.393363440908,-0.2571948955,-0.1328765558125,-0.143046014,-0.114320779881818,-0.0329064652
"embedding5",-0.00415925028571428,0.135283538466154,-0.0105545989538462,-0.0666421419457143,-0.042811211,0.09352327724,0.00389264200000001,0.0549123762271028,-0.0756289215,0.0796263015666667,-0.00406454764,0.0928880484204545,-0.0455242458928571,0.107387517052632,0.08125854128,-0.097484388440678,-0.0754321956833333,0.000875870638888889,0.0186545627058824,-0.160615456307692,0.0438597413911111,-0.19940756277193,-0.170020906661017,-0.02223498175,0.083155679875,-0.0156304992777778,0.01391085475,-0.231028752233333,-0.111080493668,-0.2288541045,-0.13247626925,-0.0332256628780488,-0.0955400741818182,-0.124823027066667
"embedding6",0.135031619047619,-0.0768864181953846,0.174654879230769,0.193560375171429,-0.17036159834,-0.050786408758,-0.1673810962,0.0899450423700935,0.0708482038,-0.0444113467833333,0.025140572384,0.127196818267045,-0.00234864867857143,0.182379512526316,0.0471195646333333,0.179367738910169,0.050325654075,0.00196185430555555,-0.135628604294118,0.141387801346154,0.0566761461688889,0.401417076350877,0.284316593423729,-0.20263088125,-0.05329016761875,0.00673602861111111,-0.0114751605,0.029053031748,0.12856517612,-0.0183928746,-0.139053051125,0.0963539190121951,0.00462615563636364,0.2703842188
"embedding7",0.0483034298571429,-0.0962397784698462,-0.184900025769231,0.0866974181714286,-0.0302714538,-0.123979774108,-0.0889896803,-0.10227277996729,-0.0624022934666667,0.130665473633333,-0.0071099232,-0.190766092818182,-0.0887098860714286,0.150916585126316,0.115225397366667,-0.204818004440678,-0.00972338116666666,-0.0739425283888889,-0.0301911321470588,0.0369781287692308,-0.0500124348,-0.233555456680702,-0.0906128054067797,0.09017374875,-0.15894197709375,-0.0818609471111111,-0.05387456125,-0.162832242233333,-0.07269514966,-0.0818788638,0.075716380625,0.098194446654878,-0.016719514,0.0700857976666667
"embedding8",-0.00301521476190476,-0.0460615555846154,-0.117470129615385,0.210682965417143,0.16162025214,-0.0897354663,-0.1897823538,-0.0631196385256075,-0.0887198816333333,0.11373896303,0.05004643596,-0.208180927017045,-0.124733017892857,0.252388404736842,-0.013476928,0.0295665198050847,0.01673025525,-0.0750305080555556,-0.0578860779705882,0.0787129011961538,0.0493131734155556,0.00323209145614035,0.143490590074576,-0.023993920875,-0.1488058474375,-0.0377239621794444,-0.140007685375,-0.0613806225,-0.07984900164,-0.0894495003,0.038379183125,0.110844363609756,0.0163705281818182,0.0584985626666667
"embedding9",0.210867574285714,0.0519648012984615,0.0537553607692308,0.257484449514286,0.0879233689,0.0521850798,0.202276374,0.125579117785047,0.197452645733333,0.0922476457666667,0.00118823116,0.187742606511364,0.0734281194642857,-0.0504336293842105,0.118327698766667,0.133017908138983,0.140793371166667,-0.0949742858611111,0.0955941668176471,0.272283518192308,0.0560439605111111,0.239997896280702,0.400233514135593,0.093105575875,0.02466960090625,0.172854984277778,0.036424847,0.177596688433333,0.08418478016,0.0460748697,0.0939715455625,0.259207113993902,0.0514185783181818,-0.0359739186666667
"embedding10",0.0331717084285714,-0.169431701430769,0.130692145384615,-0.0780235699371429,-0.1264026494,-0.15935484022,0.0267507971,-0.0196061308476635,-0.114116118576667,-0.2119772864,-0.07786534674,-0.0541920164090909,-0.0507917084642857,-0.241159056842105,-0.1752519705,0.0151699064644068,-0.122366100927778,-0.129152615,-0.123171579552941,-0.141091766615385,-0.1626264406,-0.183283197361403,-0.318504570033898,-0.16559313125,-0.08136837353125,-0.141834945611111,-0.15628057875,0.0301797907333333,-0.0584933914,0.0248215081,-0.16929281903125,-0.205406421287805,-0.132604150454545,-0.176823015133333
"embedding11",0.211680840571429,0.0917060570507692,0.196082060461538,0.202440230228571,0.047375008117,0.09420556368,0.2840826482,0.201783090113084,0.241184052953333,0.128726171933333,0.0620636717124,0.254166646693182,0.08625852325,-0.0367774265473684,0.161193630166667,0.16948105180678,0.121691450075,-0.0136148062777778,0.189916070647059,0.0663908851923077,-0.0234737715622222,0.18546378577193,-0.00553887770271186,0.33841033,0.078201684846875,0.0886064003333333,0.2740383075,0.183856385,0.11908441924,0.1606247035,0.092147007,0.0464772964878049,0.0843888175454545,0.0975976944
"embedding12",-0.0704270879047619,-0.106216949815385,-0.0557528526923077,0.0148236392085714,-0.1898067314,-0.1454491336044,-0.2072318204,-0.229168178537383,0.0165874340733333,-0.2081549674,-0.1415975022,0.0369561033339773,-0.0687509875357143,-0.142364777294737,-0.0410089488,-0.238366524627119,-0.105506465277778,0.0383872521944444,0.0475568460882353,-0.056413312,-0.0127227036888889,-0.00319727554385965,-0.0809773861694915,-0.219559763,-0.08011107253125,-0.225819141444444,-0.189792573875,-0.0209763289,0.18984312052,-0.2167345263,0.08913491075,-0.0678001039756097,-0.129628294090909,0.102151825233333
"embedding13",-0.245216965857143,-0.0282841478923077,-0.0204437133846154,-0.3452224596,-0.256388883,-0.04188574928,-0.107951205,0.138226864788785,-0.0895391949666667,-0.2015601737,-0.19308198952,0.204636170539773,-0.176356885928571,-0.383076309473684,-0.110652469658,0.0755806230169491,-0.2421375285,0.00212966875555556,-0.180134911835294,-0.160552255384615,-0.0519990757022222,0.0157550827449123,-0.368203433923729,-0.153561394,0.067562161,-0.225627232388889,-0.030269135925,-0.1598593979,0.02839334184,-0.0629975681,-0.1781770651875,-0.369957759853659,-0.212245961881818,-0.152439161066667
"embedding14",0.0790776336190476,-0.139596114138462,0.0919199166153846,0.11748637148,-0.4028155366,-0.17440505798,-0.333740833,0.0303104592785047,-0.130934352333333,0.00507684569,-0.1045053291412,-0.0278960999090909,-0.0263374110714286,-0.00353059784210526,0.0634385283333333,-0.191505947922034,0.0251484601666667,-0.176102166291667,-0.128111203647059,0.0518598110384615,0.0124988778155556,0.00454609123333333,0.0403629223559322,-0.25678999575,-0.149728631396875,-0.228974879222222,-0.138030958,-0.122113358466667,-0.043585714,-0.408116643,0.184781927275,0.0269808391219512,-0.131619940136364,0.0135883530666667
