"","5HTR","ADF/Cofilin","Arhgef8","BMP","Col9a1","Daam","Ddr","Depdc","Dync2h","EPB4.1","Eph","Ets","Farp","FGF4","Fgfr","Foxf","FZD","Gata","Gna-L/S","Gna12/13","Hand","Handr","MRF","NDE","Paxillin","Rab5","Rabep","Rho","RNF149","Rock","TLE","Tol","Tyrosinase","Vangl"
"ATM.dist.mean_Nucleus",0.790442481657211,1,1,0.527640435691554,1,1,1,0.00479199303722688,1,0.27685727942961,0.104850440815462,0.00391870901789536,1,1,1,1.04335797665319e-05,0.00732506385224956,1,1,1,1,2.93400308524073e-13,0.0200846078644475,1,1,1,1,1,0.00372006699138942,1,1,0.001388434531716,1,1
"TVC.dist.min_Nucleus",1,1,1,1,1,1,1,1.83504709184777e-26,1,1,1,0.79407620612905,1,1,1,0.0543768440070365,1,1,1,1,1,0.00878005973466527,7.98002074014808e-05,1,1,1,1,1,1,1,1,1,1,1
"TVC.dist.max_Nucleus",1,1,1,1,1,1,1,0.0436966517773943,1,1,1,2.86730346616736e-07,1,1,1,0.427461798167015,1,1,1,1,1,1,0.000117584034675396,1,1,1,1,1,1,1,1,0.447110328950615,1,1
"TVC.dist.mean_Nucleus",1,1,1,1,1,1,1,1.2196648669068e-08,1,1,1,0.000157558216276259,1,1,1,0.139473329010867,1,1,1,1,1,1,4.78122855798972e-05,1,1,1,1,1,1,1,0.395848903763073,0.478269650308973,1,1
"TVC.dist.sd_Nucleus",1,1,1,0.67108756340333,1,1,1,1,0.564645601246078,1,1,0.000146755776361181,1,1,1,1,1,1,1,1,1,0.800844449898749,0.000820556648547972,1,0.540919990625578,1,1,1,1,1,1,0.412036185490585,1,1
"TVC.ATM.dist.min_Nucleus",1,1,1,1,1,1,0.557424114386945,1,1,1,1,1,1,1,0.00511955623782428,1,1,1,0.153853716541008,1,1,1.30495453412628e-06,1.93853759101388e-06,1,1,1,1,1,1,1,1,1,1,1
"TVC.ATM.dist.max_Nucleus",1,1,1,1,1,1,NA,0.344210313576907,1,1,1,0.118753657040235,1,1,NA,0.102300295885259,1,1,1,1,1,7.90482177134006e-57,0.0227678927816427,NA,1,1,NA,1,1,1,NA,0.984777679067202,NA,1
"TVC.ATM.dist.mean_Nucleus",1,1,1,1,1,1,0.024317499314365,1,1,1,1,0.230237524134827,1,1,2.03203650826215e-07,1,1,1,1,1,1,1,0.00069642302156732,0.356338474319936,1,1,1,1,1,1,0.0889993132838987,1,1,1
"TVC.ATM.dist.sd_Nucleus",1,1,1,1,1,1,1,1,1,0.257784523805859,1,0.0181544777633578,1,1,1,0.0208722772220766,0.366128731011367,1,0.0119019863229611,1,1,6.12265734003726e-10,1,1,1,1,1,1,0.229813023751378,1,1,0.133122712858661,1,1
"TVC.cosine.min_Nucleus",1,0.00460981471914745,1,8.86253310361586e-05,1,0.416170713790128,1,5.57973400560927e-34,0.842481715844881,1,1,5.58562606074362e-15,1,0.490528084742066,1,0.0411185357099844,1,0.125728346400289,0.193399857982606,1,1,0.0170092365383086,0.0867158372930484,1,0.612574734833332,1,1,1,0.00289015549562651,1,1,1,1,1
"TVC.cosine.max_Nucleus",1,0.0238878634573934,1,7.94539529899715e-21,1,1,1,4.98351707441345e-35,0.492305797107845,1,1,1.13803470711157e-14,1,1.36186547309676e-09,0.0271276279880186,0.282516945954516,1,1,1,1,1,1,0.000179344303708495,1,1,1,1,1,0.227534693306635,1,1,0.00020665532805866,1,1
"TVC.cosine.sd_Nucleus",1,0.00352503967405212,1,1.20665634897803e-05,1,1,1,1.49360705123731e-29,0.226908248052902,1,1,3.29605145945971e-07,1,0.180184292912288,0.272786257112494,0.00995614056553144,1,0.695062968398609,1,1,1,0.0404416676027645,0.0867158372930484,1,1,1,1,1,0.191512508284933,1,1,0.569262701846801,1,1
"ATM.Nucleus.Dist.to.Cell.Membrane.min",1,1,1,1,1,1,1,0.0105908471486154,1,1,1,1,1,1,0.558968572566853,1,1,1,1,1,1,0.00487771734773738,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Nucleus.Dist.to.Cell.Membrane.max",1,1,1,1,1,1,1,0.0193127118528124,1,1,1,1,1,1,1,1,1,1,1,1,1,5.28180363858234e-05,1,1,1,1,1,1,1,1,1,1,1,1
