"","5HTR","ADF/Cofilin","Arhgef8","BMP","Col9a1","Daam","Ddr","Depdc","Dync2h","EPB4.1","Eph","Ets","Farp","FGF4","Fgfr","Foxf","FZD","Gata","Gna-L/S","Gna12/13","Hand","Handr","MRF","NDE","Paxillin","Rab5","Rabep","Rho","RNF149","Rock","TLE","Tol","Tyrosinase","Vangl"
"ATM.dist.mean_Nucleus",1,1,1,0.427427486857925,1,1,1,0.00014611489532198,1,0.389264072698366,0.141792731942749,0.000458504621322062,1,1,1,0.000241808639269937,0.0478654333772066,1,1,1,1,4.31161787610716e-08,0.030726270441584,1,1,1,1,1,0.10512725865958,1,1,0.018958118635275,1,1
"TVC.dist.min_Nucleus",1,1,1,1,1,1,1,1.5459353442129e-14,1,1,1,0.3976870540626,1,1,0.725487537682057,0.00183139327721253,1,1,1,1,1,0.00969347102938673,0.00105514665188106,1,1,1,1,1,1,1,0.98876953125,1,1,1
"TVC.dist.max_Nucleus",1,0.0510829389059578,1,1,1,0.340482519845041,1,1.1155044605361e-08,0.261129207909107,1,1,2.00497306995388e-08,1,1,1,0.000584342460234923,1,0.518327872676309,0.104914984673325,1,1,1,0.0107588127633425,1,0.0050374697893858,1,1,1,0.0427001952070385,1,1,1,1,1
"TVC.dist.mean_Nucleus",1,0.0363319579146171,1,1,1,1,1,6.47885034578376e-12,1,1,1,2.73817914074961e-06,1,1,1,0.000472294544697516,1,0.518327872676309,0.747988068964332,1,1,1,0.00198018234847853,1,0.11100001167506,1,1,1,0.221644439494479,1,0.835906982421875,1,1,1
"TVC.dist.sd_Nucleus",1,0.0151063681213285,1,1,1,0.987578542704207,1,0.0170973661533924,0.0954550814140672,1,1,1.13199437209235e-07,1,1,1,1,1,0.422000654450805,0.181196261546575,1,1,1,0.0286650375374866,1,0.192808357731774,1,1,1,0.0335947575323087,1,1,1,1,1
"TVC.ATM.dist.min_Nucleus",1,0.0721928786647967,1,1,1,1,0.947265625,1,1,0.999687600461963,1,0.112764088936934,1,1,0.00271542742848397,1,1,1,0.0148518063313357,1,1,1.81062055544834e-05,7.2188746748727e-05,1,0.145509168505669,1,1,1,1,1,1,1,1,1
"TVC.ATM.dist.max_Nucleus",1,3.13051456334589e-07,1,1,1,0.00263372364154622,NA,1.18285899580093e-17,0.000308253455815125,0.112969126301457,1.34446868747315e-05,3.29717816960415e-15,0.00126564966647763,1,NA,1.3214986964349e-10,0.540906216478486,0.000475741218721816,0.00124279324959251,0.0527140797917665,0.000139410576665566,1.26492242352241e-11,1,NA,0.000111173993744609,1,NA,0.000305501192816776,0.00381345403350728,1,NA,1,NA,0.562216640058152
"TVC.ATM.dist.mean_Nucleus",1,0.00107007289569266,1,1,1,0.0533683277865428,0.21484375,1.64993545830985e-09,0.227528646588326,0.52000266907103,0.564035042394691,6.86102227693524e-07,0.194206357002259,1,1.38208270072937e-05,0.26966147938109,1,0.061680137480996,0.00925621030879748,1,0.0180329694183538,1,0.0503977570893797,0.859375,0.0041075348854065,1,1,1,1,1,0.32562255859375,1,1,1
"TVC.ATM.dist.sd_Nucleus",1,1,1,1,1,1,1,1,1,0.244772685278405,1,0.0154027669255573,1,1,0.441387958824635,0.0077984589600137,0.16925426271575,1,0.0303964822154486,1,1,2.58575651965331e-07,1,1,1,1,1,1,0.200718224048614,1,1,0.115641612007537,1,1
"TVC.cosine.min_Nucleus",1,0.0424756208069247,1,0.00052999844774604,1,1,1,5.1570626325494e-15,0.127111743914856,1,1,5.79728455457091e-10,1,0.574722290039062,1,0.267913276186563,1,0.156756521149641,0.224753450468537,1,1,0.145027332672974,0.155138062975884,1,0.185121763073462,1,1,1,0.075880761562476,1,1,1,1,1
"TVC.cosine.max_Nucleus",1,0.261449374450696,1,6.51925802230836e-09,1,1,1,9.68564457962484e-15,1,1,1,1.74953433158804e-10,1,0.00042724609375,0.036563499876152,0.0602146216028897,0.251325181278566,1,1,1,1,0.868828221015782,0.00012018993609828,1,1,1,1,1,1,1,1,0.000708100905742002,1,1
"TVC.cosine.sd_Nucleus",1,0.00249537646944947,1,2.00112699531019e-05,1,1,1,7.13383227094963e-15,0.327180755603503,1,1,4.9815830310943e-06,1,0.14678955078125,0.0521669445644064,0.103286001191196,1,0.495019749726912,1,1,1,0.295501982350207,0.0237149535230956,1,1,1,1,1,0.117913316950103,1,1,0.0497112504286854,1,1
