"","5HTR","ADF/Cofilin","Arhgef8","BMP","Col9a1","Daam","Ddr","Depdc","Dync2h","EPB4.1","Eph","Ets","Farp","FGF4","Fgfr","Foxf","FZD","Gata","Gna-L/S","Gna12/13","Hand","Handr","MRF","NDE","Paxillin","Rab5","Rabep","Rho","RNF149","Rock","TLE","Tol","Tyrosinase","Vangl"
"ATM.dist.mean_Nucleus",0.131118049352094,0.230494101101195,0.293519458532646,0.138378938535795,0.192881096631989,0.232981034531216,0.233081770317923,0.282857983850948,0.24368677107199,0.126718227893437,0.150855707569424,0.295420323228424,0.229018046186412,0.121000090027241,0.209993026217162,0.350771737592461,0.120104498469234,0.313093373370376,0.214940563412298,0.233806968996084,0.224022392527559,0.427395778673311,0.152673768415724,0.237897475323571,0.249545042305135,0.192730777163063,0.202112452002519,0.259887320558146,0.381612536043661,0.247842722317581,0.2206186650882,0.115747701616602,0.236060124697318,0.207098425962467
"TVC.dist.min_Nucleus",0.118660663864255,0.12494402501759,0.0916573328781867,0.124429903367893,0.160146258346495,0.140444013495461,0.0951869072705534,0.0784270433107634,0.139289524664536,0.128502239892334,0.124503889795388,0.105011803791187,0.115064004174696,0.145865269780704,0.110503624889105,0.0998667857378459,0.138112397296034,0.128462952159064,0.135763042774391,0.136287969097041,0.136714442373703,0.105570445736675,0.182508847208826,0.114378937072989,0.126280784086786,0.163231766517221,0.115560945341229,0.115694010964497,0.109740583672102,0.128579834515985,0.0998133899342896,0.157000370022692,0.118813355420951,0.119771696896778
"TVC.dist.max_Nucleus",0.336799231414333,0.244534837123149,0.245864087058711,0.412264112828012,0.289315540194554,0.280877695420311,0.183619455735262,0.23335441085323,0.231033915922776,0.324062913039499,0.294515248535285,0.159818779137819,0.250821553589404,0.432671697548155,0.271155105099637,0.238968071949534,0.357037430315988,0.244752081592318,0.249445062876144,0.333037008674504,0.288276997997548,0.288547286144449,0.52433031268014,0.232714453137305,0.214020720237651,0.341534853395027,0.238234128647637,0.249229344182713,0.179434771611331,0.24511627545476,0.223064632460348,0.436925118201036,0.268944312798427,0.335640494468215
"TVC.dist.mean_Nucleus",0.208907068643083,0.174047889729338,0.15591738066549,0.239610718901628,0.219958859367124,0.203287208296702,0.135054656887257,0.141919609393158,0.174119372500022,0.208725050585666,0.194035710528645,0.130653867000467,0.168979404966597,0.263908692977277,0.178135572335597,0.159535125383129,0.233769879252596,0.17817637800488,0.187483700578043,0.214269481924822,0.201555821739065,0.185686493065945,0.313474811607954,0.165890755762938,0.166146617285067,0.240707824253649,0.163529807640873,0.171116836686214,0.144331311222199,0.172662507501025,0.153501488632306,0.272465127372138,0.184141721848875,0.209431683116687
"TVC.dist.sd_Nucleus",0.0688302585276531,0.0417042174331284,0.0581843356367134,0.0905399377016593,0.0563090465767595,0.0512912734515522,0.0297169580133547,0.0559944696666316,0.0315481446739198,0.0653703857628694,0.0558288409474156,0.0240652497776672,0.0475435334970261,0.0952494575118289,0.0582464028838101,0.0543647843674908,0.0726269602338787,0.0438538803951668,0.0426506243427858,0.0641164549108956,0.0561045423707506,0.0732678255287646,0.111149243807107,0.0396428302115501,0.0331625901143777,0.0619709151552992,0.0451152609822514,0.0477320798544206,0.0274682797989809,0.0405312689654602,0.0415980105900885,0.0917498094271535,0.0538806162982682,0.0662481647090698
"TVC.ATM.dist.min_Nucleus",0.562716793709056,0.619941730646852,0.517198772944466,0.501590536757252,0.591743968647257,0.601420298646879,0.695436875094516,0.570862577935974,0.602459312333289,0.633371564129169,0.581940433036385,0.598303609424809,0.589601086239894,0.572424815463524,0.672144593250839,0.532356831814795,0.570842340961373,0.584256611946137,0.684087723009027,0.519997381454288,0.59556929747665,0.451075598397399,0.341714752091959,0.692326302672281,0.635431481815255,0.532914017421952,0.635630757115641,0.549940198880348,0.501961464393659,0.57696922179783,0.658922978426756,0.488690384405577,0.569213921492227,0.543617484501575
"TVC.ATM.dist.max_Nucleus",0.857142857142857,0.936269891667493,0.923076923076923,0.828571428571429,0.9,0.9,1,0.97196261682243,0.966666666666667,0.9,0.94,0.977272727272727,0.961140838394494,0.894736842105263,1,0.983050847457627,0.861111111111111,0.944444444444444,0.941176470588235,0.923076923076923,0.933333333333333,0.998825225241137,0.694915254237288,1,0.96875,0.888888888888889,1,0.966666666666667,0.96,0.9,1,0.75609756097561,1,0.933333333333333
"TVC.ATM.dist.mean_Nucleus",0.708793402789536,0.777445874030562,0.718808755866086,0.671407625587431,0.750853558492038,0.754137907300109,0.846091015841993,0.772326407834472,0.782956659573245,0.766138936339027,0.754822311747177,0.790354545321701,0.775103771944961,0.738417676937658,0.837319433329263,0.758180383124115,0.718677408323328,0.767856074000414,0.81621112895344,0.723040250764294,0.768870765877152,0.744241192046162,0.520967838215029,0.83672387228171,0.801720436084651,0.716319220682809,0.816675188625523,0.756291418225724,0.738400787635314,0.743403272492709,0.831464704513084,0.624026760538228,0.781803302445527,0.745392483136852
"TVC.ATM.dist.sd_Nucleus",0.113073352847807,0.136562499915608,0.160560213707902,0.118649968999858,0.128294263981558,0.125663649026351,0.120785367955317,0.146546444450454,0.146964040017284,0.107891665360772,0.138437605865845,0.167419715151036,0.147447979285929,0.12706759169757,0.124806439035856,0.166274037592949,0.111536957159006,0.148438449575495,0.106081477173356,0.155381731217858,0.132086796353265,0.202589671342574,0.122111206725826,0.122300146599699,0.138539311676236,0.137836128157076,0.133721400067201,0.156667772970691,0.19593830709213,0.131524776478046,0.130173926159485,0.101626091334507,0.166605823515142,0.151823353481708
"TVC.cosine.min_Nucleus",-0.572585156960314,-0.224026298687905,-0.636722936633918,-0.760648909227267,-0.301483553026414,-0.288279873749753,-0.291801714068605,-0.831856059042888,-0.240581709081315,-0.556327909549147,-0.527915065855096,-0.110805381931219,-0.388443196872756,-0.702876518641235,-0.621838860838769,-0.657533006916215,-0.612466722491709,-0.186395606956466,-0.203263975279177,-0.594291008730073,-0.462363594489952,-0.667600862074686,-0.642576284551718,-0.279964967653252,-0.229535260716396,-0.358290938972988,-0.399882901486361,-0.386870222265381,-0.0656736179626893,-0.18078680283332,-0.450200421659579,-0.610688475438751,-0.55924602011763,-0.557575356054416
