"","parameter","condition","5HTR","ADF/Cofilin","Arhgef8","BMP","Col9a1","Daam","Ddr","Depdc","Dync2h","EPB4.1","Eph","Ets","Farp","FGF4","Fgfr","Foxf","FZD","Gata","Gna-L/S","Gna12/13","Hand","Handr","MRF","NDE","Paxillin","Rab5","Rabep","Rho","RNF149","Rock","TLE","Tol","Tyrosinase","Vangl"
"TVC.division1","TVC.division","enhanced",0.378103851914622,0,0,0,0,0,0.272984801450094,0,0,0,0.233312149705419,0,0.708134716826749,0,0.501575110046175,0.874854998648723,0,0,0,0.442078000428586,0,0.852125365838206,0.874854998648723,0,0,0,0,0,0,0,0.283821397918328,0,0,0
"TVC.division2","TVC.division","inhibited",0.259953556349345,3.25974166315516e-07,0.0886127419218762,1.13784857706285e-06,0.00762166310572528,2.91523579602774e-07,0.491187715496126,1.22499642240995e-22,0.0526676559904957,0.930849422737531,0.233312149705419,5.03405032819455e-25,0.708134716826749,0.0933988902583666,0.211647619672361,0.000125435264686945,0.00115357044771725,0.00108040730306157,4.85129521822087e-05,0.0393151691891161,0.627652461767781,1.53745314040768e-09,0.0554356159304203,0.492225326191214,0.000164740292872237,0.0300625850716026,0.987301932892925,0.984325686665519,1.18784892849428e-05,0.0482196975565453,0.0443898766227716,0.00650743918734767,0.0908941766551587,0.139779740969415
"TVC.division3","TVC.division","WT",0.378103851914622,2.6592348442033e-07,0.177975936506574,4.37872922415904e-06,0.00102482916341396,1.64168145710535e-07,0.166834515916282,2.64240435830973e-22,0.041154471686697,0.930849422737531,0.366329415753566,1.9331271647509e-25,0.954643027831889,0.146407732447282,0.379623761530002,0.00039657816279399,0.00198319620521466,0.000681664594695166,2.22058418723101e-05,0.128191045354268,0.627652461767781,2.48209217245026e-08,0.0773634664704743,0.269571669906552,7.7725566487682e-05,0.0147088494589557,0.792170991088413,0.984325686665519,2.71939004834069e-06,0.0136518345230792,0.243124703207699,0.0085764570888726,0.131669529615097,0.230691225830556
"TVC.migration1","TVC.migration","inhibited",0.69661218515125,0.622335700652207,0.418322901609125,0,0.508049910923409,0.291894987536843,0.558297585655714,8.71909446056246e-06,0.00922251476020971,0.0621835601518863,0.796129682505728,5.84935240628538e-10,0.504039548185363,0,0.00771620819402971,0.224186144586027,0.970269186343409,0.970269186343409,0.746040319034621,0.907988792349391,0.925309404525507,4.56469581469906e-17,0.00881127554092103,0.768821893240875,0.181766771604088,0.0961049128613352,0.768821893240875,0.988494283787359,0.330933021372917,0.508049910923409,0.810991601250954,0.00801517703287031,0.787039022131877,0.803810568398661
"TVC.migration2","TVC.migration","WT",0.69661218515125,0.622335700652207,0.300431911820856,0.00133710493269388,0.838986473369254,0.298119039865921,0.384786879858058,2.36028597035252e-05,0.00533801178317412,0.123475876772689,0.796129682505728,2.50864712205285e-10,0.504039548185363,0.0389875388856682,0.0310917800759431,0.227965241469942,0.970269186343409,0.970269186343409,0.746040319034621,0.907988792349391,0.925309404525507,7.75811727486333e-18,0.0161638288919885,0.908927228102844,0.252409440068702,0.248942725895652,0.908927228102844,0.988494283787359,0.299218411603945,0.838986473369254,0.810991601250954,0.0212231047057005,0.787039022131877,0.904722299162141
"ATM.division1","ATM.division","enhanced",0.0131131672738338,0.392355080219586,0.0884795951984518,1.47533040664727e-08,0.946289690903434,0.0217789591526432,0,1.43827276739681e-05,0.132595298763001,0.104659205272936,0.00186131747207721,3.0432059859997e-10,0.287414230558007,0.0593632437646789,0.408316602682033,0.00014415512934012,0.0426062631271669,0.0084402497802294,0.173303056944394,0.0827629882868611,0.943990085320179,0.001231421586641,9.12600216006982e-10,0.718677030589794,0.0874615434393155,0.985857697745225,0.656366053104066,0.676282811088726,0.00250914729053857,0.946289690903434,0.164559666592583,0.00472280941530138,0.992014581633798,0.117083368189922
"ATM.division2","ATM.division","WT",0.00679906662955988,0.392355080219586,0.241537938117594,3.48617697070295e-09,0.966278729503787,0.0313564809513762,0.10708014923381,2.70649634343806e-05,0.178569073137935,0.0884723641488591,0.00129379147355233,2.55632423592475e-09,0.281204653815059,0.0365279332718487,0.408316602682033,0.000382741275698355,0.0344327022546507,0.0184293568912701,0.20704425116307,0.0633546967143554,0.943990085320179,0.00248002201648819,3.15393638416013e-10,0.718677030589794,0.125261709223296,0.985857697745225,0.467882941572053,0.676282811088726,0.0121671373053039,0.966278729503787,0.112084826201574,0.00321917489130489,0.992014581633798,0.07139085614215
"ATM.migration1","ATM.migration","enhanced",0.157996832552698,0.0818017324393451,0,4.06844734183263e-06,0.986518017836569,0.208338615524587,0.330088373262949,1.56401568822913e-12,0.991192054105666,0.00279723202687992,0.000148656183313849,3.84793345211089e-13,0.593168518678727,2.82248505199091e-05,0.709304697745411,7.92286310033681e-09,0.00687799659015666,0.0140243368402763,0.872804779261659,0.0767011750460079,0.0767503986953592,2.05961047218824e-07,9.6330389261952e-11,0.657949492554178,0.510944461714134,0.284966044701239,0.842584643953485,0.42580643345926,0.00724620460335403,0.330088373262949,0.137226300533797,1.07247747850117e-06,0.925711566012078,0.887831683355107
"ATM.migration2","ATM.migration","WT",0.127654271792833,0.0818017324393451,0.00677365151724623,1.35880485158177e-06,0.986518017836569,0.208338615524587,0.510155743592674,6.1433218009529e-12,0.991192054105666,0.00154163903711328,8.79828998432535e-05,2.54045116032686e-12,0.593168518678727,5.04326710959502e-06,0.709304697745411,4.55120508554971e-08,0.00468282516760015,0.0220697418066812,0.872804779261659,0.0603116439147731,0.0756832052383621,8.38278137893669e-07,2.84580679262504e-11,0.842584643953485,0.510944461714134,0.244221856601981,0.842584643953485,0.42580643345926,0.0169960896146682,0.510155743592674,0.0931953420756041,3.79405231403019e-07,0.925711566012078,0.887831683355107
"other1","other","TVC alignment",0.23570823941069,8.38436306740599e-07,0.00161948171354189,0.130577824541263,0,0.144188264743297,0.176118527045634,6.79090145417183e-50,0.000556773150684602,0.000556773150684602,0.00647948103351751,4.33515502079307e-06,0.105540344887683,0.350919855167668,0.611455187990028,2.23308754309209e-17,0.00127981022172732,0.26606474515961,0,0.254432779611273,0.300872970402145,2.5792474730881e-14,1.06666376268528e-07,0.311209851282149,0.0800051953647347,0.22545829724072,0.311209851282149,0.611455187990028,0.00237397770080347,0.176118527045634,0.0317010084915155,2.23201071564469e-05,0.674959585476463,0.252090829589736
