"","parameter","condition","5HTR","ADF/Cofilin","Arhgef8","BMP","Col9a1","Daam","Ddr","Depdc","Dync2h","EPB4.1","Eph","Ets","Farp","FGF4","Fgfr","Foxf","FZD","Gata","Gna-L/S","Gna12/13","Hand","Handr","MRF","NDE","Paxillin","Rab5","Rabep","Rho","RNF149","Rock","TLE","Tol","Tyrosinase","Vangl"
"TVC.division1","TVC.division","enhanced",1,0,0,0,0,0,1,0,0,0,2,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"TVC.division2","TVC.division","inhibited",6,49,3,3,9,40,6,5,19,14,17,83,11,5,9,12,7,26,27,6,22,5,18,5,25,13,4,13,22,8,3,10,6,4
"TVC.division3","TVC.division","WT",14,16,10,32,1,10,3,102,11,16,31,5,16,14,20,46,29,10,7,19,23,51,40,3,7,5,4,17,3,2,12,31,16,11
"TVC.migration1","TVC.migration","inhibited",5,10,4,0,1,6,3,5,12,2,8,41,7,0,1,7,6,7,5,4,8,39,4,1,3,1,1,6,7,1,3,2,4,2
"TVC.migration2","TVC.migration","WT",16,55,9,35,9,44,7,102,18,28,42,47,21,19,29,52,30,29,29,22,37,18,55,7,29,17,7,24,18,9,13,39,18,13
"ATM.division1","ATM.division","enhanced",11,13,1,25,2,6,0,10,4,12,23,2,10,9,10,4,15,3,5,11,12,5,37,2,4,4,3,9,1,2,7,19,6,7
"ATM.division2","ATM.division","WT",10,52,12,10,8,44,10,97,26,18,27,86,18,10,20,55,21,33,29,15,33,52,22,6,28,14,5,21,24,8,9,22,16,8
"ATM.migration1","ATM.migration","enhanced",11,30,0,26,4,13,2,8,10,19,31,4,8,16,12,3,21,6,12,14,22,4,45,2,9,9,3,8,3,2,9,30,8,6
"ATM.migration2","ATM.migration","WT",10,35,13,9,6,37,8,99,20,11,19,84,20,3,18,56,15,30,22,12,23,53,14,6,23,9,5,22,22,8,7,11,14,9
"other1","other","TVC alignment",3,2,9,5,0,8,1,95,1,1,5,6,3,3,9,45,2,6,0,4,8,41,1,1,4,2,1,9,1,1,1,1,5,2
"other2","other","TVC disposition",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"other3","other","WT",18,62,4,30,10,42,9,12,29,29,45,82,24,16,21,14,34,30,34,22,37,16,58,7,28,15,6,21,24,9,15,40,16,13
