"","5HTR","ADF/Cofilin","Arhgef8","BMP","Col9a1","Daam","Ddr","Depdc","Dync2h","EPB4.1","Eph","Ets","Farp","FGF4","Fgfr","Foxf","FZD","Gata","Gna-L/S","Gna12/13","Hand","Handr","MRF","NDE","Paxillin","Rab5","Rabep","Rho","RNF149","Rock","TLE","Tol","Tyrosinase","Vangl"
"ATM.dist.mean_Nucleus",1,1,1,1,1,1,1,0.0278620814250399,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00017104645436212,1,1,1,1,1,1,0.0223270395149532,1,1,1,1,1
"TVC.dist.min_Nucleus",1,1,0.864932132702066,1,1,1,1,7.0764922271168e-29,1,1,1,1,1,1,1,0.0187296392681357,1,1,1,1,1,0.000714012503899611,0.000236853597931394,1,1,1,1,1,1,1,0.685457114864824,1,1,1
"TVC.dist.max_Nucleus",1,1,1,1,1,1,1,0.0131583173182437,1,1,1,0.000323109817123543,1,1,1,0.213936680338919,1,1,1,1,1,1,0.000222237763989871,1,1,1,1,1,1,1,1,0.686850833058269,1,1
"TVC.dist.mean_Nucleus",1,1,1,1,1,1,1,5.53589656945213e-10,1,1,1,0.0791016774879918,1,1,1,0.0527356900475658,1,1,1,1,1,1,0.000113554007262057,1,1,1,1,1,1,1,0.182332572287301,0.788829336108465,1,1
"TVC.dist.sd_Nucleus",1,1,1,1,1,1,1,0.044865386832608,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00854258855671864,1,1,1,1,1,1,1,0.140302809494119,1,1,1
"TVC.ATM.dist.min_Nucleus",1,0.486029942000295,1,1,1,0.315043011795186,1,1,1,0.0384361126971736,1,1,1,1,0.922399892159743,0.00186169526163291,0.61839105471612,1,5.62824296801847e-05,1,1,7.25512223713935e-11,0.00484802078299257,1,1,1,1,1,0.680020983545391,1,1,1,1,1
"TVC.ATM.dist.max_Nucleus",1.80236671579463e-13,1,2.59495174011638e-09,3.89381901920381e-22,2.9908040112969e-06,1.02867936416679e-37,NA,4.47217592584759e-111,7.22302031493396e-29,4.76006301412014e-22,4.80695428917465e-43,4.99163701208367e-95,1,3.37477585105108e-13,NA,7.42606622492212e-67,2.45467106438106e-24,3.85889683164757e-31,6.44041817586816e-29,2.66865282877652e-20,1.34415536805514e-37,1,1.54907145085334e-31,NA,2.44248525552895e-31,3.17137495301447e-12,NA,7.22302031493396e-29,8.0313913287617e-23,2.9908040112969e-06,NA,2.66704978464777e-23,NA,1.93860011746667e-11
"TVC.ATM.dist.mean_Nucleus",1,1,1,1,1,0.167836389809202,1,0.678423391084441,1,0.145399343471436,1,1,1,1,0.656370378983142,0.000662267625301581,0.658155224608333,1,2.04607244534769e-05,1,1,1.93198324751847e-07,0.0189823731522253,1,1,1,1,1,1,1,1,1,1,1
"TVC.ATM.dist.sd_Nucleus",1,1,1,1,1,1,1,1,1,0.0748409822840562,1,0.284073181234373,1,1,0.293946416474385,0.310719767393065,0.222289483448101,1,0.000424948222449868,1,1,2.31879475507592e-07,0.549779979347904,1,1,1,1,1,0.157893269137725,1,1,1,1,1
"TVC.cosine.min_Nucleus",1,0.715670531087116,1,0.212179030388017,1,1,1,2.39282674163151e-26,1,1,1,0.0219700681022214,1,1,1,0.106911053198059,1,0.514322960214313,0.41103525636443,1,1,0.000444595266877983,1,1,1,1,1,1,0.391123061673171,1,1,1,1,1
