"","5HTR","ADF/Cofilin","Arhgef8","BMP","Col9a1","Daam","Ddr","Depdc","Dync2h","EPB4.1","Eph","Ets","Farp","FGF4","Fgfr","Foxf","FZD","Gata","Gna-L/S","Gna12/13","Hand","Handr","MRF","NDE","Paxillin","Rab5","Rabep","Rho","RNF149","Rock","TLE","Tol","Tyrosinase","Vangl"
"ATM.dist.mean_Nucleus",1,1,1,1,1,1,1,0.00985028144226123,1,1,1,1,1,0.790283203125,1,0.476760901568767,1,1,1,1,1,0.000890669978751923,1,1,1,1,1,1,0.0294611673116319,1,1,1,1,1
"TVC.dist.min_Nucleus",1,1,1,1,1,1,1,8.36483798403879e-15,1,1,1,1,1,1,0.391084032133222,0.000912262209438836,1,1,1,1,1,0.00141104925613158,0.00431026481609899,1,1,1,1,1,1,1,1,1,1,1
"TVC.dist.max_Nucleus",1,0.0561686642023598,1,1,1,0.209707191251527,1,2.39969227743704e-09,0.205040741711855,1,1,5.72373891154467e-08,1,1,1,0.000178991098583528,1,0.364398854362453,0.0695020625047504,1,1,1,0.0314123940951178,1,0.00389769207686186,1,1,1,0.0435457436269798,1,1,1,1,1
"TVC.dist.mean_Nucleus",1,0.0285267472722178,1,1,1,1,1,2.63200736028553e-12,1,1,1,1.62844220798321e-05,1,1,1,0.000120810268115921,1,0.277092475676909,0.428255236591213,1,1,1,0.00629594038348155,1,0.0409837602637708,1,1,1,0.295049712198461,1,0.28466796875,1,1,1
"TVC.dist.sd_Nucleus",1,0.0259542717868038,1,1,1,0.200021021974727,1,6.14003749457818e-08,0.145846731452824,1,1,2.48926156649755e-07,1,1,1,0.00838732027274039,1,0.318030424367525,0.0210193923035828,1,1,1,0.445780871675519,1,0.016669216378607,1,1,0.13960964837084,0.0225939567371074,1,0.412278756223839,1,1,1
"TVC.ATM.dist.min_Nucleus",1,0.126652472272123,1,1,1,0.249008655589465,1,0.351803685485692,1,0.0657065128376739,1,1,1,1,0.391084032133222,0.00315259350068174,0.207497244398617,1,0.00114222461699871,1,1,1.85519835279505e-07,0.220054645010889,1,0.99144019652158,1,1,1,1,1,1,1,1,1
"TVC.ATM.dist.max_Nucleus",0.00171769721682683,2.79127294135641e-11,0.0585436132524895,3.27159110479284e-06,0.304253416845883,1.38508807461192e-09,NA,2.10998251887463e-22,8.26777881390979e-06,1.74601047637075e-05,6.75353199732878e-10,1.96421082727095e-18,0.00115679545118729,0.00358612323637767,NA,2.98977604377507e-12,1.55209186648462e-06,5.68796305815432e-07,1.58290334074653e-06,9.62008040702382e-05,8.52839053525898e-09,1.66907714248977e-08,3.05911937357173e-10,NA,2.9467723155535e-06,0.00602968295719177,NA,8.26777881390979e-06,0.000110136048674398,0.293289329752337,NA,4.18500943352383e-07,NA,0.0208100789867755
"TVC.ATM.dist.mean_Nucleus",1,0.443546659509997,1,1,1,0.0783490666371297,1,0.276196481183645,1,0.200914482857617,1,1,1,1,0.443156454712153,0.00168526157317322,0.817011746743833,1,0.000908266339349477,1,1,6.92873504448235e-06,0.42061466094376,1,1,1,1,1,1,1,1,1,1,1
"TVC.ATM.dist.sd_Nucleus",1,1,1,1,1,1,1,1,1,0.165851072955795,1,1,1,1,0.0650997441262007,0.266445720861864,0.137538376065758,1,0.00590078444599764,1,1,7.7535108754056e-06,1,1,1,1,1,1,0.324825942516327,1,1,0.600095639335755,1,1
"TVC.cosine.min_Nucleus",1,0.988303167814646,1,0.0879410209599884,1,1,1,7.3839157929014e-14,1,1,1,0.000376461518608784,1,1,1,0.00315259350068174,1,1,0.970004426615436,1,1,0.000176103660350457,1,1,1,1,1,1,0.204511888826546,1,1,1,1,1
"TVC.cosine.max_Nucleus",1,1,1,0.105410881340504,1,1,1,1.78197084811963e-14,1,1,1,0.000508586750053193,1,1,1,2.80552181258255e-05,1,1,1,1,1,2.37325082630425e-05,0.921034178840454,1,1,1,1,1,0.221777961532482,1,1,1,1,1
"TVC.cosine.sd_Nucleus",1,0.142641305043318,1,1,1,1,1,1.22164766048572e-13,0.192734796800499,1,1,0.00370290627259857,1,1,1,0.000420957604395712,1,0.330948762280014,0.274522042888054,1,1,0.000176103660350457,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Nucleus.Dist.to.Cell.Membrane.min",1,1,0.25390625,1,1,1,1,1.24496397535545e-07,1,1,1,1,1,0.583578144511973,1,1,1,1,1,1,0.104102017697621,0.592449165143212,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Nucleus.Dist.to.Cell.Membrane.max",1,1,1,1,1,1,1,7.62090355652899e-07,1,1,0.564891269877255,1,1,1,1,1,1,1,1,1,1,0.00331722882477578,0.11583038317588,1,1,1,1,1,1,1,1,1,1,1
"ATM.Nucleus.Dist.to.Cell.Membrane.mean",1,1,0.781494140625001,1,1,1,1,3.34152325769522e-08,1,1,0.355280653546343,1,1,1,1,1,1,1,1,1,1,0.0255378468192596,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Nucleus.Dist.to.Cell.Membrane.SD",1,1,1,1,1,1,1,0.000159159720907416,1,1,1,0.543579571122345,1,0.997688959582272,0.233212004505162,1,1,1,1,1,0.0433793247610564,1,1,1,0.370690257352592,1,1,1,1,0.609375,1,1,1,1
"TVC.Nucleus.Dist.to.Cell.Membrane.min",1,1,0.02783203125,1,1,1,1,1.66371626504668e-14,1,1,0.189360325526272,1,1,1,1,1.42838282907812e-05,1,1,1,1,1,0.0447464845472659,0.00293265394062303,1,1,1,1,0.206058572977781,1,1,1,1,1,1
"TVC.Nucleus.Dist.to.Cell.Membrane.max",1,1,0.12939453125,1,1,1,0.41796875,1.16542872088318e-14,1,1,0.684617895263611,2.70926055610832e-05,1,1,1,2.15065883341095e-07,1,1,1,1,1,0.027631685411796,0.000109195723698145,1,0.024597616866231,1,1,1,0.00138187408447266,1,1,1,1,1
"TVC.Nucleus.Dist.to.Cell.Membrane.mean",1,1,0.02783203125,1,1,1,1,4.6008474793607e-15,1,1,0.141870541282935,0.185163375600764,1,1,1,9.59837464384306e-07,1,1,1,1,1,0.0307912230295519,0.000265137700859786,1,0.396580517292023,1,1,0.548766823485494,0.73426079750061,1,1,1,1,1
"TVC.Nucleus.Dist.to.Cell.Membrane.SD",1,1,1,1,1,1,1,1.02426565646027e-10,1,1,1,2.67118995554132e-05,1,1,1,1.80922678246388e-05,1,1,1,1,1,1,0.327407465194558,1,1,1,0.875,1,1,1,1,1,1,1
"ATM.dist.mean_Cell",1,1,1,1,1,1,1,0.0156584440422252,1,1,1,1,1,0.717479665472642,1,0.0839416785890739,1,0.335986629885156,1,1,0.0728628312998479,0.00141104925613158,1,1,1,1,1,1,0.0146229874712286,1,0.522738168665281,1,1,1
"TVC.dist.min_Cell",1,1,0.25390625,1,1,1,1,7.89396524523633e-14,1,1,1,0.829998430745114,1,1,0.537213837727904,0.000336404897960892,1,1,1,1,1,0.736176439879124,0.00221190581478984,1,1,1,1,1,0.880151646646762,1,0.28466796875,1,1,1
"TVC.dist.max_Cell",1,0.0597658599368819,1,1,1,0.140932161690362,1,2.42278759847085e-09,1,1,1,2.08965556328873e-07,1,1,1,0.000104087300633145,1,0.350649999654015,0.330795008184343,1,1,1,0.00758314510504453,1,0.00722008757293225,1,1,0.923630459234119,0.0242879053653654,1,1,1,1,1
"TVC.dist.mean_Cell",1,0.142641305043318,1,1,1,1,1,1.7579132480079e-12,1,1,1,2.58072558912981e-05,1,1,1,1.94416632522267e-05,1,0.264466243097559,1,1,1,1,0.00176111295188975,1,0.0157586913555861,1,1,0.818313546478748,0.0703640847793773,1,0.28466796875,1,1,1
"TVC.dist.sd_Cell",1,0.0304538999130245,1,1,1,0.323264272938236,1,4.44677025147908e-08,0.710483977133742,1,1,1.40100857731494e-06,1,1,0.922494338826821,0.00645300265749163,1,0.620679284572073,0.336400561227223,1,1,1,0.207796303635853,1,0.0275531119280783,1,1,0.326046710246821,0.0246865944153602,1,0.888433636239985,1,1,1
"TVC.ATM.dist.min_Cell",1,0.259114445294054,0.59814453125,1,1,0.333160315117191,1,0.0367197292875268,1,0.244772685278405,1,1,1,1,0.0650997441262007,0.00679744890465727,0.253422064922942,1,0.00382823382866123,1,1,2.99775337033782e-08,0.144449484293931,1,1,1,1,1,1,1,1,1,1,1
"TVC.ATM.dist.max_Cell",0.00171769721682683,2.79127294135641e-11,0.0585436132524895,3.27159110479284e-06,0.304253416845883,1.38508807461192e-09,NA,2.10998251887463e-22,8.26777881390979e-06,1.74601047637075e-05,6.75353199732878e-10,1.96421082727095e-18,0.00115679545118729,0.00358612323637767,NA,2.98977604377507e-12,1.55209186648462e-06,5.68796305815432e-07,1.58290334074653e-06,0.00397457790611563,8.52839053525898e-09,1.66907714248977e-08,3.05911937357173e-10,NA,2.9467723155535e-06,0.00602968295719177,NA,8.26777881390979e-06,0.000110136048674398,0.293289329752337,NA,4.18500943352383e-07,NA,0.0208100789867755
"TVC.ATM.dist.mean_Cell",1,0.612168874717711,0.12939453125,1,1,0.149167279986923,1,0.016150297795822,1,0.376362406993024,1,1,1,1,0.0906693190336228,0.00300866459273894,0.564016816432075,1,0.00265277441095982,1,1,7.58124500218607e-07,0.546779524334506,1,1,1,1,1,1,1,1,1,1,1
"TVC.ATM.dist.sd_Cell",1,1,0.781494140625001,1,1,1,1,1,1,0.734168409501239,1,0.0570589239650938,1,1,0.0123851299285889,0.428479020121073,0.105303357036219,1,0.0168888722505379,1,1,7.30061440014244e-07,1,1,1,1,1,1,0.243268728256226,1,1,0.56086689171143,1,1
"TVC.cosine.min_Cell",1,1,1,0.932135701877999,1,1,1,3.96683584408181e-12,1,1,1,9.70293621730943e-05,1,1,1,0.000669556431790213,1,1,1,1,1,0.000119670669842322,1,1,1,1,1,1,0.142441646542163,1,1,1,1,1
"TVC.cosine.max_Cell",1,1,1,1,1,1,1,1.34317514638062e-11,1,1,1,9.70293621730943e-05,1,1,1,0.000106254134486289,1,1,1,1,1,1.43424086228388e-05,0.197245732094908,1,1,1,1,1,0.425844366524549,1,1,1,1,1
"TVC.cosine.sd_Cell",1,0.142815374355205,1,1,1,1,1,2.66787557858629e-12,0.287873519179749,1,1,0.000260372311603117,1,1,1,0.00174767870980829,1,0.683930088385285,1,1,1,8.76483579428504e-05,1,1,1,1,1,1,0.498983725174094,1,1,1,1,1
"ATM.Cell.Ellipticity..oblate..min",1,1,1,1,1,1,1,1,1,1,0.00212635116766339,0.310446222145601,1,1,1,0.496754483781792,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Ellipticity..oblate..max",1,1,1,1,1,1,1,1,1,1,1,0.6191804992369,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Ellipticity..oblate..mean",1,1,1,1,1,1,1,1,1,1,0.385782774448115,0.0965495968495264,1,1,1,0.516997848998128,1,1,1,1,1,1,0.15798875924325,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Ellipticity..oblate..SD",1,1,1,1,1,1,1,0.000233290121474641,1,1,1,1,1,1,0.138082155957818,0.638102755333415,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.527144609437474,1,1
"ATM.Cell.Ellipticity..prolate..min",1,1,1,1,1,1,0.21875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Ellipticity..prolate..max",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Ellipticity..prolate..mean",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Ellipticity..prolate..SD",1,1,1,1,1,1,1,0.00656768485572218,1,1,1,0.190113014493599,1,1,1,0.516997848998128,1,0.683930088385285,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.min",0.17123620328213,0.351004929273057,1,0.0152687615453314,0.42578125,0.249008655589465,1,0.000851709097906554,1,1,1,1,1,1,0.0152507666498423,1.13588269286447e-05,1,0.0891066921571628,1,1,1,1,1,1,1,1,1,1,1,0.22265625,1,1,1,1
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.max",0.268675409584049,0.00184376621079894,1,0.00345481660968155,1,0.000221760960583443,1,0.00037715580792776,1,1,0.575875271849082,1,1,1,0.138082155957818,0.000117540226423579,0.6441474757915,0.0850594468119207,1,1,0.145385809689587,1,0.377479977502151,1,0.472405795007944,0.804432721940749,1,1,1,1,1,1,0.0549898147583008,1
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.mean",0.191101532815386,0.00455329355877756,1,0.00181070500685452,0.22265625,0.00142944318856902,1,0.000377531724511802,1,1,1,1,1,1,0.0152507666498423,1.05503726378954e-05,0.143875315474064,0.028956261061375,0.907654905112999,1,1,1,1,1,1,0.905610235977535,1,1,1,0.22265625,1,1,0.349828720092773,1
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.SD",1,0.0093948627874343,1,1,1,0.000855652200186483,1,0.00140672190435833,1,0.176890606477372,1,1,1,1,1,0.156960324092673,1,0.683930088385285,1,1,0.00711563762885982,1,1,1,0.00468724051003586,1,1,1,1,1,1,1,1,1
"ATM.Cell.Sphericity.min",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0058925083725672,1,0.103290470338162,1,1,0.00531428216534946,0.004455211549396,0.114245553275459,1,1,1,1,0.0149759780615568,1,1,1,1,1,0.16632080078125
"ATM.Cell.Sphericity.max",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0319023889835835,1,0.378551447653018,1,1,0.107232182386949,0.000279330326696888,0.0192949683400565,1,1,1,1,1,1,1,1,1,1,1
