"","5HTR","ADF/Cofilin","Arhgef8","BMP","Col9a1","Daam","Ddr","Depdc","Dync2h","EPB4.1","Eph","Ets","Farp","FGF4","Fgfr","Foxf","FZD","Gata","Gna-L/S","Gna12/13","Hand","Handr","MRF","NDE","Paxillin","Rab5","Rabep","Rho","RNF149","Rock","TLE","Tol","Tyrosinase","Vangl"
"ATM.dist.mean_Nucleus",-0.255766229262766,0.0247972589076619,-0.149264674033159,-0.050791193669698,-0.0785874927887423,-0.199358389240229,-0.316942326864867,-0.277215636542843,-0.124830695757207,-0.0688512476238499,-0.152478284740356,-0.19207216449745,-0.0988603495947058,0.286091346206654,-0.0266286402464166,0.277658853283927,-0.258725046286582,0.37117167357642,-0.110824327992201,0.236232875434527,0.195637360313344,0.80179814756917,-0.211768120189422,-0.126447314046231,-0.11643632674981,-0.441905900665044,-0.441564025835553,-0.179623131288874,0.635580848805579,-0.186959942466754,0.276731288571982,-0.208798848799969,0.0593124985478675,0.0466078446252284
"TVC.dist.min_Nucleus",0.271304428800896,0.356466492158124,-0.347741888437651,0.281723650961111,0.967730708571228,0.589308021634977,0.141693356197511,-0.582154265279721,0.637407391813331,0.359941363782142,0.325308955554828,0.316026803416134,0.1771253187632,0.693434550644378,0.0142404397427338,-0.1543298238439,0.544524471650561,0.359186760958964,0.499400220207757,0.509482524582853,0.517673832958176,-0.08051155040436,1.39725084843947,0.352200395661629,0.317273673820827,1.02699432555286,0.374903328663952,0.113932625061572,0.252570088463366,0.572252935342351,-0.191087809203935,0.907307364871265,0.173846138451345,0.192253084412418
"TVC.dist.max_Nucleus",0.587387995617573,0.0462863713320977,0.011632120209922,0.945918943865166,0.25559915053824,0.208223153111689,-0.0640886644550199,-0.0458132761991843,-0.0260074999024554,0.450695349926312,0.312170408763716,-0.20705528529888,0.0883533201846663,1.06050148325186,0.153633690241071,-0.00388659023263967,0.635837490772659,0.00538853911502397,0.0317382380220294,0.501082236991047,0.249768043926404,0.251285631757727,1.57513743956491,0.10890355509881,-0.167158946102678,0.548795116331947,0.139894897055122,0.0305270414975327,-0.197090173820978,0.144315565145754,-0.116380059591714,1.08438317950207,0.141220746749569,0.515700038048425
"TVC.dist.mean_Nucleus",0.528955464520473,0.135965504463642,-0.106581907991854,0.766811495375033,0.561731797957529,0.387752478037725,0.0224381118469929,-0.236454975353558,0.141156804320168,0.44449983312984,0.325880779732465,-0.0353074801404986,0.0916457702656025,1.0203763635008,0.125279103271209,-0.0394440379807045,0.705858605609836,0.125704936475174,0.22283278810266,0.502359512993205,0.369684354218224,0.204077780611877,1.5376304479345,0.214206538407865,0.000166705139224908,0.778260489971829,0.189568537833853,0.0520341169277176,-0.019448422564713,0.241532107682671,-0.131793283347393,1.10966821771896,0.187957106981997,0.451873994612764
"TVC.dist.sd_Nucleus",0.584002788710985,0.247064975829849,0.348723303952089,0.770769122500683,0.273140743352321,0.351532527373763,-0.0617542736511137,0.056474942710552,0.09306144318391,0.427577472279055,0.286071674488037,0.170523326765641,0.144306984356389,0.871098459020024,0.160006579897912,0.157134848507442,0.517831920470056,0.162208562702878,0.0911612510564571,0.386017539842345,0.345987417953119,0.605979049922455,1.28833169520422,0.120750465897717,0.0188876217671192,0.48382901401578,0.237332489225634,0.0132178513413078,-0.0170150286050548,0.284433586495599,-0.0547316905958974,0.853033889686881,0.147712545971491,0.407675584461205
"TVC.ATM.dist.min_Nucleus",0.296655768360036,0.357363268525141,-0.433781834126662,-0.072617541992131,0.319049086820833,0.401126154277278,0.676345955856534,-0.23389867236079,0.0617710151452232,0.672144833095721,0.0269920404408629,-0.0288691170108918,-0.0348611134744738,0.18266613737743,0.478774956503192,-0.618422664929667,0.344854401628461,0.0234272321543581,0.887286926885905,-0.410043332085714,0.177412331713374,-1.39638792072648,-0.730701527815231,0.649961297361225,0.330568998903431,-0.121933319772316,0.169055404598755,-0.383709328931338,-0.755860203912443,0.193725963915789,0.36662589049967,0.196456682890315,-0.394308918230224,-0.263256026869535
"TVC.ATM.dist.max_Nucleus",0.0317480744236989,-0.53639289476972,0.0341902339947526,0.0306898052762422,0.0333354781448838,0.0333354781448838,0.037039420160982,0.0360009317452535,0.0358047728222826,0.0333354781448838,0.0348170549513231,0.0361976151573233,-0.783852152369599,0.0331405338282471,0.037039420160982,0.0364116333785925,0.0318950562497345,0.034981674596483,0.0348606307397478,0.0341902339947526,0.0345701254835832,-0.269112141179354,0.0257392580779705,0.037039420160982,0.0358819382809513,0.032923929031984,0.037039420160982,0.0358047728222826,0.0355578433545427,0.0333354781448838,0.037039420160982,0.0280054152436693,0.037039420160982,0.0345701254835832
"TVC.ATM.dist.mean_Nucleus",0.2510320243401,0.298422408950918,-0.474870662311547,0.0122830040874303,0.374434657520345,0.429426614112652,0.613768920438356,-0.241332024827147,0.00843244255667147,0.630367533161632,-0.101228967850635,-0.0114426307842358,-0.0907847366185978,0.237543645766785,0.466900693896602,-0.628465385767317,0.362745011913196,0.0567686646833013,0.910698775549595,-0.404020031833132,0.224345802112058,-1.091567941271,-0.695201314935945,0.456928833662203,0.29437121940875,-0.0532083876896689,0.121240876693494,-0.438040779502697,-0.647242570490315,0.249689745144238,0.368871217816637,0.201184096361657,-0.4626414583343,-0.168766129892156
"TVC.ATM.dist.sd_Nucleus",-0.296345564704116,-0.0635301439376343,0.473952028850795,-0.0953809304793485,-0.115547199103341,-0.169333792766607,-0.573377329466799,0.0386616613825707,0.0633155762525287,-0.532706798807909,-0.0298725288177596,0.449286127974827,0.0804556345053772,-0.124612421884443,-0.491160920002539,0.408278316074221,-0.339834726182375,0.161084219982489,-0.695018734657492,0.368070728004,-0.13943700671743,1.09922580748716,0.382105007918085,-0.5424055662774,-0.115279340023459,0.113360670624838,-0.308882101292222,0.261721937604919,1.08494949282219,-0.0494948630787273,-0.381415155674698,-0.222919688607822,0.363485824824923,0.264104445245447
"TVC.cosine.min_Nucleus",-0.489916225406798,0.205314102268013,-0.665901252518144,-0.669687899874688,0.361151779820742,0.15135482829346,0.0789751706010882,-0.906710703814075,0.0733679067889534,-0.331547925802512,-0.33133830587208,0.134951435451524,0.0295134440563531,-0.500925115525449,-0.36768689863564,-0.578949751552836,-0.409300181151458,0.490370273751712,0.501969246891539,-0.422543257547551,-0.212291933833676,-0.670211388172871,-0.430018375456237,0.152359639591601,0.25116402167109,0.0744739279932496,-0.197940637094129,0.215209375485243,0.615349488007818,0.2480387965678,-0.053871306910254,-0.3073501491311,-0.293032989790715,-0.2834487791924
