"Row.names","Date","EP.experimentator...Imaging.acquisition","Condition","ID.embryo","Cell.Segmentation","Threshold.nuclei.y","Threshold.membrane.y","Surface.Segmentation","Merged.cells.to.get.new.surface.information.from.cell.segmentation","Shortest.distance.between.ATM.group.to.TVC.group..from.edge.to.edge..µm","Comment.on.the.distance","Comment.on.the.embryo","Phenotype","Details","Quality.of.segmentation.based.on.labelling..good..correct..not.good.","Comments","Name","phenotype.label","migration.perturbed","division.perturbed","orientation.perturbed"
"ADF.Cofilin.slide1_image11.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image11","yes",103,25.5,"-","yes","29.7","-","problem division","inhibited TVC division","the 2 TVCs didn't divide in the trunk","not good","-","ADF.Cofilin.slide1_image11.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide1_image12_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image12_left","yes",95.8,16.7,"-","yes","0","groups connected","problem migration and division","enhanced ATM migration / enhanced ATM division","one of the ATM migrated in the trunk but not completely because still attached to the other ATM; the ATM that migrated also divided","good","-","ADF.Cofilin.slide1_image12_left.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image13.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image13","yes",114,26.6,"-","yes","0","groups connected","problem migration and division","inhibited TVC migration / inhibited TVC division","the migration was not done completely because the TVCs are still attached to the ATM, and the 2 TVCs didn't divide in the trunk","good","-","ADF.Cofilin.slide1_image13.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image14_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image14_right","yes",91.3,29,"-","yes","22.8","-","problem migration and division","inhibited TVC migration / inhibited TVC division","one of the TVC didn't migrate and didn't divide in the tail","good","Ambiguous phenotype","ADF.Cofilin.slide1_image14_right.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image18_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image18_left","yes",82.8,13.4,"-","yes","36.9","-","problem migration and division","inhibited TVC migration / inhibited TVC division","one of the TVC didn't migrate; stayed in the tail and didn't divide","not good","-","ADF.Cofilin.slide1_image18_left.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image2_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image2_left","yes",95.7,29.7,"-","yes","37","-","problem migration and division","enhanced ATM migration / inhibited TVC division","one of the ATM migrated in the trunk with the TVCs; and one of the TVC didn't divide in the trunk","correct","-","ADF.Cofilin.slide1_image2_left.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image2_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image2_right","yes",60.8,29.7,"-","yes","15.7","-","problem migration and division","enhanced ATM migration / enhanced ATM division","one of the ATM migrated and divided in the trunk with the TVCs","good","-","ADF.Cofilin.slide1_image2_right.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image20_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image20_right","yes",108,25.6,"-","yes","43.1","-","problem migration and division","enhanced ATM division / inhibited TVC migration","one of the ATM divided in the tail: and one of the TVC didn't migrate, stayed in the tail and divided","correct","-","ADF.Cofilin.slide1_image20_right.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image21.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image21","yes",104,26.8,"-","yes","34.4","-","problem migration and division","inhibited TVC migration / inhibited TVC division","one of the TVC didn't migrate, it stayed in the tail and didn't divide","good","-","ADF.Cofilin.slide1_image21.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image23_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image23_left","yes",89.9,42.3,"-","yes","32.8","-","problem division","inhibited TVC division","the 2 TVCs didn't divide in the trunk","good","-","ADF.Cofilin.slide1_image23_left.2019_08_29","division perturbed",FALSE,TRUE,FALSE
