"","k","ES"
"1",3,0.660253050583239
"2",4,0.688896688896689
"3",5,0.656350774521486
"4",6,0.658330888823702
"5",7,0.668531388585882
"6",8,0.680526147819706
"7",9,0.673791487251311
"8",10,0.676661369866483
"9",11,0.677784032273196
"10",12,0.689387755102041
"11",13,0.698539697577512
"12",14,0.693744225469967
"13",15,0.693918487675896
"14",16,0.694172312965433
"15",17,0.693177995080358
"16",18,0.692783003509927
"17",19,0.689859955652521
"18",20,0.690712248619934
"19",21,0.692765376408283
"20",22,0.690619813134894
"21",23,0.693022320795943
"22",24,0.684650579938218
"23",25,0.686045344448615
"24",26,0.685923491966771
"25",27,0.682152052616542
"26",28,0.683485988327452
"27",29,0.681459644472096
"28",30,0.682841938822311
"29",31,0.681284879748827
"30",32,0.682688734368214
"31",33,0.675400028027297
"32",34,0.674165381119912
"33",35,0.675258515542054
"34",36,0.674968960119001
"35",37,0.67684827905541
"36",38,0.678324444496441
"37",39,0.681286313452168
"38",40,0.681704514856124
"39",41,0.682441897484877
"40",42,0.680124784006649
"41",43,0.678842768826474
"42",44,0.676990717206581
"43",45,0.672840650264747
"44",46,0.664338422444128
"45",47,0.660956354896452
"46",48,0.660460807527907
"47",49,0.655340372908087
"48",50,0.654131380742823
"49",51,0.653914598473587
"50",52,0.652766466178132
"51",53,0.65036290258557
