"","5HTR","ADF/Cofilin","Arhgef8","BMP","Col9a1","Daam","Ddr","Depdc","Dync2h","EPB4.1","Eph","Ets","Farp","FGF4","Fgfr","Foxf","FZD","Gata","Gna-L/S","Gna12/13","Hand","Handr","MRF","NDE","Paxillin","Rab5","Rabep","Rho","RNF149","Rock","TLE","Tol","Tyrosinase","Vangl"
"5HTR",1.28749222069871,-1.42542789950085,0.371779067180673,1.75521861806773,-Inf,-1.36012147190268,-0.575004255551358,-0.771326162603104,-0.0211802666391056,0.469389863807096,-0.396858747304077,-0.102566927089297,-0.35261183421491,1.18152360499337,1.42791322783094,-1.68576567830488,0.958427944529716,-0.846341965116361,0.00472159680365144,0.451467955809833,-0.448996370639252,-1.26531975641874,-0.0652804823829954,-0.139419378868428,-0.0339588713604086,-1.43268371550365,-Inf,-2.20020388738124,-0.757118666001584,-1.5306101361929,1.17073154824258,1.25968496037943,-2.62230997032971,0.955618410942892
"ADF/Cofilin",-1.34255816955099,0.80250270537703,-0.995236917235227,-1.62485351917362,1.18037639139247,1.09729097909797,0.96487035564126,-1.47937906485407,0.19676624966615,0.183293874774763,0.0885680798661648,0.424923959647489,-0.0351296443587397,0.136435715464828,-0.0866599449988217,-1.65285105583214,-0.273073069229703,0.598895771938182,1.14020595291693,-0.956190013103413,0.529762481786577,-1.37180819061142,-0.405824255437705,0.815492731603034,0.714502361643627,0.937265894246659,1.43191515838843,-0.245291776909775,0.420185865806326,0.161267568444764,-0.459318842007114,-0.324561740257141,-0.164897519329069,-1.25939448002796
"Arhgef8",0.301298020223738,-1.14858769414202,1.74172867693098,-0.440428948036193,-Inf,-0.668243767265008,-0.88312655091369,1.28733387270619,0.156124265168804,-0.954209648975172,-0.120018541945253,-0.789200845705359,0.701835949807466,-Inf,-2.46517156825255,1.00611202633279,-0.809125969469913,-1.37685668181514,-2.62532879344604,0.558383159726345,-1.07904676088895,0.0115204489400819,-1.95836527846648,-Inf,-0.34208116672274,-1.74080601086598,-0.49408426016779,0.299028739314035,0.197793444469878,0.74623006916592,-Inf,-1.41767114464862,0.876922656365558,0.0625336148594044
"BMP",1.75997999216145,-1.70296187502976,-0.365186526985533,1.85319377763102,-2.17446632596763,-3.68204956679004,-Inf,-1.0557795520718,-0.495111454971518,0.491416170137095,-0.326469419412679,-1.37004723795428,0.00995824516979859,0.560035228247096,1.39138735180582,-1.68576567830488,0.668921327334731,-0.805699980619015,-1.24681717019231,1.12953986092247,-0.115572636914061,0.207168015044001,0.642538766123695,-Inf,-2.09285256041398,-Inf,-1.92292755897166,-0.236729763406351,-1.00865743299755,-2.26757573035911,1.19930070043935,1.49926039338923,-1.03734746960856,0.63369031605553
"Col9a1",-Inf,0.892888941834136,-Inf,-2.38384541966983,0.632888596089975,1.21276819651791,0.49538507234004,-3.94886434815529,-0.687756532913914,0.646694395615006,0.258493081308477,-1.41068922245163,0.910422571618884,-0.333049567836392,-1.08665994499882,-1.61537635041348,-0.845651845495027,-1.58330755928257,0.753182829807687,-1.06310521701992,0.299464862364783,-2.19493042852734,-1.57985365521275,1.51593244974413,0.521857283701231,1.44506053444536,1.4693898638071,0.677540362567765,-0.00865743299754831,1.12474169241965,-Inf,-1.03915952139489,0.448079357561684,-Inf
"Daam",-1.3790840455761,0.995458675474683,-0.616725293981497,-3.70577351455719,1.39842334245295,0.847771379738657,-0.0191881004897179,-0.985390224180405,-0.00968462780127617,-0.0902711985512004,-0.589503825246473,0.631955114956865,-0.163578009824893,-0.654977662723754,-0.501697444277665,-1.0628353273847,-1.29311082246625,1.09476434583007,0.3854510453072,-2.80007081118613,-0.0682669221357038,-1.34693352197239,-0.238816737377686,0.609041854135608,0.784891689535025,0.775209136137686,1.26293898633967,-0.451742654377202,0.313270661889814,1.02520601886874,-2.40273531364075,-0.624122022116049,-0.703923735883366,-1.46584535749538
"Ddr",-0.642118451409895,0.814886429832863,-0.879759699815291,-Inf,0.632888596089975,-0.0673397226748299,1.49538507234004,-0.363901847434135,-0.27271903363507,-0.160660526442598,-0.326469419412679,1.26738268266101,-2.08957742838112,0.666950432163608,-0.0866599449988216,0.706551744473884,-2.43061434621618,-0.998345058561411,0.560537751865291,0.521857283701231,-1.70053513763522,-Inf,-Inf,0.93096994902297,0.299464862364783,1.22266811310891,1.88442736308594,-1.12981455948984,-2.00865743299755,1.86170728658586,-Inf,-2.62412202211605,-1.55192064243832,-0.143917262608022
"Depdc",-0.813729829480094,-1.60465246168092,1.31541125278613,-1.10294459304252,-3.78665029542381,-1.00883131738397,-0.339191318452588,2.04944927521682,-1.16869596909184,-1.41027441651407,-1.04556859278537,-1.00240908934809,-0.509116319894901,-2.75258845935018,0.0173631195444068,1.34012418941966,-1.45783581495121,-1.14486545566878,-2.34442796681874,-0.438249989175256,-1.53511152842785,0.166890393483531,-2.06079309139068,-1.16664084760345,-1.120074029149,-1.08139356098494,-1.95014902770669,0.232006262521036,-1.03587890173257,-1.87975969981529,-2.50034611026717,-1.39980472385511,-0.164104611894497,-0.563456154121807
"Dync2h",0.0948471427563113,0.229923929111706,0.342632721521157,-0.383845419669826,-0.367111403910025,0.125305355267566,-0.089577428381116,-1.01026489281943,0.142318465643774,-0.160660526442599,0.457801889531884,0.10868493664195,0.784891689535025,0.0819879314424519,0.0288172724211143,0.121589243752728,0.376740575841421,-0.168270060003723,0.753182829807687,0.439395123509258,0.0364304565309893,-0.136036739473776,-0.0493389385139737,-0.0690300509770304,-0.0631052170199251,0.512174730303892,-1.70053513763522,0.808784895846017,0.654307579724881,0.539779191698494,0.141585202583064,0.112843572050157,-0.136883143159473,0.0784751587284259
"EPB4.1",0.473358766010041,0.104393047027847,-0.879759699815291,0.490623698246315,0.855281017426423,-0.0673397226748302,-0.089577428381116,-1.36390184743413,-0.27271903363507,1.71380859147354,0.310960501202613,-0.147654816617835,-0.089577428381116,0.782427649583544,0.576305067723608,-0.697838510605451,-0.430614346216183,-0.467830341862631,-0.246817170192313,-0.478142716298769,0.23806431770064,-0.972538007190897,-0.0493389385139737,0.346007448301814,0.0364304565309893,0.637705612387751,-0.115572636914061,-1.12981455948984,-2.00865743299755,0.762171613034941,1.24112087613398,0.0388429906063804,0.770007452449046,0.593048331558184
