"","5HTR","ADF/Cofilin","Arhgef8","BMP","Col9a1","Daam","Ddr","Depdc","Dync2h","EPB4.1","Eph","Ets","Farp","FGF4","Fgfr","Foxf","FZD","Gata","Gna-L/S","Gna12/13","Hand","Handr","MRF","NDE","Paxillin","Rab5","Rabep","Rho","RNF149","Rock","TLE","Tol","Tyrosinase","Vangl"
"5HTR",16,8,5,37,0,6,2,19,10,13,12,26,7,12,24,6,22,7,10,12,10,8,18,2,10,2,0,2,5,1,10,31,1,9
"ADF/Cofilin",8,116,6,11,19,102,18,36,36,33,52,116,27,18,26,19,29,59,68,14,61,23,44,12,52,32,19,24,35,10,10,32,17,6
"Arhgef8",5,6,8,5,0,6,1,49,7,3,9,10,9,0,1,24,4,3,1,8,4,12,3,0,5,1,1,7,6,3,0,3,7,3
"BMP",37,11,5,66,1,2,0,26,12,22,21,18,15,13,39,10,30,12,7,32,21,37,49,0,4,0,1,13,7,1,17,61,5,12
"Col9a1",0,19,0,1,2,17,2,1,3,7,9,5,8,2,2,3,3,2,8,2,8,2,3,3,7,7,3,7,4,3,0,3,4,0
"Daam",6,102,6,2,17,66,7,39,24,21,25,103,19,8,15,22,11,64,31,3,31,18,38,8,42,22,13,16,25,14,2,20,9,4
"Ddr",2,18,1,0,2,7,4,12,4,4,6,32,1,4,4,15,1,3,7,6,2,0,0,2,6,6,4,2,1,5,0,1,1,2
"Depdc",19,36,49,26,1,39,12,684,23,18,39,71,32,4,46,249,21,29,10,33,24,110,23,5,24,13,3,55,21,4,4,25,28,16
"Dync2h",10,36,7,12,3,24,4,23,16,12,31,43,22,8,13,30,21,16,24,17,20,25,26,3,14,11,1,23,19,6,7,20,8,7
"EPB4.1",13,33,3,22,7,21,4,18,12,44,28,36,12,13,19,17,12,13,12,9,23,14,26,4,15,12,3,6,3,7,15,19,15,10
"Eph",12,52,9,21,9,25,6,39,31,28,58,29,41,18,15,32,50,29,31,25,33,22,53,10,24,10,8,29,23,7,17,39,28,12
"Ets",26,116,10,18,5,103,32,71,43,36,29,304,23,3,29,57,26,82,50,18,72,85,46,12,57,30,11,28,56,8,9,19,12,20
"Farp",7,27,9,15,8,19,1,32,22,12,41,23,16,5,13,21,16,20,9,18,17,16,30,3,11,8,2,19,15,8,6,13,9,4
"FGF4",12,18,0,13,2,8,4,4,8,13,18,3,5,8,16,2,15,8,6,9,19,11,30,0,9,3,0,3,1,2,6,16,9,12
"Fgfr",24,26,1,39,2,15,4,46,13,19,15,29,13,16,34,5,20,15,6,16,22,20,16,1,11,5,1,6,6,0,12,25,5,6
"Foxf",6,19,24,10,3,22,15,249,30,17,32,57,21,2,5,184,12,24,12,22,14,119,18,8,24,9,2,44,14,9,1,10,22,9
"FZD",22,29,4,30,3,11,1,21,21,12,50,26,16,15,20,12,40,19,19,29,29,14,51,1,18,8,3,8,3,5,15,53,7,12
"Gata",7,59,3,12,2,64,3,29,16,13,29,82,20,8,15,24,19,50,28,10,32,28,13,5,25,16,4,10,31,10,8,8,8,6
"Gna-L/S",10,68,1,7,8,31,7,10,24,12,31,50,9,6,6,12,19,28,38,8,16,9,21,10,17,17,4,14,19,3,4,18,10,5
"Gna12/13",12,14,8,32,2,3,6,33,17,9,25,18,18,9,16,22,29,10,8,16,15,29,37,0,10,6,3,12,4,0,13,30,13,7
"Hand",10,61,4,21,8,31,2,24,20,23,33,72,17,19,22,14,29,32,16,15,46,41,41,1,28,8,8,11,24,4,15,30,12,14
"Handr",8,23,12,37,2,18,0,110,25,14,22,85,16,11,20,119,14,28,9,29,41,282,31,1,12,4,0,22,29,1,7,11,15,7
"MRF",18,44,3,49,3,38,0,23,26,26,53,46,30,30,16,18,51,13,21,37,41,31,198,1,19,10,5,26,15,6,20,91,14,21
"NDE",2,12,0,0,3,8,2,5,3,4,10,12,3,0,1,8,1,5,10,0,1,1,1,0,2,4,3,6,5,3,0,1,5,1
"Paxillin",10,52,5,4,7,42,6,24,14,15,24,57,11,9,11,24,18,25,17,10,28,12,19,2,34,7,5,22,14,5,5,12,12,5
"Rab5",2,32,1,0,7,22,6,13,11,12,10,30,8,3,5,9,8,16,17,6,8,4,10,4,7,6,4,5,6,4,2,13,3,5
"Rabep",0,19,1,1,3,13,4,3,1,3,8,11,2,0,1,2,3,4,4,3,8,0,5,3,5,4,0,3,3,2,2,2,2,1
"Rho",2,24,7,13,7,16,2,55,23,6,29,28,19,3,6,44,8,10,14,12,11,22,26,6,22,5,3,26,16,8,5,13,13,5
"RNF149",5,35,6,7,4,25,1,21,19,3,23,56,15,1,6,14,3,31,19,4,24,29,15,5,14,6,3,16,26,7,1,5,13,6
"Rock",1,10,3,1,3,14,5,4,6,7,7,8,8,2,0,9,5,10,3,0,4,1,6,3,5,4,2,8,7,4,1,2,6,1
"TLE",10,10,0,17,0,2,0,4,7,15,17,9,6,6,12,1,15,8,4,13,15,7,20,0,5,2,2,5,1,1,4,20,5,3
"Tol",31,32,3,61,3,20,1,25,20,19,39,19,13,16,25,10,53,8,18,30,30,11,91,1,12,13,2,13,5,2,20,50,8,13
"Tyrosinase",1,17,7,5,4,9,1,28,8,15,28,12,9,9,5,22,7,8,10,13,12,15,14,5,12,3,2,13,13,6,5,8,8,7
"Vangl",9,6,3,12,0,4,2,16,7,10,12,20,4,12,6,9,12,6,5,7,14,7,21,1,5,5,1,5,6,1,3,13,7,6
