"","5HTR","ADF/Cofilin","Arhgef8","BMP","Col9a1","Daam","Ddr","Depdc","Dync2h","EPB4.1","Eph","Ets","Farp","FGF4","Fgfr","Foxf","FZD","Gata","Gna-L/S","Gna12/13","Hand","Handr","MRF","NDE","Paxillin","Rab5","Rabep","Rho","RNF149","Rock","TLE","Tol","Tyrosinase","Vangl"
"5HTR",0.00126146293539749,0.00161325560343472,0.446696107480724,5.25881103133337e-10,0.124054068753881,0.0105551456717609,1,0.0172090256745254,1,0.248380045698254,0.447938537683108,0.849454300391054,0.735632683574734,0.0133392400453477,2.13386428689876e-05,0.000853414864398199,0.00407792447487376,0.155070670571836,0.874486552917956,0.305790559665517,0.41464226710722,0.00603283096494684,1,1,1,0.19209211950414,0.183653935000825,0.0118674593647789,0.300506342283912,0.382795162129578,0.0157868662590542,1.68022698701153e-05,0.0259025559762455,0.0567829139844426
"ADF/Cofilin",0.00361251283948406,3.80028189729306e-08,0.108303098427068,9.76258171248852e-06,0.00133992659617638,7.3735624713247e-12,0.00774648817696564,2.89630809206875e-13,0.420646530952645,0.456866503325572,0.616815584957323,0.00214381912665584,1,0.621120113118646,0.849014561107179,1.81867088333011e-09,0.352205141642592,0.00288081278641878,7.10781551907607e-09,0.00916516697359815,0.00684528435383687,1.22005728013932e-07,0.0661416055473845,0.0541221866812568,0.000926430644812881,0.000798296715846216,0.000139952961602267,0.453517615445887,0.0950322929233811,0.617080840799297,0.41567807209016,0.235118628159419,0.731224051859427,0.0237192342286119
"Arhgef8",0.612199560316991,0.0393674587128069,0.00327380489214739,0.698292184029414,0.423629016031157,0.32882926991487,1,3.71752650936102e-08,0.687976887805366,0.399371976292347,1,0.0904109754021878,0.134303933935727,0.0871495334064683,0.0519579178886262,0.00194001945206369,0.342585704025672,0.103028906880507,0.0259056648927754,0.274899155867625,0.164541028495226,0.8847591406366,0.00738330759993603,0.651285687805652,0.84084350802465,0.275790446257401,1,0.525101004481074,0.658600050382358,0.26629554069368,0.124758907882881,0.0765791768025231,0.114100770298559,0.766682596852065
"BMP",4.81919788370283e-10,2.32874471001565e-06,0.841831826807327,5.47966415522961e-18,0.148153738731751,4.77031963206037e-09,0.0121491283188109,4.04365094039404e-05,0.273174859788071,0.126466247649212,0.378828793454747,3.27206042064803e-06,0.89689138727294,0.17280171564193,1.40809783838063e-07,8.85635609831716e-06,0.0150730296995643,0.0486660021755844,0.0135401073590728,6.43542170166821e-05,0.833551169675084,0.375967874287082,0.00308835925706759,0.0593694101278879,0.000370939248234887,0.000298119293433912,0.198206875208084,0.700184414952864,0.0606692701438543,0.103829985418847,0.00232551601606236,3.03189633825229e-12,0.116244356768901,0.144353696417528
"Col9a1",0.0840978190762523,0.0112810631670538,0.274037917013351,0.0741486045618024,0.369547465352833,0.00221217509742202,0.656638761172589,5.51662556529242e-06,0.64400222848358,0.227832444553635,0.580143029485589,0.018576483936381,0.0820485505908581,1,0.458687192957106,0.0445335729376493,0.39162297417024,0.145727730249425,0.158151547351747,0.456460774021708,0.550928836171367,0.0117879724602818,0.0431326256675073,0.0895337685665376,0.355375832989872,0.0162614428751422,0.0962645377076867,0.221045850736121,1,0.160673384774127,0.284849934870105,0.307338287824214,0.547079769529632,0.292300842608339
"Daam",0.0106642685488718,3.06204028408582e-10,0.405986102675488,3.38677996319253e-09,0.000394287034578922,1.04489238785926e-05,1,2.73233431581174e-06,1,0.915507850773704,0.0408668881635954,2.83632152525233e-05,0.744321547533108,0.256575060336391,0.193118146996115,0.000153877501926891,0.000961510536636088,6.79544851674978e-08,0.148837130715374,2.91749149649688e-06,0.860923945273326,5.54292458258512e-06,0.369237583863811,0.265660212040264,0.00107067355411589,0.0167139764618629,0.00393443145632846,0.239111738321232,0.263847091730346,0.0122080416674801,0.00312757361988674,0.0575175704714241,0.15120098219952,0.0330214839390318
"Ddr",0.776492056044582,0.0262053181579188,1,0.0129240709859418,0.369547465352833,1,0.0558618276813423,0.445693722765789,1,1,0.716212189256086,1.1267567360303e-05,0.142383172750057,0.327079527223253,1,0.0665398158497424,0.0514052017637122,0.30387180162106,0.251643294574565,0.322729626894948,0.0769160256128515,0.000191349372439928,0.000294117859656679,0.282264278365149,0.497727295858066,0.0469285275463248,0.0245339427196458,0.341412898129953,0.203027815319485,0.0133176113367772,0.284849934870105,0.0259039547251332,0.382981263723138,1
"Depdc",0.00929675173857064,5.51477194990949e-16,2.25770467819119e-08,1.24670717583783e-05,3.46249123207215e-05,1.4154047446633e-06,0.519541529585753,4.05214848948676e-199,1.42102930006001e-05,1.50594619626843e-06,4.60719916654103e-07,6.57809564722997e-11,0.0449847841991247,1.15656893451098e-07,0.882129185533559,4.24088370056795e-37,5.25000653946552e-08,1.35241644244295e-06,7.81570911219324e-12,0.0848923004508237,4.75593145695556e-10,0.225035017761271,9.26659305781663e-19,0.0706364452486758,2.1646192301022e-05,0.00396506760077413,0.00726447492182643,0.241369776698012,0.000316970445537291,0.00237340185644325,4.27839798462086e-06,1.61793709088955e-08,0.654515537471356,0.122799937352409
"Dync2h",0.743449261481692,0.320342574823312,0.516561520381907,0.446607987654747,1,0.668628573608746,1,0.000224962474766994,0.691887153570604,0.890766215142278,0.0904168406829487,0.579464746857476,0.016142170435803,0.854112287672016,0.888130673503677,0.633024605685776,0.213418074659783,0.812700155593624,0.0159399013016807,0.201563579138314,0.909467144856869,0.774062206288275,1,1,1,0.208044761467003,0.393148606973386,0.0119057701084552,0.0587353508140562,0.317749477543428,0.69048563167213,0.726040083739571,1,0.844259798431399
"EPB4.1",0.247593042417954,0.651186900442837,0.392435882147626,0.12658056943415,0.118378358768825,0.915266788502778,1,4.36876588102262e-06,0.599871206864187,3.2659628666821e-11,0.245747830810727,0.634040820073073,1,0.0641986669514958,0.0901891750993539,0.0446984145276975,0.38197155364722,0.287409390899093,0.689815265678837,0.395590970592559,0.425957953573432,0.00726762494027222,1,0.563908346026726,0.895441551528863,0.143694141577445,1,0.0513724409757237,0.00375781794351703,0.140477757266111,0.00237056299329271,0.907026874797132,0.0425697884845698,0.17309987863579
"Eph",0.446266330655249,0.88865967044566,1,0.377348743665988,0.317803528948328,0.0568152248722526,0.851089854194938,2.73233431581174e-06,0.154653188575943,0.242625200704015,0.0018464587768404,4.15096290385545e-07,0.000121972789496604,0.121447476099215,0.193118146996115,0.0385295689989365,6.46673833456686e-05,1,0.148837130715374,0.379376365124488,0.929933447480866,0.000151387929358998,0.231162669659259,0.0468835294565778,1,0.574489781403299,0.274031965420482,0.133080996942929,0.502098105754468,0.848532019472268,0.0618931168869221,0.148311680118693,0.00152063126070857,0.761799349094334
"Ets",0.923764968249404,0.00830764025375477,0.135488095900906,4.20670777083737e-06,0.0716993518829226,9.00764167457222e-06,2.78077710242921e-06,1.27181931290868e-09,0.938763109854233,0.689644314183445,4.08516525521975e-07,6.14202572326592e-47,0.0173399867728544,1.09275991949376e-06,0.190096920240536,0.00636908769594035,0.00103505509517855,0.000185556903815602,0.214616396568477,0.000922415067889229,0.054859899870291,0.615823397149595,7.8292083115939e-05,0.322340476358466,0.038668271018659,0.139088714144845,0.624026249610602,0.106017497121603,0.00131268914698936,0.311570024197083,0.0201566314769173,6.31551702156921e-08,0.00408283439341932,0.820772082961795
"Farp",0.733587365649478,0.851675456067806,0.114084177324203,0.895388165519837,0.0312740565680995,0.825527931061228,0.201441740521532,0.0937519466890817,0.0284689803949744,1,0.00010874264603701,0.0171382875571964,0.242843514381283,0.571841579501779,0.663673832863307,0.429004510607552,0.79583767057864,0.39250094766601,0.333533967958225,0.0767072605369828,0.906507100084435,0.0596574804363637,0.317230860907084,0.771322753647426,0.587169427638854,0.706917443388348,0.775999868324564,0.0616702846225891,0.292856805647859,0.0640468889115023,0.837360015396832,0.397202650443786,0.725138283873815,0.542954463027966
"FGF4",0.0212254629584794,0.909335187032756,0.0569045046493559,0.336093925139005,1,0.137945982151731,0.352442134114011,1.59467361620026e-08,0.868481892113632,0.120839332162772,0.290628779245981,7.26627602413009e-08,0.3762367618056,0.160326686649468,0.0117229846933603,1.06588606001751e-05,0.15517122494244,0.374989252165789,0.403887982361977,0.595863736405454,0.0634899416945661,0.148419530420058,0.00347309925111138,0.277906858346675,1,0.645404865615081,0.281227570145569,0.0786638941467109,0.00962758282495911,1,0.308035205884073,0.238388875042069,0.136775592374708,0.00137015616791866
"Fgfr",4.5067929055672e-05,0.469348684746166,0.0519460055052548,6.55567254171585e-07,0.603533695908068,0.163998792884239,1,1,0.793364431599785,0.131020707669057,0.138654577040017,0.09545206056837,0.888301525355252,0.0054679153760621,5.85770224028819e-07,3.0665625598497e-07,0.318697124500402,0.555912060203614,0.0235189731609522,0.319857890516095,0.569595467354885,0.18039666908724,0.0333500742127571,0.388255600338358,0.431072359146323,0.467423718093709,0.393148606973386,0.0513724409757237,0.0833101677842044,0.0415250368294692,0.0419466609996367,0.12975009501848,0.238542926835232,1
"Foxf",0.00150705330213575,1.00318305434368e-09,0.000615615220150532,2.81568277890817e-05,0.10182837501475,0.000585644046862021,0.0347324180389358,2.81841023025682e-42,0.778131341199079,0.0783283833127526,0.0708710950747431,0.0149831014150958,0.484164295805704,7.81118761175227e-05,3.02643489455845e-06,2.24867767360263e-43,0.000119856230894877,0.0633510091160729,0.00120911732007261,0.686692758207783,1.11717282399656e-05,2.41785136227495e-14,6.16735526207696e-08,0.417553564216719,0.454510301718881,0.122883745784152,0.107588178583678,0.00104918984985674,0.0499241256964062,0.723072427947367,9.60107599483407e-05,4.87799997931414e-07,0.27648030205478,0.330565748733939
"FZD",0.00388267775429011,0.216301527485329,0.433504034231181,0.0147200915056571,0.640421353228646,0.00122500979070811,0.0728537941797064,1.95917200724138e-07,0.3988431516136,0.381372987698428,6.85491695960409e-05,0.000840571280975947,0.797975351768829,0.0639717766565654,0.246628435971178,5.42389496919358e-05,3.35016239532038e-05,0.666670777766551,0.626900577395499,0.00110290276532618,0.253619086631954,0.000327084643713119,0.0019769766936319,0.198103362590634,0.904553816785518,0.868712050309235,1,0.0567974920833707,0.000559510677049383,0.822897025392308,0.0158720061009836,2.56188922532761e-08,0.353592102646643,0.15240140223239
"Gata",0.292273990832863,0.000680291384760735,0.237111509213251,0.132507929569104,0.34582135343029,5.2984915880718e-10,0.503956996266549,0.000125052404955971,0.904152538223925,0.532435794560153,0.699919427590053,6.38032128982586e-06,0.247138344523049,0.868279679587213,1,0.138143668347143,1,1.29685912205077e-07,0.01454606308914,0.243588386331785,0.0783973511353874,0.433213354612306,0.00019899596252154,0.436980276281908,0.0924007593510047,0.0451408860156727,0.799890256240886,0.165329908693451,0.000170534591045774,0.0372095159993673,0.854750807972057,0.000929553000627268,0.537638094197928,0.720077511721907
"Gna-L/S",1,6.24376405123113e-07,0.0260256407943991,0.00612241504096482,0.0898944268402234,0.227898216531431,0.352827659687581,1.53019853118934e-12,0.0818073001959905,0.519694885993231,0.275671711629075,0.456544622693884,0.186291869832121,0.493175721817227,0.023921695613524,0.000153473892043633,0.815045502328575,0.0955456253492309,2.59766017151579e-06,0.110125591566462,0.240151499510228,6.01287041592546e-06,0.101778742167952,0.00377545318864809,0.901782374653046,0.0101063784454129,0.790636559656997,1,0.172944007895676,0.64089319658401,0.345674897173779,0.585631743390689,0.874507515598364,0.465101618530459
