"","UMAP1","UMAP2"
"ADF.Cofilin.slide1_image11.2019_08_29",-3.1304578963246,-0.24108439936283
"ADF.Cofilin.slide1_image12_left.2019_08_29",2.64594309382144,-2.62420697342046
"ADF.Cofilin.slide1_image13.2019_08_29",-3.09247182424326,-1.02809943309057
"ADF.Cofilin.slide1_image14_right.2019_08_29",-2.88586398322688,3.26640232610156
"ADF.Cofilin.slide1_image18_left.2019_08_29",-3.05630539122438,2.23404559309226
"ADF.Cofilin.slide1_image2_left.2019_08_29",3.44032589123596,-3.29768047031545
"ADF.Cofilin.slide1_image2_right.2019_08_29",3.25134549888418,-2.97514227614629
"ADF.Cofilin.slide1_image20_right.2019_08_29",-3.21359416810208,2.93206324444202
"ADF.Cofilin.slide1_image21.2019_08_29",-2.94334187981801,2.27528939672712
"ADF.Cofilin.slide1_image23_left.2019_08_29",-3.53170853960248,-0.491491783993115
"ADF.Cofilin.slide1_image24.2019_08_29",3.81410894838786,-3.30914277751184
"ADF.Cofilin.slide1_image25_right.2019_08_29",-0.546500484301336,4.46530038047254
"ADF.Cofilin.slide1_image26_left.2019_08_29",4.44845740769424,-3.01690780130432
"ADF.Cofilin.slide1_image27.2019_08_29",-0.453944269912834,4.6044212487669
"ADF.Cofilin.slide1_image28_left.2019_08_29",-0.428207617705784,3.98759701595937
"ADF.Cofilin.slide1_image29.2019_08_29",-3.51386886247228,2.13482971081652
"ADF.Cofilin.slide1_image3.2019_08_29",-0.390153869861773,3.81701401683578
"ADF.Cofilin.slide1_image30.2019_08_29",-0.733288903216242,1.6953392578379
"ADF.Cofilin.slide1_image31.2019_08_29",3.91782597958438,-3.54519422105009
"ADF.Cofilin.slide1_image32.2019_08_29",-2.93140210091016,-0.720230201841523
"ADF.Cofilin.slide1_image34.2019_08_29",-0.637701050029053,3.41237373224168
"ADF.Cofilin.slide1_image35.2019_08_29",-2.43087769257167,0.661562498682241
"ADF.Cofilin.slide1_image36.2019_08_29",-3.85548982213948,0.890569127136842
"ADF.Cofilin.slide1_image37.2019_08_29",-2.31553139623369,0.832012350061408
"ADF.Cofilin.slide1_image38.2019_08_29",3.39019513794374,-3.2311577233881
"ADF.Cofilin.slide1_image39_left.2019_08_29",3.31392738615885,-3.23616577405993
"ADF.Cofilin.slide1_image39_right.2019_08_29",3.16786670131481,-2.80445051147339
"ADF.Cofilin.slide1_image4_left.2019_08_29",1.85688969310986,-8.03877787930742
"ADF.Cofilin.slide1_image41.2019_08_29",-0.680268169463871,3.47079194803468
"ADF.Cofilin.slide1_image44.2019_08_29",-0.489011553334116,3.24837475675687
"ADF.Cofilin.slide1_image45_left.2019_08_29",1.89990411478451,-8.0225053727189
"ADF.Cofilin.slide1_image47.2019_08_29",-3.11840436392457,3.67956193718202
"ADF.Cofilin.slide1_image48.2019_08_29",-3.43006650726468,-0.286075248875702
"ADF.Cofilin.slide1_image5_right.2019_08_29",-0.470383533583273,3.21835908491124
"ADF.Cofilin.slide1_image50.2019_08_29",-3.19940612618787,-0.94063779912451
"ADF.Cofilin.slide1_image51.2019_08_29",-3.10088667908944,-0.202891962056346
"ADF.Cofilin.slide1_image52_left.2019_08_29",-3.39295438458412,-0.43281802546633
"ADF.Cofilin.slide1_image52_right.2019_08_29",-2.56473175480448,-0.0730363602068085
"ADF.Cofilin.slide1_image53_right.2019_08_29",2.54618044616417,-2.73067782314612
"ADF.Cofilin.slide1_image9.2019_08_29",-3.45007380549957,-0.188082037537566
"ADF.Cofilin.slide2_image1_left.2019_08_29",3.79397813824076,-3.07179625641744
"ADF.Cofilin.slide2_image1_right.2019_08_29",3.0676614358378,-4.07252720870799
"ADF.Cofilin.slide2_image10.2019_08_29",-2.63720205165965,-0.121404642151592
"ADF.Cofilin.slide2_image11_left.2019_08_29",1.38598934224612,1.636796879849
"ADF.Cofilin.slide2_image13_right.2019_08_29",4.68756042652258,-2.98994358734229
"ADF.Cofilin.slide2_image15.2019_08_29",-3.64915946968449,3.29964728640044
"ADF.Cofilin.slide2_image16.2019_08_29",-0.224382810227719,4.23421852289236
"ADF.Cofilin.slide2_image17_left.2019_08_29",-3.37493084753586,-0.051406211145745
"ADF.Cofilin.slide2_image17_right.2019_08_29",-3.29136371929266,-0.245695805820904
"ADF.Cofilin.slide2_image18.2019_08_29",-3.4699323863193,-0.440596282809637
"ADF.Cofilin.slide2_image19.2019_08_29",4.8788626217084,-3.21668707714562
"ADF.Cofilin.slide2_image2_left.2019_08_29",-0.341003550643572,4.09640482828239
"ADF.Cofilin.slide2_image2_right.2019_08_29",-0.194046122151277,3.61255468774251
"ADF.Cofilin.slide2_image21.2019_08_29",-3.22545459361996,-0.181673495984625
"ADF.Cofilin.slide2_image22.2019_08_29",-2.74312432667394,0.132071393373019
"ADF.Cofilin.slide2_image23_left.2019_08_29",1.02003980944433,-1.020509533998
"ADF.Cofilin.slide2_image23_right.2019_08_29",-1.78462219493593,0.227506365924106
