"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"ATM.dist.mean_Nucleus",1,1,5.50735384085001e-07,1,NA,NA,1,0.000694711763472268,0.245813939815464,0.000202360508927662,1,0.347157836958285,0.239145519189041,1,9.93508441121471e-06
"TVC.dist.min_Nucleus",2.35835401283754e-52,0.00797282888162575,9.422083343109e-08,7.37230829784544e-06,0.0020930446063907,2.51663860586916e-22,0.000128191927939943,1,1,1,1,1,2.20154892614474e-17,0.0418148220863234,3.31164494567493e-07
"TVC.dist.max_Nucleus",8.62477210536758e-29,1.19495256695408e-66,3.91756053350222e-20,7.96046654364957e-41,1,2.95806847224391e-73,1.12575100684544e-05,1.45138530533963e-38,1.10933297341995e-23,1,0.00255076744376946,5.74613781132085e-06,1.00605643549273e-08,6.20304231589414e-06,6.19170076752156e-05
"TVC.dist.mean_Nucleus",3.28590555467492e-40,7.10115550898256e-37,9.12711297697304e-19,5.77609880454795e-07,1,1.79930091660929e-52,0.14719432508491,4.9002365316467e-23,6.4936733796035e-13,1,0.0941478300145256,0.00175852043168723,4.58126974355211e-12,2.63739945061078e-05,1.80931037497536e-06
"TVC.dist.sd_Nucleus",2.87782713167294e-17,5.26384963475817e-67,4.44364337249229e-23,2.92412764107783e-108,0.0177138656128569,1.42231678447468e-53,0.966379598794646,2.41238236501528e-47,6.7509796879243e-54,1,0.00368046087980326,0.000974567286181277,0.000279354890200898,0.00046370066410695,0.000468854738607175
"TVC.ATM.dist.min_Nucleus",6.00538533786766e-11,1,2.04234572109342e-11,1,1.05228060163742e-33,1,5.45864203803632e-11,1,0.000188803999320784,4.72993976833084e-07,2.3488873584508e-09,5.73588519792997e-11,3.56843711516119e-07,0.0184570246719405,0.0530817567412486
"TVC.ATM.dist.max_Nucleus",NA,NA,NA,NA,NA,5.79671299427183e-51,NA,NA,NA,1,NA,NA,NA,NA,NA
"TVC.ATM.dist.mean_Nucleus",1.64401772075405e-11,0.972688289410391,2.44209934852958e-11,1,1.73414560532268e-35,1,1.19149211549037e-17,1,0.00471426906687325,7.87714745374987e-07,1.0599118198858e-10,4.75163531970116e-08,9.06475643949035e-07,0.160402898919128,0.195068669823032
"TVC.ATM.dist.sd_Nucleus",0.0674179322248378,1,0.0494993417933598,1,3.13438152722518e-33,1,1.01020007534281e-13,1,1,5.3885614353156e-05,0.000322162935327784,9.673702632093e-05,3.65205892079334e-05,0.00695899730469161,0.00118541844459651
"TVC.cosine.min_Nucleus",3.16018476053808e-42,1.44566904657774e-77,0.00114460414237474,3.94054358502434e-14,0.00215131110756422,2.04566095144629e-27,5.15218729608529e-28,1.18861212961942e-09,4.15799125673379e-11,1,9.75917929178975e-14,2.18396635684602e-13,5.07184768284146e-15,0.32662811666624,0.132948301100624
"TVC.cosine.max_Nucleus",1.29263520100125e-58,4.92035315653032e-43,0.0431547220421021,5.90002640543529e-11,0.00384955875216846,8.46510052011255e-34,1.78656858466596e-39,1.35049702688374e-13,1.871337295408e-07,1,2.24373747217008e-26,9.90373326486016e-18,3.9671365359475e-22,0.722626049623689,3.82554232403943e-05
"TVC.cosine.sd_Nucleus",4.33983484420425e-23,2.12264413445881e-42,1.58082506152136e-06,2.69331758152767e-21,0.110442323973055,4.85333476660372e-08,1,3.85035310418358e-25,1.61407658771237e-05,1,4.89156276447e-06,0.000123690241602077,1.02816356689854e-09,1,0.225587748150137
"ATM.Nucleus.Dist.to.Cell.Membrane.min",1.8736674480748e-05,1,1.11837070704832e-08,0.0079464164944313,4.11527108714388e-07,1,1.4103907057129e-05,6.68771209384521e-10,0.000400719068938376,1,1,0.0268139389435987,6.03827718741661e-06,1,0.105619438251967
"ATM.Nucleus.Dist.to.Cell.Membrane.max",1.94932671856851e-08,1,1,0.020099878674672,1,0.341798806340744,1,1,1,1,1,0.00475394138127466,1.14772334982409e-07,1,0.00274605758062601
"ATM.Nucleus.Dist.to.Cell.Membrane.mean",2.90610737944058e-07,1,0.00571804293658949,0.00874391611623339,0.0171384140020697,1,0.0148817252695132,0.000978908418406588,0.333370365210656,1,1,0.00865963980986005,3.95005311794999e-07,1,0.0137829461427763
"ATM.Nucleus.Dist.to.Cell.Membrane.SD",3.65737538246221e-05,1,0.0111987599861719,1,NA,NA,1.2498780856009e-08,0.15759060982986,1,1,1.28823813762248e-17,1,0.0712552366732888,1,0.00118638407939198
"TVC.Nucleus.Dist.to.Cell.Membrane.min",6.14197526734113e-40,1.4516691538837e-11,1.27029645018595e-12,3.78526696604337e-07,0.153730026388512,2.39489935309193e-22,1,4.8942953526799e-07,1,1,1,1,4.28390152833564e-20,1.09086690616975e-06,4.22068326466214e-08
"TVC.Nucleus.Dist.to.Cell.Membrane.max",1.09921642135001e-43,1.86225315989656e-07,5.4489413113904e-15,1,0.156170820683678,2.06437001444121e-25,0.338673345584052,4.73844642336208e-18,2.07371864047445e-12,1,1,1,3.12889724191219e-21,3.97820932465622e-06,9.19995055630248e-07
"TVC.Nucleus.Dist.to.Cell.Membrane.mean",1.69099298857973e-47,3.19794479431902e-09,4.93188656733386e-15,0.00994434308161343,1,3.54032968465268e-26,1,5.51412478899762e-13,0.00031458468382667,1,1,1,1.82542024975956e-21,5.49570761053918e-07,2.22312410244777e-08
"TVC.Nucleus.Dist.to.Cell.Membrane.SD",3.26229533723682e-22,1,3.60937438190061e-06,0.0296903680847351,0.0408061053352719,1.24347273922044e-14,1,0.000106768945993262,0.473297624633552,1,1,1,2.56686409160786e-14,1,0.295009920290641
"ATM.dist.mean_Cell",1,0.682251928221988,6.00788135099062e-12,1,NA,NA,1,2.19845813805717e-05,0.917148044377496,0.00190859730316924,1,0.373904557957741,0.0626981284370222,1,1.35695182503254e-05
"TVC.dist.min_Cell",6.65264116838917e-60,0.0161343271654752,1.04324067327582e-09,9.69555008133309e-06,0.31621719499726,4.95671202858701e-24,0.0162182574626637,8.84017388017256e-07,1,1,1,1,2.33057722515247e-19,0.00312646048070133,2.45320843854658e-07
"TVC.dist.max_Cell",5.22153966970128e-33,2.34563534506625e-61,1.58722528969663e-20,4.65229141790609e-40,0.108757510639687,2.50456614843366e-72,9.71481339111743e-07,2.05040310226706e-41,8.15984008092589e-24,1,0.000155101692527968,4.16960695922341e-07,4.81278939537889e-08,4.55456836768678e-06,2.39655669947815e-05
"TVC.dist.mean_Cell",5.97687088237964e-47,3.66252848870393e-31,1.56124598285312e-20,1.51625889078248e-05,1,2.25555092346482e-51,0.0630666158693786,5.54140252609875e-30,1.37378034760587e-14,1,0.020592642004,0.00021366808987482,4.22186502856938e-12,8.31403075087978e-06,7.66611245609119e-07
"TVC.dist.sd_Cell",7.78746714918454e-20,3.80910813385348e-73,2.64437417950574e-23,1.85378141783835e-79,0.71250092402765,8.44263843228377e-53,0.0861610191375862,2.98072223305607e-47,6.61320877302906e-62,1,0.000121874620068709,0.000201128816396138,0.00396424467639539,0.000112422445272264,0.000318606117905285
"TVC.ATM.dist.min_Cell",2.40449574597683e-15,1,1.34650614768953e-11,1,3.94693499472086e-35,1,6.76979962881552e-13,1,0.000335081855663688,2.02350568517427e-07,8.45923287189029e-13,3.950379475069e-12,5.14843273768384e-09,0.0168395416861019,0.0243264822212735
"TVC.ATM.dist.max_Cell",NA,NA,NA,NA,NA,5.79671299427183e-51,NA,NA,NA,1,NA,NA,NA,NA,NA
"TVC.ATM.dist.mean_Cell",3.44354198004894e-17,1,1.62789092678757e-12,1,2.1251770975099e-38,1,8.16730235331931e-19,0.0924804450335417,0.0117283173951221,5.8870190803254e-07,4.18051726451824e-14,8.6950254834568e-08,9.47204849626704e-09,0.107304195616083,0.15248564827203
"TVC.ATM.dist.sd_Cell",0.00049391195275412,1,0.275028614220715,1,7.59115221422639e-34,1,1.90002900415285e-15,0.32017548596511,1,3.27581833597647e-05,1.08702752630971e-05,7.49731221061376e-05,3.95005311794999e-07,0.0265185979908173,0.000485379035616571
"TVC.cosine.min_Cell",2.90660910124701e-43,7.8757099931906e-87,1.7906524953661e-05,8.96917222204469e-14,0.00414189021405436,1.99372957621586e-26,2.72088584599118e-35,3.3257224911993e-16,1.52039917934044e-15,1,8.1773354805453e-15,1.80052493734078e-14,8.44141831685863e-13,0.268462295638909,0.759876985616865
"TVC.cosine.max_Cell",7.25888365351093e-51,6.52344768058944e-56,0.0085955101556795,3.51005825148901e-10,0.0123451519642585,1.85648737492748e-31,5.9455766590294e-42,6.49332058403406e-12,4.23658186535104e-08,1,4.60690151638087e-23,1.81024541167467e-16,4.44901513700848e-19,0.42685409171038,0.0762707922163968
"TVC.cosine.sd_Cell",4.48198843081472e-22,5.50982083458569e-54,3.97112837363453e-05,1.14824184919066e-23,0.53644399131408,2.03796417941538e-07,0.142725749505059,4.01259105340879e-23,6.57069789097742e-08,1,1.39629675415198e-06,4.08257665946976e-05,4.60308625528398e-08,1,0.759876985616865
"ATM.Cell.Ellipticity..oblate..min",1,1,0.0120075257959648,1.55360542062369e-05,0.0328676881215639,1,9.71481339111743e-07,1,1,1,0.0137795338512415,0.0119511361540472,1,1,0.0243264822212735
"ATM.Cell.Ellipticity..oblate..max",0.000522610423248225,1,5.9295176417663e-29,5.78362642072222e-05,3.4433204074643e-19,0.000137530408757967,8.7319544711964e-22,6.81927894312056e-16,0.0214081014112957,1,8.91590980584892e-14,0.000493698345695631,0.0352121982592881,1,0.0441692436451234
"ATM.Cell.Ellipticity..oblate..mean",0.112658665027918,1,4.73990753411412e-21,1.85935172142448e-06,5.95169499826451e-10,0.113739595159968,3.78743676884763e-15,1.28807101417483e-08,0.109774277676499,1,3.11888995420322e-08,0.000276241064240614,0.321297645809478,1,0.0169332933628532
"ATM.Cell.Ellipticity..oblate..SD",1.00068922796664e-15,1,5.55922656604947e-08,1,NA,NA,7.16164795265345e-24,1.44734491313352e-05,1,1,1.32500858682661e-11,1,0.00259168029299463,1,1
"ATM.Cell.Ellipticity..prolate..min",0.0152880091979109,1,8.55043806763903e-22,0.23657044614181,4.91014945417718e-11,0.196185026230807,1.83688133693153e-14,2.35411318294904e-11,0.0178437267619682,0.926303803361787,1.41753874568591e-06,0.70848062439609,0.8833923497665,1,0.481870159123574
"ATM.Cell.Ellipticity..prolate..max",1,1,1,0.263100989220564,1,1,0.525567319759753,1,1,1,1,0.805624097422802,0.607813863652169,1,0.225587748150137
"ATM.Cell.Ellipticity..prolate..mean",0.567726517756201,1,6.21556125101812e-10,0.101181781274362,0.00184542396276898,1,3.81937158007848e-07,0.000954723629313565,1,1,0.0384825122532257,0.425762560983425,0.384816809535091,1,0.212866072370491
"ATM.Cell.Ellipticity..prolate..SD",2.67942168053637e-11,1,1.69820372189906e-10,1,NA,NA,4.27691601039973e-31,0.0044905972751105,1,0.602892568515192,2.82581691646239e-12,1,1,1,1
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.min",1.70141250860146e-07,1,1,0.104314083526869,1,1,3.28866425008789e-09,0.16742691499244,1,1,1,1,2.49800532792747e-05,1,1
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.max",1.89540098748303e-16,0.158399873950714,1.65916144414009e-10,0.00953483371210062,6.01799938540872e-20,0.000610913937604139,0.00387308198237756,1.79065135282168e-05,1,1,0.0129584528726836,1,3.89354030383488e-06,1,1
