"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"ATM.dist.mean_Nucleus",1,1,8.79023040721813e-07,1,NA,NA,8.27608990659384e-10,0.00419086854699346,0.322690519332776,0.00140858895403928,1.98121008808692e-09,0.723137796771116,0.186217057081629,0.629717409610748,0.003387451171875
"TVC.dist.min_Nucleus",1.50344492107461e-19,0.00105135425050068,3.84120988803275e-08,9.47206711559287e-05,0.000988256749585996,6.6242845937886e-14,8.58777563988302e-05,0.917017692689135,1,1,1,1,8.42426370417863e-08,0.0150420600548386,0.003387451171875
"TVC.dist.max_Nucleus",5.30908467956321e-17,1.46323773051363e-18,4.61558769786991e-14,2.1029285300368e-17,1,2.9700767267766e-18,1.87334079713227e-05,2.55712861649492e-12,6.52597457468315e-12,0.0619086805884105,0.0026561855735407,2.10189559112849e-05,5.23750266500362e-06,7.30957835912704e-05,0.00604248046875
"TVC.dist.mean_Nucleus",4.61126357431153e-19,1.95913421234963e-17,1.91233753854051e-13,3.71387945925914e-07,1,9.33293262391735e-15,0.785872165014718,5.44738180031572e-12,1.24760351612619e-09,0.376174222640912,0.428623412266386,0.00432744788240902,1.53838866415732e-06,0.000118614174425602,0.003387451171875
"TVC.dist.sd_Nucleus",2.12872128190367e-12,1.46323773051363e-18,9.65789296162322e-15,2.76323640388651e-23,0.00501919878623553,9.33293262391735e-15,1,1.17271531690122e-15,7.86335989279217e-15,0.0015236940994096,0.0313112406309301,0.000288641337586784,5.19739277897687e-05,0.00698011179338767,0.008697509765625
"TVC.ATM.dist.min_Nucleus",4.11923910068657e-10,1,2.98323547055394e-09,0.343003434106408,6.2602168354908e-16,3.06967119102316e-09,5.90313216666172e-08,1,0.000435608270157284,2.04798976423169e-05,8.74176049906968e-07,2.06533898825669e-07,3.4000455503462e-06,0.0126695996150374,0.018798828125
"TVC.ATM.dist.max_Nucleus",NA,NA,NA,NA,NA,2.9700767267766e-18,NA,NA,NA,1.22892659507392e-06,NA,NA,NA,NA,NA
"TVC.ATM.dist.mean_Nucleus",1.92970125351415e-10,0.975159950258498,2.01360069152702e-09,0.23249449185129,5.45750964234691e-16,1.96775346767524e-11,4.29346487385865e-11,1,0.00740490660176394,1.84505736542654e-05,4.09120978999311e-07,5.91683597104689e-06,7.1451643741864e-06,0.159532357938588,0.196044921875
"TVC.ATM.dist.sd_Nucleus",0.179053803912469,1,0.171966242161363,1,1.13688992670453e-15,1.99945623303318e-11,1.64814118243945e-09,1,1,0.000658087208177002,0.000145549486788769,0.000556397666505647,3.42086325452752e-05,0.00709860026836394,0.003387451171875
"TVC.cosine.min_Nucleus",8.12929251934738e-19,1.46323773051363e-18,0.00358400961191581,2.76323640388651e-23,7.09108111805208e-05,7.17542259537314e-12,1.59263676041571e-12,4.17263009277185e-14,2.62490110441711e-13,1,5.1795950239311e-08,6.09621777613464e-07,6.00304596139478e-07,0.259613797715136,0.63720703125
"TVC.cosine.max_Nucleus",2.00346342652116e-19,1.46323773051363e-18,0.269076813946518,2.76323640388651e-23,7.09284377466735e-07,3.68726907678975e-13,3.41116766114053e-13,4.29149394729104e-14,2.62490110441711e-13,1,1.67665656640039e-09,5.76444415244894e-08,4.87481548085597e-08,1,0.00604248046875
"TVC.cosine.sd_Nucleus",1.26630207228471e-17,2.65259427155404e-18,5.03291734134066e-07,1.18252312103425e-21,0.211185251038955,6.49010776677925e-08,1,1.17271531690122e-15,9.18319590429962e-12,1,2.97142085894553e-05,4.72541519229695e-05,8.42426370417863e-08,1,0.355865478515625
"ATM.Nucleus.Dist.to.Cell.Membrane.min",3.86624979237335e-05,1,9.48291615203988e-08,0.0255040145729009,3.07972577491767e-07,1.96775346767524e-11,1.88905241114004e-05,8.00400892784366e-08,0.000388314844527372,1,1,0.208970454736572,5.04674172127818e-05,1,0.162353515625
"ATM.Nucleus.Dist.to.Cell.Membrane.max",3.17605327733116e-07,1,1,0.0929124321390806,1,1.96775346767524e-11,1,1,1,1,0.428623412266386,0.019439760858481,1.18464606469982e-05,1,0.018798828125
"ATM.Nucleus.Dist.to.Cell.Membrane.mean",1.46072642067643e-06,1,0.00235613949872125,0.0352424216592864,0.0307614454100139,1.96775346767524e-11,0.0639075068624628,0.000422608816301825,0.0636668702723413,1,1,0.0388972449231723,2.37600716940332e-05,1,0.0487060546875
"ATM.Nucleus.Dist.to.Cell.Membrane.SD",3.22338901699364e-07,0.0472873510149863,0.240525774595772,0.562257509673085,NA,NA,2.76790687657535e-15,0.976864678220991,1,1,6.88010233177326e-11,1,0.00179703333610278,1,0.014190673828125
"TVC.Nucleus.Dist.to.Cell.Membrane.min",4.32901537877815e-19,2.03555232486695e-09,4.42847343279323e-10,1.27655699960351e-06,0.00550369061746635,5.81639193114992e-14,1,9.63741522748704e-07,1,1,1,1,6.51362483768621e-08,3.08789312839508e-05,0.003387451171875
"TVC.Nucleus.Dist.to.Cell.Membrane.max",1.94605028986095e-19,7.21693806992674e-08,1.82240669603653e-11,1,0.52457055083135,1.7481185355865e-14,1,3.30753089355132e-10,1.93465620734957e-08,1,1,1,4.87481548085597e-08,6.25848770141601e-05,0.003387451171875
"TVC.Nucleus.Dist.to.Cell.Membrane.mean",1.50344492107461e-19,7.50414126285524e-09,1.96635868234093e-11,0.128210031947372,1,2.24210441347217e-14,1,1.24042713350804e-08,3.46297126214617e-05,1,1,1,4.87481548085597e-08,7.10599124431609e-06,0.003387451171875
"TVC.Nucleus.Dist.to.Cell.Membrane.SD",2.52932382658678e-14,1,1.23109743068448e-05,0.00098919341009207,0.23545802927868,5.58466193877159e-12,1,1.28957060672938e-05,0.0450455650278969,1,1,1,1.89304190823614e-07,1,0.5511474609375
"ATM.dist.mean_Cell",1,0.718009194488329,1.70176375724246e-10,1,NA,NA,5.02886920152092e-11,0.000264149703917946,0.916343780675143,0.00449353367845989,1.98121008808692e-09,0.322756527350384,0.0153183072663329,1,0.003387451171875
"TVC.dist.min_Cell",1.50344492107461e-19,0.000395957352344845,1.28286682739871e-08,0.00016381573764096,0.0540567170993213,3.97908824147865e-14,0.00476714339073777,1.13907288916751e-05,1,1,1,1,5.86048238740228e-08,0.00441958010196685,0.003387451171875
"TVC.dist.max_Cell",1.37644730343144e-17,1.56224091617596e-18,3.57058054367507e-14,1.97907185769536e-17,0.376068344648647,2.9700767267766e-18,1.62057920148078e-06,2.55712861649492e-12,6.52597457468315e-12,0.037126910923476,0.000110738102186937,4.77898890460976e-06,1.14544154536787e-05,7.30957835912704e-05,0.00604248046875
"TVC.dist.mean_Cell",1.94605028986095e-19,7.45995302090811e-16,4.61558769786991e-14,1.3636454718058e-05,1,9.33293262391735e-15,0.28969467440865,2.58148203254371e-12,1.60356782860775e-09,0.325676601470369,0.127244418425293,0.000432290851443599,1.47812105394181e-06,5.2914023399353e-05,0.003387451171875
"TVC.dist.sd_Cell",1.06585508546813e-13,1.46323773051363e-18,5.23275628058971e-15,2.76323640388651e-23,0.781074105871672,9.33293262391735e-15,0.495976105515628,1.17271531690122e-15,7.86335989279217e-15,0.00322868841353728,0.000381715617500778,4.58071212521178e-05,0.000971682021829662,0.00526322999164137,0.014190673828125
"TVC.ATM.dist.min_Cell",2.32464551232407e-13,1,2.06905650903896e-09,0.40529768321606,3.67763448931176e-16,3.06967119102316e-09,5.72433993309988e-09,1,0.000364157127591011,1.34499749545047e-05,1.34469567737238e-08,1.98459450926029e-07,4.14848092567394e-07,0.0116072595119476,0.014190673828125
"TVC.ATM.dist.max_Cell",NA,NA,NA,NA,NA,2.9700767267766e-18,NA,NA,NA,1.83260452558274e-05,NA,NA,NA,NA,NA
"TVC.ATM.dist.mean_Cell",8.04102521060271e-14,1,2.96037132541011e-10,0.310741303915881,3.39841487424754e-16,1.9420009094385e-11,2.39710480974244e-11,0.114950821147024,0.0106582229456703,1.74149576106881e-05,1.53232651325198e-08,5.91683597104689e-06,8.10026524589393e-07,0.113057167269289,0.162353515625
"TVC.ATM.dist.sd_Cell",0.00101273116820456,1,0.692198092959831,1,4.75583064373733e-16,3.06967119102316e-09,4.13429290279256e-10,0.330390653689085,1,0.000351345392973327,9.14601840939012e-05,0.000342349446543315,7.40451597303288e-06,0.0272335410118103,0.008697509765625
"TVC.cosine.min_Cell",6.27799035041109e-19,1.46323773051363e-18,6.21295562346874e-05,2.76323640388651e-23,0.000354849330557902,2.82201614443753e-11,3.59461096465675e-13,1.19927736449047e-15,2.70491648213948e-13,1,4.7793125383807e-08,3.29863740728829e-07,9.9128233683339e-07,0.503149491603384,0.93072509765625
"TVC.cosine.max_Cell",1.91764301870988e-19,1.46323773051363e-18,0.0246488463939023,2.76323640388651e-23,1.85565396185586e-05,4.37685888024862e-13,3.32238404869612e-13,4.01793306170904e-14,2.70491648213948e-13,1,2.18435150680641e-09,2.48807808902819e-07,1.23368665879274e-07,0.608882852374046,0.40863037109375
"TVC.cosine.sd_Cell",2.42546035574124e-17,1.63035795109901e-18,5.40600858401698e-07,2.76323640388651e-23,1,3.52022923965737e-08,0.28896630862476,4.17263009277185e-14,1.14206198647326e-11,1,1.19696053895593e-06,2.17127060372523e-05,2.3399822182716e-07,1,0.63720703125
"ATM.Cell.Ellipticity..oblate..min",1,1,0.0361815466029268,8.77486827605505e-05,0.000173536651934247,5.69797945502905e-14,1.1880272462984e-05,1,1,0.294341876877171,0.00876375418353141,0.0351212323506341,1,1,0.00604248046875
"ATM.Cell.Ellipticity..oblate..max",3.83575668497666e-05,1,4.38819514871921e-17,0.000137370447059168,7.31286770750564e-11,8.70768748664525e-17,2.45223111597292e-11,1.20971110329634e-10,0.0394712202837151,1,7.36763833136635e-08,0.00172773029667579,0.0562625185531675,1,0.063323974609375
