"Row.names","Date","EP.experimentator...Imaging.acquisition","Condition","ID.embryo","Cell.Segmentation","Threshold.nuclei","Threshold.membrane","Surface.Segmentation","Threshold.surface","Merged.cells.to.get.new.surface.information.from.cell.segmentation","Shortest.distance.between.ATM.group.to.TVC.group..from.edge.to.edge..µm","Comment.on.the.distance","Comment.on.the.embryo","Comment.detailed","Details.phenotype","Quality.of.segmentation.based.on.labelling..good..correct..not.good.","Comments","Name","Phenotype","migration.perturbed","division.perturbed","orientation.perturbed"
"ADF.Cofilin.slide1_image1_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image1_left","yes",83.5,23.8,"-","-","yes","21.9","-","look like WT","look like WT","all look like WT","correct","","ADF.Cofilin.slide1_image1_left.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image1_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image1_right","yes",83.5,23.8,"-","-","yes","27.1","-","look like WT","look like WT","all look like WT","correct","","ADF.Cofilin.slide1_image1_right.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image10.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image10","yes",104,25,"-","-","yes","13.2","-","problem disposition TVC","problem disposition TVC","the TVC-FHP pairs are separated in the trunk","good","","ADF.Cofilin.slide1_image10.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image14_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image14_left","yes",82.1,13.5,"-","-","yes","26.6","-","look like WT","look like WT","all look like WT","correct","","ADF.Cofilin.slide1_image14_left.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image15.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image15","yes",104,19.2,"-","-","yes","21.2","-","look like WT","look like WT","all look like WT","correct","","ADF.Cofilin.slide1_image15.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image16.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image16","yes",100,30.5,"-","-","yes","37.9","-","look like WT","look like WT","all look like WT","correct","","ADF.Cofilin.slide1_image16.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image17_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image17_left","yes",77.6,17.5,"-","-","yes","53.3","-","look like WT","look like WT","all look like WT","good","","ADF.Cofilin.slide1_image17_left.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image17_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image17_right","yes",81.4,26.3,"-","-","yes","37.4","-","look like WT","look like WT","all look like WT","good","","ADF.Cofilin.slide1_image17_right.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image18_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image18_right","yes",82.8,19.4,"-","-","yes","52.3","-","look like WT","look like WT","all look like WT","correct","","ADF.Cofilin.slide1_image18_right.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image19_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image19_left","yes",68.4,11.1,"-","-","yes","38.3","-","look like WT","look like WT","all look like WT","not good","ambiguous left-right phenotype","ADF.Cofilin.slide1_image19_left.2019_08_29","WT",FALSE,FALSE,FALSE
