"","sample","cluster","sil_width","n_neighbors","n_intra_cluster","frac_intra","mean_intra_dist"
"1","ADF.Cofilin.slide1_image1_left.2019_08_29",1,-0.000218267423534907,14,12,0.857142857142857,1.75768622133399
"2","ADF.Cofilin.slide1_image1_right.2019_08_29",1,-0.0873311983083841,23,13,0.565217391304348,1.52963050043403
"3","ADF.Cofilin.slide1_image10.2019_08_29",2,0.0608107502340879,30,26,0.866666666666667,1.39643304895505
"4","ADF.Cofilin.slide1_image11.2019_08_29",6,0.344778812113949,16,16,1,1.22556971142329
"5","ADF.Cofilin.slide1_image12_left.2019_08_29",4,-0.081507819787443,21,10,0.476190476190476,1.32412987890034
"6","ADF.Cofilin.slide1_image13.2019_08_29",6,0.21852578959388,17,16,0.941176470588235,1.3410259318854
"7","ADF.Cofilin.slide1_image14_left.2019_08_29",3,0.139273394141416,23,18,0.782608695652174,1.25741193810886
"8","ADF.Cofilin.slide1_image14_right.2019_08_29",5,0.160206715234132,18,10,0.555555555555556,1.22012701461327
"9","ADF.Cofilin.slide1_image15.2019_08_29",2,0.0610246892210464,14,13,0.928571428571429,1.53979541577945
"10","ADF.Cofilin.slide1_image16.2019_08_29",1,-0.0261277895485279,28,17,0.607142857142857,1.45156708886766
"11","ADF.Cofilin.slide1_image17_left.2019_08_29",1,-0.0139528893167098,20,12,0.6,1.38038464177988
"12","ADF.Cofilin.slide1_image17_right.2019_08_29",2,0.113660836189436,21,20,0.952380952380952,1.46450280413876
"13","ADF.Cofilin.slide1_image18_left.2019_08_29",5,0.033582736363861,14,14,1,1.38437048733555
"14","ADF.Cofilin.slide1_image18_right.2019_08_29",1,-0.0289463664074501,23,20,0.869565217391304,1.40878993136181
"15","ADF.Cofilin.slide1_image19_left.2019_08_29",3,0.0672904770363655,15,8,0.533333333333333,1.55508245797379
"16","ADF.Cofilin.slide1_image19_right.2019_08_29",2,0.0986161026572836,19,18,0.947368421052632,1.44673600247999
"17","ADF.Cofilin.slide1_image2_left.2019_08_29",4,0.0903283194044116,14,11,0.785714285714286,1.40121895688603
"18","ADF.Cofilin.slide1_image2_right.2019_08_29",4,0.131343665268209,19,16,0.842105263157895,1.29778581162621
"19","ADF.Cofilin.slide1_image20_left.2019_08_29",2,-0.0591413183016377,14,7,0.5,1.78886580068558
"20","ADF.Cofilin.slide1_image20_right.2019_08_29",5,0.313960914863847,23,22,0.956521739130435,1.1520520622757
"21","ADF.Cofilin.slide1_image21.2019_08_29",5,0.0603203617777648,17,15,0.882352941176471,1.41608320126199
"22","ADF.Cofilin.slide1_image23_left.2019_08_29",6,0.337946979103821,21,21,1,1.21751244561326
"23","ADF.Cofilin.slide1_image24.2019_08_29",4,0.206785857428934,21,20,0.952380952380952,1.29763737169671
"24","ADF.Cofilin.slide1_image25_left.2019_08_29",2,0.0282074732323933,15,7,0.466666666666667,1.65747672709331
"25","ADF.Cofilin.slide1_image25_right.2019_08_29",7,0.180706717904862,20,17,0.85,1.25625706398405
"26","ADF.Cofilin.slide1_image26_left.2019_08_29",4,0.116806322372585,18,17,0.944444444444444,1.39505340117685
"27","ADF.Cofilin.slide1_image27.2019_08_29",7,0.16770374840885,18,17,0.944444444444444,1.28111039300332
"28","ADF.Cofilin.slide1_image28_left.2019_08_29",3,-0.0287807446756383,29,17,0.586206896551724,1.30156201697218
"29","ADF.Cofilin.slide1_image28_right.2019_08_29",3,0.164658288111409,20,20,1,1.40970241040572
"30","ADF.Cofilin.slide1_image29.2019_08_29",5,0.0900567170878742,15,11,0.733333333333333,1.42958627755069
"31","ADF.Cofilin.slide1_image3.2019_08_29",7,0.186304186766554,27,21,0.777777777777778,1.21360022297928
"32","ADF.Cofilin.slide1_image30.2019_08_29",2,0.00744298235523242,68,39,0.573529411764706,1.15930928612514
"33","ADF.Cofilin.slide1_image31.2019_08_29",4,0.122145213900388,14,14,1,1.45625641228782
"34","ADF.Cofilin.slide1_image32.2019_08_29",6,0.214478366126851,22,18,0.818181818181818,1.23542213719878
"35","ADF.Cofilin.slide1_image34.2019_08_29",3,-0.0991193673375591,14,7,0.5,1.59166154896252
"36","ADF.Cofilin.slide1_image35.2019_08_29",6,0.268056931699903,31,29,0.935483870967742,1.06766298737917
"37","ADF.Cofilin.slide1_image36.2019_08_29",6,0.142147544393543,22,19,0.863636363636364,1.19251863726071
"38","ADF.Cofilin.slide1_image37.2019_08_29",6,0.171496010372272,23,17,0.739130434782609,1.15573725520056
"39","ADF.Cofilin.slide1_image38.2019_08_29",4,-0.100375058470902,19,19,1,1.30236999510407
"40","ADF.Cofilin.slide1_image39_left.2019_08_29",4,0.0802950387721611,17,12,0.705882352941177,1.3485331475608
"41","ADF.Cofilin.slide1_image39_right.2019_08_29",4,0.141697541498324,25,18,0.72,1.27173650543586
"42","ADF.Cofilin.slide1_image4_left.2019_08_29",8,0.458373535906832,16,16,1,0.82564019016426
"43","ADF.Cofilin.slide1_image4_right.2019_08_29",2,-0.0380607338346929,20,11,0.55,1.54424930420207
"44","ADF.Cofilin.slide1_image40_left.2019_08_29",1,-0.0233905828222091,16,15,0.9375,1.63557898950952
"45","ADF.Cofilin.slide1_image40_right.2019_08_29",3,-0.0640038872869064,21,11,0.523809523809524,1.6170450163089
"46","ADF.Cofilin.slide1_image41.2019_08_29",7,0.153674686756101,28,14,0.5,1.1974615389109
"47","ADF.Cofilin.slide1_image43.2019_08_29",2,-0.0295205741765003,15,14,0.933333333333333,1.53215264714744
"48","ADF.Cofilin.slide1_image44.2019_08_29",7,0.083171462959977,27,15,0.555555555555556,1.21419728475421
"49","ADF.Cofilin.slide1_image45_left.2019_08_29",8,0.497542640588291,19,18,0.947368421052632,0.781782902767314
"50","ADF.Cofilin.slide1_image45_right.2019_08_29",2,-0.054804074253209,27,17,0.62962962962963,1.50721559686913
"51","ADF.Cofilin.slide1_image46.2019_08_29",2,0.114192932027322,14,14,1,1.60739543588797
"52","ADF.Cofilin.slide1_image47.2019_08_29",5,0.204968129653251,19,14,0.736842105263158,1.27686601987936
"53","ADF.Cofilin.slide1_image48.2019_08_29",6,0.328188759325318,31,30,0.967741935483871,1.05907321008233
"54","ADF.Cofilin.slide1_image49.2019_08_29",2,0.0577233997662303,28,23,0.821428571428571,1.37014515640566
"55","ADF.Cofilin.slide1_image5_right.2019_08_29",7,0.0751502867234434,30,15,0.5,1.18370206971828
"56","ADF.Cofilin.slide1_image50.2019_08_29",6,0.210033512674524,15,14,0.933333333333333,1.40490281528126
