"Row.names","Condition","Phenotype","migration.perturbed","orientation.perturbed","division.perturbed"
"Depdc.image1_left.2020_06_17","Depdc","migration/division perturbed",TRUE,FALSE,TRUE
"Depdc.image1_right.2020_06_17","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.image1.2020_01_10","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.image1.2020_06_17","Depdc","migration/orientation perturbed",TRUE,TRUE,FALSE
"Depdc.image10.2020_01_10","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.image11_left.2020_01_10","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.image11_right.2020_01_10","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.image12.2020_01_10","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.image13.2020_01_10","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.image14_left.2020_01_10","Depdc","migration/division perturbed",TRUE,FALSE,TRUE
"Depdc.image14_right.2020_01_10","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.image15_left.2020_01_10","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.image15_right.2020_01_10","Depdc","migration/division perturbed",TRUE,FALSE,TRUE
"Depdc.image16_left.2020_01_10","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.image16_right.2020_01_10","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.image17_left.2020_01_10","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.image17_right.2020_01_10","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.image18_left.2020_01_10","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.image18_right.2020_01_10","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.image19_left.2020_01_10","Depdc","migration/division perturbed",TRUE,FALSE,TRUE
"Depdc.image19_right.2020_01_10","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.image2_left.2020_01_10","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.image2_left.2020_06_17","Depdc","division perturbed",FALSE,FALSE,TRUE
"Depdc.image2_right.2020_01_10","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.image2_right.2020_06_17","Depdc","division/orientation perturbed",FALSE,TRUE,TRUE
"Depdc.image2.2020_06_17","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.image20_left.2020_01_10","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.image20_right.2020_01_10","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.image21.2020_01_10","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.image22_left.2020_01_10","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.image22_right.2020_01_10","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.image3_right.2020_06_17","Depdc","migration/division perturbed",TRUE,FALSE,TRUE
"Depdc.image3.2020_01_10","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.image3.2020_06_17","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.image4_left.2020_06_17","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.image4_right.2020_06_17","Depdc","migration perturbed",TRUE,FALSE,FALSE
"Depdc.image4.2020_01_10","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.image5_left.2020_01_10","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.image5_right.2020_01_10","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.image5.2020_06_17","Depdc","migration/division/orientation perturbed",TRUE,TRUE,TRUE
"Depdc.image6_left.2020_06_17","Depdc","migration/division/orientation perturbed",TRUE,TRUE,TRUE
"Depdc.image6_right.2020_06_17","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.image6.2020_01_10","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.image6.2020_06_17","Depdc","migration/division perturbed",TRUE,FALSE,TRUE
"Depdc.image7_left.2020_01_10","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.image7_right.2020_01_10","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.image7_right.2020_06_17","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.image8_left.2020_01_10","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.image8_left.2020_06_17","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.image8_right.2020_01_10","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.image8_right.2020_06_17","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.image9_left.2020_01_10","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.image9_right.2020_01_10","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image1.2020_02_06","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image10.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image10.2020_02_06","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image11.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image11.2020_02_06","Depdc","migration/orientation perturbed",TRUE,TRUE,FALSE
"Depdc.slide1_image12.2019_08_29","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image12.2020_02_06","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image13.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image13.2020_02_06","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image14_left.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image14_right.2019_08_29","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image14.2020_02_06","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image15_left.2020_02_06","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image15_right.2020_02_06","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image15.2019_08_29","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image16_left.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image16_left.2020_02_06","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image16_right.2019_08_29","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image16_right.2020_02_06","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image17_left.2020_02_06","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image17_right.2020_02_06","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image17.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image18_left.2020_02_06","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image18_right.2020_02_06","Depdc","orientation perturbed",FALSE,TRUE,FALSE
