"Row.names","Condition","Phenotype","nTVC","nATM","migration.perturbed","orientation.perturbed","division.perturbed","TVC.contiguous","ATM.contiguous"
"Depdc.image1_right.2020_06_17","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.image1.2020_01_10","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.image10.2020_01_10","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.image11_left.2020_01_10","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.image11_right.2020_01_10","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.image12.2020_01_10","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.image13.2020_01_10","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.image14_right.2020_01_10","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.image15_left.2020_01_10","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.image16_left.2020_01_10","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.image16_right.2020_01_10","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.image17_left.2020_01_10","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.image17_right.2020_01_10","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.image18_left.2020_01_10","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.image18_right.2020_01_10","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.image19_right.2020_01_10","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.image2_right.2020_01_10","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.image2.2020_06_17","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.image20_left.2020_01_10","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.image20_right.2020_01_10","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.image21.2020_01_10","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.image22_left.2020_01_10","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.image22_right.2020_01_10","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.image3.2020_01_10","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.image3.2020_06_17","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.image4_left.2020_06_17","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.image4.2020_01_10","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.image5_left.2020_01_10","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.image5_right.2020_01_10","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.image6_right.2020_06_17","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.image6.2020_01_10","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.image7_left.2020_01_10","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
