Experiment date (EP),EP experimentator + Imaging acquisition,Condition,ID embryo,Cell Segmentation,Threshold nuclei,Threshold membrane,Surface Segmentation,Threshold surface,Merged cells to get new surface information from cell segmentation,Shortest distance between ATM group to TVC group (from edge to edge) µm,Comment on the distance,Comment on the embryo,Details phenotype,"Quality of segmentation based on labelling (good, correct, not good)",Comments
2019-08-29,Margaux Failla,Tyrosinase,slide1_image2_left,yes,96,15.7,-,-,yes,42.5,-,look like WT,all look like WT,correct,
2019-08-29,Margaux Failla,Tyrosinase,slide1_image2_right,yes,96,15.7,-,-,yes,34.1,-,look like WT,all look like WT,correct,
2019-08-29,Margaux Failla,Tyrosinase,slide1_image3_left,yes,98.2,18.7,-,-,yes,33.4,-,look like WT,all look like WT,good,
2019-08-29,Margaux Failla,Tyrosinase,slide1_image3_right,yes,98.2,18.7,-,-,yes,26,-,look like WT,all look like WT,good,
2019-08-29,Margaux Failla,Tyrosinase,slide1_image4_left,yes,84,15.1,-,-,yes,27.6,-,look like WT,all look like WT,good,
2019-08-29,Margaux Failla,Tyrosinase,slide1_image4_right,yes,84,15.1,-,-,yes,31.1,-,look like WT,all look like WT,good,
2019-08-29,Margaux Failla,Tyrosinase,slide1_image5,yes,102.6,18.7,-,-,yes,27.9,-,look like WT,all look like WT,correct,
2019-08-29,Margaux Failla,Tyrosinase,slide1_image6,yes,77.8,18.8,-,-,yes,54.7,-,look like WT,all look like WT,good,
2019-08-29,Margaux Failla,Tyrosinase,slide1_image7_right,yes,64.8,16.4,-,-,yes,28.3,-,look like WT,all look like WT,not good,
2019-08-29,Margaux Failla,Tyrosinase,slide1_image7_left,yes,43.2,16.4,-,-,yes,35.3,-,look like WT,all look like WT,not good,
2019-08-29,Margaux Failla,Tyrosinase,slide1_image8_right,yes,84,23.7,-,-,yes,23.6,-,look like WT,all look like WT,good,
2019-08-29,Margaux Failla,Tyrosinase,slide1_image8_left,yes,84,14,-,-,yes,23.7,-,look like WT,all look like WT,good,
2019-08-29,Margaux Failla,Tyrosinase,slide1_image9_right,yes,75.4,20.5,-,-,yes,19.6,-,look like WT,all look like WT,correct,
