"","ensembl_transcript_id","KHID","KHname","ensembl_gene_id","external_gene_name","refseq_peptide","refseq_peptide_predicted"
"1","ENSCINT00000000006","KH.L113.2","KH2013:KH.L113.2_RIPK1/2","ENSCING00000016307","","",""
"2","ENSCINT00000000015","KH.S816.1","KH2013:KH.S816.1_ZIC1/3/4/5/6","ENSCING00000000012","","","XP_002124454"
"3","ENSCINT00000000017","KH.S816.1","KH2013:KH.S816.1_ZIC1/3/4/5/6","ENSCING00000002517","","NP_001071853","XP_002119160"
"4","ENSCINT00000000022","KH.C2.318","POLH","ENSCING00000000016","","",""
"5","ENSCINT00000000023","KH.L132.7","NDUFS6","ENSCING00000000017","","",""
"6","ENSCINT00000000024","KH.L34.29","CG14238","ENSCING00000000018","","",""
"7","ENSCINT00000000026","KH.L34.7","ASH2L","ENSCING00000000019","","",""
"8","ENSCINT00000000033","KH.C4.209","COL6A4","ENSCING00000000026","","",""
"9","ENSCINT00000000037","KH.C3.283","KH2013:KH.C3.283","ENSCING00000000028","","",""
"10","ENSCINT00000000041","KH.S1334.1","KH2013:KH.S1334.1_GNL2","ENSCING00000010696","","","XP_002124999"
"11","ENSCINT00000000045","KH.L75.2","KH2013:KH.L75.2_BIRC2/3","ENSCING00000000033","","",""
"12","ENSCINT00000000048","KH.L95.17","ZFP1/12/13/14/28/30/39/61/68/69/7/78/81/82/84/9/90/92/93/94","ENSCING00000000034","","","XP_002130308"
"13","ENSCINT00000000049","KH.S115.33","KH2013:KH.S115.33_BIRC2/3","ENSCING00000002533","zf(ring)-24","NP_001071983",""
"14","ENSCINT00000000050","KH.L95.4","JOSD1","ENSCING00000000035","","","XP_004227339"
"15","ENSCINT00000000054","KH.L95.5","KH2013:KH.L95.5","ENSCING00000000038","","","XP_002129745"
"16","ENSCINT00000000059","KH.S781.9","GALNT4/6","ENSCING00000000040","","",""
"17","ENSCINT00000000062","KH.S781.11","PAR1","ENSCING00000000045","paraxis-like","NP_001071797",""
"18","ENSCINT00000000065","KH.S781.8","STARD4/5/6","ENSCING00000000048","","","XP_002123448"
"19","ENSCINT00000000066","KH.L161.1","TMOD/1/2/3/4","ENSCING00000000042","tmod","NP_001265917","XP_026694228"
"20","ENSCINT00000000066","KH.L161.1","TMOD/1/2/3/4","ENSCING00000000042","tmod","NP_001265917","XP_009861361"
"21","ENSCINT00000000071","KH.C2.277","TARDBP","ENSCING00000000050","tardbp","NP_001071830",""
"22","ENSCINT00000000082","KH.C14.246","KH2013:KH.C14.246_COLEC10/11","ENSCING00000000060","","","XP_002128393"
"23","ENSCINT00000000083","KH.C2.1074","HPS1","ENSCING00000000061","","",""
"24","ENSCINT00000000086","KH.C2.665","PDZD11","ENSCING00000000064","","",""
"25","ENSCINT00000000090","KH.C14.182","F1NJH2_CHICK","ENSCING00000000065","","",""
"26","ENSCINT00000000091","KH.C14.83","EIF2B5","ENSCING00000000067","","",""
"27","ENSCINT00000000093","KH.C14.83","EIF2B5","ENSCING00000014650","","",""
"28","ENSCINT00000000095","KH.S916.1","ACER2","ENSCING00000000068","","",""
"29","ENSCINT00000000099","KH.C2.157","KH2013:KH.C2.157_DUR3","ENSCING00000011370","","",""
"30","ENSCINT00000000104","KH.C3.136","ARHGAP17/44","ENSCING00000000071","","",""
"31","ENSCINT00000000106","KH.S928.1","KH2013:KH.S928.1_HTR3A","ENSCING00000000073","","",""
"32","ENSCINT00000000107","KH.C12.589","Y37B11A.2","ENSCING00000007673","","",""
"33","ENSCINT00000000108","KH.S928.2","KH2013:KH.S928.2_DNAH1","ENSCING00000000075","","",""
"34","ENSCINT00000000109","KH.L31.1","TDG","ENSCING00000000076","","","XP_002125191"
"35","ENSCINT00000000117","KH.L31.3","TRIM54/55/63","ENSCING00000000079","zf(bbox/ring)-6","NP_001122372",""
"36","ENSCINT00000000119","KH.S744.2","KH2013:KH.S744.2_GPR133","ENSCING00000000082","","","XP_009862007"
"37","ENSCINT00000000126","KH.L10.6","CG12428","ENSCING00000004324","","",""
"38","ENSCINT00000000127","KH.S744.1","KH2013:KH.S744.1_CYP1B1","ENSCING00000000085","","",""
"39","ENSCINT00000000129","KH.S363.3","KH2013:KH.S363.3","ENSCING00000000088","","",""
"40","ENSCINT00000000131","KH.L123.4","SKI","ENSCING00000000087","","",""
"41","ENSCINT00000000135","KH.L123.3","CG34401","ENSCING00000000089","","",""
"42","ENSCINT00000000141","KH.L114.8","KH2013:KH.L114.8_MS4A17A.1/11/14/2/4/5/6/7/8/9","ENSCING00000000092","","","XP_009861963"
"43","ENSCINT00000000141","KH.L114.8","KH2013:KH.L114.8_MS4A17A.1/11/14/2/4/5/6/7/8/9","ENSCING00000000092","","","XP_002126296"
"44","ENSCINT00000000146","KH.L141.31","GULP1","ENSCING00000000096","","","XP_026693933"
"45","ENSCINT00000000147","KH.L141.22","AOAH","ENSCING00000000097","","",""
"46","ENSCINT00000000151","KH.L141.63","KH2013:KH.L141.63_SI:DKEY-205H13.2","ENSCING00000000099","","",""
"47","ENSCINT00000000153","KH.S573.3","KH2013:KH.S573.3_GST-12/13/14/15/16/17/18/19/2/21/22/24/27/28/29/3/30/31/32/33/34/35/37/38/39/4/5/6/7/8/9","ENSCING00000000098","","","XP_026695855"
"48","ENSCINT00000000153","KH.S573.3","KH2013:KH.S573.3_GST-12/13/14/15/16/17/18/19/2/21/22/24/27/28/29/3/30/31/32/33/34/35/37/38/39/4/5/6/7/8/9","ENSCING00000000098","","","XP_002128190"
"49","ENSCINT00000000157","KH.L141.6","CMIP","ENSCING00000000101","","","XP_018670859"
"50","ENSCINT00000000157","KH.L141.6","CMIP","ENSCING00000000101","","","XP_002122092"
"51","ENSCINT00000000165","KH.C6.123","KH2013:KH.C6.123_CIITA","ENSCING00000000111","","",""
"52","ENSCINT00000000168","KH.C6.76","KH2013:KH.C6.76_Y40B10A.2/6/7","ENSCING00000000113","","",""
"53","ENSCINT00000000171","KH.C1.1093","KH2013:KH.C1.1093_ZAN","ENSCING00000012635","","",""
"54","ENSCINT00000000172","KH.C6.154","KH2013:KH.C6.154","ENSCING00000000117","","",""
"55","ENSCINT00000000173","KH.L165.7","ACDH-5/6","ENSCING00000000116","","",""
"56","ENSCINT00000000180","KH.C13.131","KH2013:KH.C13.131","ENSCING00000000122","","",""
"57","ENSCINT00000000184","KH.L167.5","SLC6A11","ENSCING00000000123","","","XP_002127765"
"58","ENSCINT00000000188","KH.S779.6","MAPKBP1","ENSCING00000000127","","",""
"59","ENSCINT00000000189","KH.C8.40","EIF3E","ENSCING00000001964","","",""
"60","ENSCINT00000000195","KH.S779.3","GM5460","ENSCING00000013074","","","XP_002126026"
"61","ENSCINT00000000202","KH.C3.524","KH2013:KH.C3.524_SCRM-1/2","ENSCING00000000132","","","XP_002126347"
"62","ENSCINT00000000206","KH.L167.3","TLK/1/2","ENSCING00000000130","","","XP_002127920"
"63","ENSCINT00000000208","KH.C7.219","AURKA","ENSCING00000000139","","",""
"64","ENSCINT00000000216","KH.C14.325","KH2013:KH.C14.325_SRR","ENSCING00000000140","","",""
"65","ENSCINT00000000218","KH.C7.478","SI:DKEY-98P3.7","ENSCING00000024796","","",""
"66","ENSCINT00000000221","KH.C7.358","KH2013:KH.C7.358_FCN1/2/3","ENSCING00000000142","","",""
"67","ENSCINT00000000233","KH.C8.344","LRP8","ENSCING00000000128","","",""
"68","ENSCINT00000000256","KH.C2.352","KH2013:KH.C2.352","ENSCING00000011384","","",""
"69","ENSCINT00000000257","KH.C10.324","MTIF2","ENSCING00000000152","","","XP_002127318"
"70","ENSCINT00000000259","KH.L40.19","KH2013:KH.L40.19","ENSCING00000016262","","","XP_002126935"
"71","ENSCINT00000000264","KH.L40.14","USP39","ENSCING00000000151","","",""
"72","ENSCINT00000000268","KH.C4.361","GLIPR1","ENSCING00000000157","","",""
"73","ENSCINT00000000274","KH.S1749.2","MRI1","ENSCING00000000162","","","XP_002126254"
"74","ENSCINT00000000276","KH.L114.10","KH2013:KH.L114.10_ADH1/2/3/5","ENSCING00000000163","","","XP_002119381"
"75","ENSCINT00000000283","KH.S1749.1","HDHD2","ENSCING00000000166","","","XP_002126288"
"76","ENSCINT00000000289","KH.C11.203","SYNJ2BP","ENSCING00000000168","","","XP_004226645"
"77","ENSCINT00000000291","KH.S424.8","KH2013:KH.S424.8_VKORC1L1","ENSCING00000001229","","","XP_002128257"
"78","ENSCINT00000000293","KH.C8.687","SMC2","ENSCING00000000171","","","XP_002119958"
"79","ENSCINT00000000299","KH.C8.148","CLEC-83","ENSCING00000000174","","",""
"80","ENSCINT00000000301","KH.S1742.2","CA12/9","ENSCING00000000176","","",""
"81","ENSCINT00000000302","KH.L170.14","KH2013:KH.L170.14_SLC35G1","ENSCING00000000177","","","XP_002120287"
"82","ENSCINT00000000307","KH.C9.248","CCDC108","ENSCING00000000179","","",""
"83","ENSCINT00000000311","KH.S803.1","CLCA1/3","ENSCING00000000183","","",""
"84","ENSCINT00000000313","KH.L112.23","KH2013:KH.L112.23_ZNF598","ENSCING00000000186","","",""
"85","ENSCINT00000000314","KH.S803.3","FNDC7","ENSCING00000000185","","",""
"86","ENSCINT00000000317","KH.C1.292","KH2013:KH.C1.292","ENSCING00000000182","","",""
"87","ENSCINT00000000318","KH.L112.6","AKR7A2/3/5","ENSCING00000000188","","","XP_002131439"
"88","ENSCINT00000000332","KH.L112.8","DEF8","ENSCING00000000191","","",""
"89","ENSCINT00000000335","KH.L112.30","KH2013:KH.L112.30_VIT","ENSCING00000000195","","",""
"90","ENSCINT00000000339","KH.L55.4","TPGS2","ENSCING00000000190","","",""
"91","ENSCINT00000000344","KH.S1482.1","TWSG1","ENSCING00000000199","","",""
"92","ENSCINT00000000345","KH.L141.39","TGFBR2","ENSCING00000000198","","",""
"93","ENSCINT00000000346","KH.L141.43","SLC35G2/6","ENSCING00000000200","","",""
"94","ENSCINT00000000353","KH.C2.608","TRAPPC2","ENSCING00000000202","","","XP_026696701"
"95","ENSCINT00000000355","KH.S1482.2","ABCD3","ENSCING00000000204","","","XP_002124998"
"96","ENSCINT00000000356","KH.L136.3","KH2013:KH.L136.3","ENSCING00000000205","","",""
"97","ENSCINT00000000357","KH.S1060.2","KH2013:KH.S1060.2_COCH","ENSCING00000016765","","","XP_002130476"
"98","ENSCINT00000000365","KH.L153.31","ALPPL2","ENSCING00000000208","","","XP_018670967"
"99","ENSCINT00000000365","KH.L153.31","ALPPL2","ENSCING00000000208","","","XP_026694118"
"100","ENSCINT00000000365","KH.L153.31","ALPPL2","ENSCING00000000208","","","XP_026694117"
"101","ENSCINT00000000371","KH.C13.9","KH2013:KH.C13.9_RIF1","ENSCING00000000210","","",""
"102","ENSCINT00000000374","KH.S1539.1","INVS","ENSCING00000000213","","","XP_002130375"
