"","ensembl_gene_id","ensembl_transcript_id","external_gene_name","refseq_peptide","refseq_peptide_predicted"
"1","ENSCING00000000123","ENSCINT00000000184","","","XP_002127765"
"2","ENSCING00000007268","ENSCINT00000014916","","","XP_002123450"
"3","ENSCING00000024978","ENSCINT00000032995","","","XP_002120266"
"4","ENSCING00000021819","ENSCINT00000037128","","",""
"5","ENSCING00000000130","ENSCINT00000000206","","","XP_002127920"
"6","ENSCING00000007267","ENSCINT00000024051","","",""
"7","ENSCING00000024704","ENSCINT00000036843","","",""
"8","ENSCING00000007267","ENSCINT00000024050","","","XP_002124456"
"9","ENSCING00000020224","ENSCINT00000032541","","",""
"10","ENSCING00000014965","ENSCINT00000027078","","","XP_002125946"
"11","ENSCING00000025129","ENSCINT00000036588","","",""
"12","ENSCING00000024113","ENSCINT00000036318","","",""
"13","ENSCING00000011328","ENSCINT00000021945","","","XP_009859595"
"14","ENSCING00000011328","ENSCINT00000021945","","","XP_009859598"
"15","ENSCING00000011328","ENSCINT00000021945","","","XP_004227451"
"16","ENSCING00000021837","ENSCINT00000035747","","",""
"17","ENSCING00000023557","ENSCINT00000031342","","",""
"18","ENSCING00000010597","ENSCINT00000021008","","",""
"19","ENSCING00000013990","ENSCINT00000025715","","",""
"20","ENSCING00000019084","ENSCINT00000032121","","",""
"21","ENSCING00000019784","ENSCINT00000033372","","",""
"22","ENSCING00000000790","ENSCINT00000029868","","",""
"23","ENSCING00000019703","ENSCINT00000001431","","",""
"24","ENSCING00000021151","ENSCINT00000034802","","","XP_002130753"
"25","ENSCING00000013838","ENSCINT00000025489","","","XP_002129449"
"26","ENSCING00000024051","ENSCINT00000031986","","",""
"27","ENSCING00000011679","ENSCINT00000022473","","",""
"28","ENSCING00000000742","ENSCINT00000001362","","","XP_002119516"
"29","ENSCING00000023947","ENSCINT00000037103","","",""
"30","ENSCING00000000085","ENSCINT00000000127","","",""
"31","ENSCING00000000082","ENSCINT00000000119","","","XP_009862007"
"32","ENSCING00000002924","ENSCINT00000027040","","",""
