"","protein_external_id","preferred_name","protein_size","annotation","refseq_peptide","GeneID","UniqueNAME"
"7070","9606.ENSP00000323580","IFT88",833,"Intraflagellar transport protein 88 homolog; Involved in primary cilium biogenesis. Also involved in autophagy since it is required for trafficking of ATG16L and the expansion of the autophagic compartment; Intraflagellar transport proteins","ENSP00000323580","KH2013:KH.C1.526","IFT88"
"2491","9606.ENSP00000262215","ARFGEF1",1849,"Brefeldin A-inhibited guanine nucleotide-exchange protein 1; Promotes guanine-nucleotide exchange on ARF1 and ARF3. Promotes the activation of ARF1/ARF3 through replacement of GDP with GTP. Involved in vesicular trafficking. Required for the maintenance of Golgi structure; the function may be independent of its GEF activity. Required for the maturaion of integrin beta-1 in the Golgi. Involved in the establishment and persistence of cell polarity during directed cell movement in wound healing. Proposed to act as A kinase-anchoring protein (AKAP) and may mediate crosstalk between Arf and [...] ","ENSP00000262215","KH2013:KH.C1.1180","ARFGEF1/2"
"11293","9606.ENSP00000360985","ARFGEF2",1785,"Brefeldin A-inhibited guanine nucleotide-exchange protein 2; Promotes guanine-nucleotide exchange on ARF1 and ARF3 and to a lower extent on ARF5 and ARF6. Promotes the activation of ARF1/ARF5/ARF6 through replacement of GDP with GTP. Involved in the regulation of Golgi vesicular transport. Required for the integrity of the endosomal compartment. Involved in trafficking from the trans-Golgi network (TGN) to endosomes and is required for membrane association of the AP-1 complex and GGA1. Seems to be involved in recycling of the transferrin receptor from recycling endosomes to the plasma  [...] ","ENSP00000360985","KH2013:KH.C1.1180","ARFGEF1/2"
"2266","9606.ENSP00000260947","BARD1",777,"BRCA1-associated RING domain protein 1; E3 ubiquitin-protein ligase. The BRCA1-BARD1 heterodimer specifically mediates the formation of 'Lys-6'-linked polyubiquitin chains and coordinates a diverse range of cellular pathways such as DNA damage repair, ubiquitination and transcriptional regulation to maintain genomic stability. Plays a central role in the control of the cell cycle in response to DNA damage. Acts by mediating ubiquitin E3 ligase activity that is required for its tumor suppressor function. Also forms a heterodimer with CSTF1/CSTF-50 to modulate mRNA processing and RNAP II [...] ","ENSP00000260947","KH2013:KH.C1.655","BARD1"
"11821","9606.ENSP00000363414","PAQR7",346,"Membrane progestin receptor alpha; Plasma membrane progesterone (P4) receptor coupled to G proteins. Seems to act through a G(i) mediated pathway. May be involved in oocyte maturation. Involved in neurosteroid inhibition of apoptosis. Also binds dehydroepiandrosterone (DHEA), pregnanolone, pregnenolone and allopregnanolone; Belongs to the ADIPOR family","ENSP00000363414","KH2013:KH.C1.1034","PAQR5/7"
"13862","9606.ENSP00000378803","PAQR5",330,"Membrane progestin receptor gamma; Plasma membrane progesterone (P4) receptor coupled to G proteins. Seems to act through a G(i) mediated pathway. May be involved in oocyte maturation; Progestin and adipoQ receptor family","ENSP00000378803","KH2013:KH.C1.1034","PAQR5/7"
"16373","9606.ENSP00000417610","RAB23",237,"Ras-related protein Rab-23; The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles to their fusion with membranes. Rabs cycle between an inactive GDP-bound form and an active GTP-bound form that is able to recruit to membranes different set of downstream effectors directly responsible for vesicle formation, movement, tethering and fusion. Together with SUFU, prevents nuclear import of GLI1, and thereby inhibits GLI1 transcription factor activity. Regulates GLI1 in differentiating chondrocytes. Likewise, regulates GLI3 pr [...] ","ENSP00000417610","KH2013:KH.C1.962","RAB23"
"7266","9606.ENSP00000325958","PTPMT1",201,"Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1; Lipid phosphatase which dephosphorylates phosphatidylglycerophosphate (PGP) to phosphatidylglycerol (PG). PGP is an essential intermediate in the biosynthetic pathway of cardiolipin, a mitochondrial-specific phospholipid regulating the membrane integrity and activities of the organelle. Has also been shown to display phosphatase activity toward phosphoprotein substrates, specifically mediates dephosphorylation of mitochondrial proteins, thereby playing an essential role in ATP production. Has probably a preference for p [...] ","ENSP00000325958","KH2013:KH.C1.881","PTPMT1"
"7681","9606.ENSP00000331044","ENKUR",256,"Enkurin; Adapter that functions to localize a calcium-sensitive signal transduction machinery in sperm to a calcium-permeable ion channel; Cilia and flagella associated","ENSP00000331044","KH2013:KH.C1.709","ENKUR"
"1550","9606.ENSP00000249356","DNAJB9",223,"DnaJ homolog subfamily B member 9; Involved in endoplasmic reticulum-associated degradation (ERAD) of misfolded proteins. Acts as a co-chaperone with an Hsp70 protein; DNAJ heat shock proteins","ENSP00000249356","KH2013:KH.C1.914","DNAJB9"
"4155","9606.ENSP00000286794","NAA11",229,"N-alpha-acetyltransferase 11; Displays alpha (N-terminal) acetyltransferase activity. Proposed alternative catalytic subunit of the N-terminal acetyltransferase A (NatA) complex; Belongs to the acetyltransferase family. ARD1 subfamily","ENSP00000286794","KH2013:KH.C1.150","NAA10/11"
"16388","9606.ENSP00000417763","NAA10",235,"N-alpha-acetyltransferase 10; Catalytic subunit of the N-terminal acetyltransferase A (NatA) complex which displays alpha (N-terminal) acetyltransferase activity. Acetylates amino termini that are devoid of initiator methionine. The alpha (N-terminal) acetyltransferase activity may be important for vascular, hematopoietic and neuronal growth and development. Without NAA15, displays epsilon (internal) acetyltransferase activity towards HIF1A, thereby promoting its degradation. Represses MYLK kinase activity by acetylation, and thus represses tumor cell migration. Acetylates, and stabili [...] ","ENSP00000417763","KH2013:KH.C1.150","NAA10/11"
"91","9606.ENSP00000054666","VAMP3",100,"Vesicle-associated membrane protein 3; SNARE involved in vesicular transport from the late endosomes to the trans-Golgi network; Belongs to the synaptobrevin family","ENSP00000054666","KH2013:KH.C1.165","VAMP1/2/3"
"6378","9606.ENSP00000314214","VAMP2",116,"Vesicle-associated membrane protein 2; Involved in the targeting and/or fusion of transport vesicles to their target membrane. Modulates the gating characteristics of the delayed rectifier voltage-dependent potassium channel KCNB1; Belongs to the synaptobrevin family","ENSP00000314214","KH2013:KH.C1.165","VAMP1/2/3"
"13985","9606.ENSP00000379602","VAMP1",118,"Vesicle-associated membrane protein 1; Involved in the targeting and/or fusion of transport vesicles to their target membrane","ENSP00000379602","KH2013:KH.C1.165","VAMP1/2/3"
"7721","9606.ENSP00000331479","CYB5D1",228,"Cytochrome b5 domain containing 1","ENSP00000331479","KH2013:KH.C1.841","CYB5D1"
"7216","9606.ENSP00000325377","WDR33",1336,"pre-mRNA 3' end processing protein WDR33; Essential for both cleavage and polyadenylation of pre- mRNA 3' ends; WD repeat domain containing","ENSP00000325377","KH2013:KH.C1.1238","WDR33"
"17644","9606.ENSP00000446101","C12orf56",622,"Uncharacterized protein C12orf56; Chromosome 12 open reading frame 56","ENSP00000446101","KH2013:KH.C1.1208","C12ORF56"
"18536","9606.ENSP00000473631","DNAJC3",504,"DnaJ homolog subfamily C member 3; Involved in the unfolded protein response (UPR) during endoplasmic reticulum (ER) stress. Acts as a negative regulator of the EIF2AK4/GCN2 kinase activity by preventing the phosphorylation of eIF-2-alpha at 'Ser-52' and hence attenuating general protein synthesis under ER stress, hypothermic and amino acid starving stress conditions (By similarity). Co-chaperone of HSPA8/HSC70, it stimulates its ATPase activity. May inhibit both the autophosphorylation of EIF2AK2/PKR and the ability of EIF2AK2 to catalyze phosphorylation of the EIF2A. May inhibit EIF2 [...] ","ENSP00000473631","KH2013:KH.C1.269","DNAJC3"
"4179","9606.ENSP00000287394","ATAD2",1390,"ATPase family AAA domain-containing protein 2; May be a transcriptional coactivator of the nuclear receptor ESR1 required to induce the expression of a subset of estradiol target genes, such as CCND1, MYC and E2F1. May play a role in the recruitment or occupancy of CREBBP at some ESR1 target gene promoters. May be required for histone hyperacetylation. Involved in the estrogen-induced cell proliferation and cell cycle progression of breast cancer cells; Belongs to the AAA ATPase family","ENSP00000287394","KH2013:KH.C1.997","ATAD2"
"1229","9606.ENSP00000240361","TEX14",1497,"Inactive serine/threonine-protein kinase TEX14; Required both for the formation of intercellular bridges during meiosis and for kinetochore-microtubule attachment during mitosis. Intercellular bridges are evolutionarily conserved structures that connect differentiating germ cells and are required for spermatogenesis and male fertility. Acts by promoting the conversion of midbodies into intercellular bridges via its interaction with CEP55: interaction with CEP55 inhibits the interaction between CEP55 and PDCD6IP/ALIX and TSG101, blocking cell abscission and leading to transform midbodie [...] ","ENSP00000240361","KH2013:KH.C1.208","TEX14"
"923","9606.ENSP00000229340","RAB35",201,"Ras-related protein Rab-35; The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles to their fusion with membranes. Rabs cycle between an inactive GDP-bound form and an active GTP-bound form that is able to recruit to membranes different sets of downstream effectors directly responsible for vesicle formation, movement, tethering and fusion. That Rab is involved in the process of endocytosis and is an essential rate-limiting regulator of the fast recycling pathway back to the plasma membrane. During cytokinesis, required f [...] ","ENSP00000229340","KH2013:KH.C1.1011","RAB35"
"12095","9606.ENSP00000365006","S1PR3",378,"Sphingosine 1-phosphate receptor 3; Receptor for the lysosphingolipid sphingosine 1- phosphate (S1P). S1P is a bioactive lysophospholipid that elicits diverse physiological effect on most types of cells and tissues. When expressed in rat HTC4 hepatoma cells, is capable of mediating S1P-induced cell proliferation and suppression of apoptosis","ENSP00000365006","KH2013:KH.C1.344","S1PR3"
"9129","9606.ENSP00000346955","SLC25A26",274,"S-adenosylmethionine mitochondrial carrier protein; Mitochondrial solute carriers shuttle metabolites, nucleotides, and cofactors through the mitochondrial inner membrane. Specifically mediates the transport of S- adenosylmethionine (SAM) into the mitochondria","ENSP00000346955","KH2013:KH.C1.230","SLC25A26"
"13045","9606.ENSP00000371133","HMG20A",347,"High mobility group protein 20A; Plays a role in neuronal differentiation as chromatin- associated protein. Acts as inhibitor of HMG20B. Overcomes the repressive effects of the neuronal silencer REST and induces the activation of neuronal-specific genes. Involved in the recruitment of the histone methyltransferase KMT2A/MLL1 and consequent increased methylation of histone H3 lysine 4 (By similarity); Non-canonical high mobility group","ENSP00000371133","KH2013:KH.C1.516","HMG20A"
"17160","9606.ENSP00000434359","PUF60",559,"Poly(U)-binding-splicing factor PUF60; DNA- and RNA-binding protein, involved in several nuclear processes such as pre-mRNA splicing, apoptosis and transcription regulation. In association with FUBP1 regulates MYC transcription at the P2 promoter through the core-TFIIH basal transcription factor. Acts as a transcriptional repressor through the core-TFIIH basal transcription factor. Represses FUBP1-induced transcriptional activation but not basal transcription. Decreases ERCC3 helicase activity. Does not repress TFIIH-mediated transcription in xeroderma pigmentosum complementation group [...] ","ENSP00000434359","KH2013:KH.C1.110","PUF60/68"
"18729","9606.ENSP00000478121","TCEB1",112,"Elongin-C; SIII, also known as elongin, is a general transcription elongation factor that increases the RNA polymerase II transcription elongation past template-encoded arresting sites. Subunit A is transcriptionally active and its transcription activity is strongly enhanced by binding to the dimeric complex of the SIII regulatory subunits B and C (elongin BC complex). In embryonic stem cells, the elongin BC complex is recruited by EPOP to Polycomb group (PcG) target genes in order generate genomic region that display both active and repressive chromatin properties, an important featur [...] ","ENSP00000478121","KH2013:KH.C1.831","TCEB1"
"1344","9606.ENSP00000244230","MPHOSPH10",681,"U3 small nucleolar ribonucleoprotein protein MPP10; Component of the 60-80S U3 small nucleolar ribonucleoprotein (U3 snoRNP). Required for the early cleavages during pre-18S ribosomal RNA processing; MPP10 subcomplex","ENSP00000244230","KH2013:KH.C1.172","MPHOSPH10"
"2593","9606.ENSP00000262764","PGS1",556,"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial; Functions in the biosynthesis of the anionic phospholipids phosphatidylglycerol and cardiolipin; Belongs to the CDP-alcohol phosphatidyltransferase class-II family","ENSP00000262764","KH2013:KH.C1.1197","PGS1"
"5600","9606.ENSP00000305632","HOMER2",354,"Homer protein homolog 2; Postsynaptic density scaffolding protein. Binds and cross-links cytoplasmic regions of GRM1, GRM5, ITPR1, DNM3, RYR1, RYR2, SHANK1 and SHANK3. By physically linking GRM1 and GRM5 with ER-associated ITPR1 receptors, it aids the coupling of surface receptors to intracellular calcium release. May also couple GRM1 to PI3 kinase through its interaction with AGAP2. Isoforms can be differently regulated and may play an important role in maintaining the plasticity at glutamatergic synapses. Required for normal hearing; Deafness associated genes","ENSP00000305632","KH2013:KH.C1.301","HOMER/1/2/3"
"8015","9606.ENSP00000334382","HOMER1",354,"Homer protein homolog 1; Postsynaptic density scaffolding protein. Binds and cross-links cytoplasmic regions of GRM1, GRM5, ITPR1, DNM3, RYR1, RYR2, SHANK1 and SHANK3. By physically linking GRM1 and GRM5 with ER-associated ITPR1 receptors, it aids the coupling of surface receptors to intracellular calcium release. May also couple GRM1 to PI3 kinase through its interaction with AGAP2. Isoform 1 regulates the trafficking and surface expression of GRM5. Isoform 3 acts as a natural dominant negative, in dynamic competition with constitutively expressed isoform 1 to regulate synaptic metabo [...] ","ENSP00000334382","KH2013:KH.C1.301","HOMER/1/2/3"
"17381","9606.ENSP00000439937","HOMER3",361,"Homer protein homolog 3; Postsynaptic density scaffolding protein. Binds and cross-links cytoplasmic regions of GRM1, GRM5, ITPR1, DNM3, RYR1, RYR2, SHANK1 and SHANK3. By physically linking GRM1 and GRM5 with ER-associated ITPR1 receptors, it aids the coupling of surface receptors to intracellular calcium release. Isoforms can be differently regulated and may play an important role in maintaining the plasticity at glutamatergic synapses; Belongs to the Homer family","ENSP00000439937","KH2013:KH.C1.301","HOMER/1/2/3"
"9085","9606.ENSP00000346484","MAK",648,"Serine/threonine-protein kinase MAK; Essential for the regulation of ciliary length and required for the long-term survival of photoreceptors (By similarity). Phosphorylates FZR1 in a cell cycle-dependent manner. Plays a role in the transcriptional coactivation of AR. Could play an important function in spermatogenesis. May play a role in chromosomal stability in prostate cancer cells","ENSP00000346484","KH2013:KH.C1.1300","MAK"
"15002","9606.ENSP00000388293","TSTD1",115,"Thiosulfate:glutathione sulfurtransferase; Thiosulfate:glutathione sulfurtransferase (TST) required to produce glutathione persulfide (GSS(-)), a central intermediate in hydrogen sulfide metabolism. Provides the link between the first step in mammalian H(2)S metabolism performed by the sulfide:quinone oxidoreductase (SQOR) which catalyzes the conversion of H(2)S to thiosulfate, and the sulfur dioxygenase (SDO) which uses GSS(-) as substrate. The thermodynamic coupling of the irreversible SDO and reversible TST reactions provides a model for the physiologically relevant reaction with th [...] ","ENSP00000388293","KH2013:KH.C1.139","TSTD1"
"7066","9606.ENSP00000323527","MKLN1",735,"Muskelin; Acts as a mediator of cell spreading and cytoskeletal responses to the extracellular matrix component THBS1; CTLH complex","ENSP00000323527","KH2013:KH.C1.130","MKLN1"
"10123","9606.ENSP00000355402","ISLR2",745,"Immunoglobulin superfamily containing leucine-rich repeat protein 2; Required for axon extension during neural development; Immunoglobulin like domain containing","ENSP00000355402","KH2013:KH.C1.608","ISLR/2"
"4495","9606.ENSP00000293831","EIF4A1",406,"Eukaryotic initiation factor 4A-I; ATP-dependent RNA helicase which is a subunit of the eIF4F complex involved in cap recognition and is required for mRNA binding to ribosome. In the current model of translation initiation, eIF4A unwinds RNA secondary structures in the 5'-UTR of mRNAs which is necessary to allow efficient binding of the small ribosomal subunit, and subsequent scanning for the initiator codon; Belongs to the DEAD box helicase family. eIF4A subfamily","ENSP00000293831","KH2013:KH.C1.287","EIF4A1/2"
"7305","9606.ENSP00000326381","EIF4A2",407,"Eukaryotic initiation factor 4A-II; ATP-dependent RNA helicase which is a subunit of the eIF4F complex involved in cap recognition and is required for mRNA binding to ribosome. In the current model of translation initiation, eIF4A unwinds RNA secondary structures in the 5'-UTR of mRNAs which is necessary to allow efficient binding of the small ribosomal subunit, and subsequent scanning for the initiator codon; DEAD-box helicases","ENSP00000326381","KH2013:KH.C1.287","EIF4A1/2"
"3524","9606.ENSP00000273261","LRIG1",1093,"Leucine-rich repeats and immunoglobulin-like domains protein 1; Acts as a feedback negative regulator of signaling by receptor tyrosine kinases, through a mechanism that involves enhancement of receptor ubiquitination and accelerated intracellular degradation; I-set domain containing","ENSP00000273261","KH2013:KH.C1.631","LRIG1/2/3"
"7333","9606.ENSP00000326759","LRIG3",1119,"Leucine-rich repeats and immunoglobulin-like domains protein 3; May play a role in craniofacial and inner ear morphogenesis during embryonic development. May act within the otic vesicle epithelium to control formation of the lateral semicircular canal in the inner ear, possibly by restricting the expression of NTN1 (By similarity); I-set domain containing","ENSP00000326759","KH2013:KH.C1.631","LRIG1/2/3"
"10122","9606.ENSP00000355396","LRIG2",1065,"Leucine rich repeats and immunoglobulin like domains 2; I-set domain containing","ENSP00000355396","KH2013:KH.C1.631","LRIG1/2/3"
"2144","9606.ENSP00000259239","IMP4",291,"U3 small nucleolar ribonucleoprotein protein IMP4; Component of the 60-80S U3 small nucleolar ribonucleoprotein (U3 snoRNP). Required for the early cleavages during pre-18S ribosomal RNA processing; MPP10 subcomplex","ENSP00000259239","KH2013:KH.C1.1216","IMP4"
"2329","9606.ENSP00000261407","LPCAT3",487,"Lysophospholipid acyltransferase 5; Acyltransferase which mediates the conversion of lysophosphatidylcholine (1-acyl-sn-glycero-3-phosphocholine or LPC) into phosphatidylcholine (1,2-diacyl-sn-glycero-3- phosphocholine or PC) (LPCAT activity). Catalyzes also the conversion of lysophosphatidylserine (1-acyl-2-hydroxy-sn-glycero- 3-phospho-L-serine or LPS) into phosphatidylserine (1,2-diacyl-sn- glycero-3-phospho-L-serine or PS) (LPSAT activity). Has also weak lysophosphatidylethanolamine acyltransferase activity (LPEAT activity). Favors polyunsaturated fatty acyl-CoAs as acyl donors com [...] ","ENSP00000261407","KH2013:KH.C1.996","LPCAT3"
"8532","9606.ENSP00000340736","GYG1",350,"Glycogenin-1; Self-glucosylates, via an inter-subunit mechanism, to form an oligosaccharide primer that serves as substrate for glycogen synthase; Glycosyltransferase family 8","ENSP00000340736","KH2013:KH.C1.523","GYG/1/2"
"12966","9606.ENSP00000370555","GYG2",501,"Glycogenin-2; Self-glucosylates, via an inter-subunit mechanism, to form an oligosaccharide primer that serves as substrate for glycogen synthase; Glycosyltransferase family 8","ENSP00000370555","KH2013:KH.C1.523","GYG/1/2"
"2079","9606.ENSP00000258390","DOCK10",2186,"Dedicator of cytokinesis protein 10; Guanine nucleotide-exchange factor (GEF) that activates CDC42 and RAC1 by exchanging bound GDP for free GTP. Essential for dendritic spine morphogenesis in Purkinje cells and in hippocampal neurons, via a CDC42-mediated pathway. Sustains B-cell lymphopoiesis in secondary lymphoid tissues and regulates FCER2/CD23 expression; Belongs to the DOCK family","ENSP00000258390","KH2013:KH.C1.1202","DOCK10/11/9"
"3669","9606.ENSP00000276202","DOCK11",2073,"Dedicator of cytokinesis protein 11; Guanine nucleotide-exchange factor (GEF) that activates CDC42 by exchanging bound GDP for free GTP. Required for marginal zone (MZ) B-cell development, is associated with early bone marrow B-cell development, MZ B-cell formation, MZ B-cell number and marginal metallophilic macrophages morphology. Facilitates filopodia formation through the activation of CDC42; Belongs to the DOCK family","ENSP00000276202","KH2013:KH.C1.1202","DOCK10/11/9"
"12190","9606.ENSP00000365643","DOCK9",2068,"Dedicator of cytokinesis protein 9; Guanine nucleotide-exchange factor (GEF) that activates CDC42 by exchanging bound GDP for free GTP. Overexpression induces filopodia formation; Belongs to the DOCK family","ENSP00000365643","KH2013:KH.C1.1202","DOCK10/11/9"
"7667","9606.ENSP00000330808","OTOL1",477,"Otolin-1; C1q and TNF related ; Belongs to the OTOL1 family","ENSP00000330808","KH2013:KH.C1.1156","OTOL1"
"1899","9606.ENSP00000255674","RTTN",2226,"Rotatin; Involved in the genetic cascade that governs left-right specification. Plays a role in the maintenance of a normal ciliary structure. Required for correct asymmetric expression of NODAL, LEFTY and PITX2; Armadillo-like helical domain containing","ENSP00000255674","KH2013:KH.C1.714","RTTN"
"5726","9606.ENSP00000306906","RNF181",153,"E3 ubiquitin-protein ligase RNF181; E3 ubiquitin-protein ligase which accepts ubiquitin from an E2 ubiquitin-conjugating enzyme in the form of a thioester and then directly transfers the ubiquitin to targeted substrates; Belongs to the RNF181 family","ENSP00000306906","KH2013:KH.C1.331","RNF181"
"6449","9606.ENSP00000315386","KDELC2",507,"KDEL motif-containing protein 2; Glycosyltransferase family 90; Belongs to the KDELC family","ENSP00000315386","KH2013:KH.C1.1064","KDELC1/2"
