"","refseq_peptide","ensembl_gene_id","ensembl_transcript_id","external_gene_name","refseq_peptide_predicted","protein_external_id","preferred_name","protein_size","annotation"
"1","NP_001007565","ENSCING00000007486","ENSCINT00000015358","rhamm","","7719.NP_001007565.1","rhamm",779,"Hyaluronan-mediated motility receptor"
"2","NP_001007567","ENSCING00000007410","ENSCINT00000015247","kif3b","","7719.NP_001007567.1","kif3b",744,"Kinesin-like protein; Kinesin family member 3B; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family"
"3","NP_001011659","ENSCING00000009376","ENSCINT00000019061","klp2","","7719.NP_001011659.1","klp2",1292,"Kinesin-like protein 2; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family"
"4","NP_001027587","ENSCING00000020186","ENSCINT00000037322","tbx6a","","7719.NP_001027587.1","tbx6a",524,"T-box transcription factor Ci-Tbx6a"
"5","NP_001027589","ENSCING00000001721","ENSCINT00000003474","mT","","7719.NP_001027589.1","mT",812,"T-box transcription factor Ci-mT"
"6","NP_001027590","ENSCING00000005267","ENSCINT00000010822","tbx20","","7719.NP_001027590.1","tbx20",441,"T-box transcription factor Ci-Tbx20"
"7","NP_001027595","ENSCING00000002735","ENSCINT00000005577","","","7719.NP_001027595.1","LOC445593",909,"Homologue of mammlian thyroid peroxidase precursor"
"8","NP_001027597","ENSCING00000001821","ENSCINT00000003673","gsk","","7719.NP_001027597.1","gsk",407,"Glycogen synthase kinase alpha/beta"
"9","NP_001027598","ENSCING00000004654","ENSCINT00000009631","net1a","","7719.NP_001027598.1","net1a",650,"Netrin precursor"
"10","NP_001027602","ENSCING00000001384","ENSCINT00000002693","not3","","7719.NP_001027602.1","not3",341,"Hexosyltransferase; Not3 protein"
"11","NP_001027604","ENSCING00000023598","ENSCINT00000030990","cdc45","","7719.NP_001027604.1","cdc45",567,"Cdc45 protein"
"12","NP_001027608","ENSCING00000005866","ENSCINT00000012097","leprecan","","7719.NP_001027608.1","leprecan",412,"Leprecan protein"
"13","NP_001027611","ENSCING00000019922","ENSCINT00000031527","not7","","7719.NP_001027611.1","Mxi1",213,"Not7 protein"
"14","NP_001027615","ENSCING00000003128","ENSCINT00000006315","meta4","","7719.NP_001027615.1","meta4",83,"Ci-META4 precursor"
"15","NP_001027616","ENSCING00000024284","ENSCINT00000030988","meta5","","7719.NP_001027616.1","meta5",64,"Ci-META5 precursor"
"16","NP_001027619","ENSCING00000005305","ENSCINT00000010912","gi1","","7719.NP_001027619.1","gi1",354,"G protein alpha subunit Gi"
"17","NP_001027621","ENSCING00000002571","ENSCINT00000005239","chat","","7719.NP_001027621.1","chat",759,"Choline acetyltransferase; Belongs to the carnitine/choline acetyltransferase family"
"18","NP_001027629","ENSCING00000019441","ENSCINT00000031680","noto8","","7719.NP_001027629.1","noto8",136,"Notochord specific gene 8 protein"
"19","NP_001027631","ENSCING00000007680","ENSCINT00000023364","cam-k","XP_026696157","7719.NP_001027631.1","cam-k",324,"Calmodulin-dependent protein kinase homologue; Belongs to the protein kinase superfamily"
"20","NP_001027640","ENSCING00000008146","ENSCINT00000016637","opsin3","","7719.NP_001027640.1","Rrh",287,"Retinal G-protein-coupled receptor"
"21","NP_001027642","ENSCING00000005688","ENSCINT00000011761","dnal1","XP_026694737","7719.NP_001027642.1","dnal1",190,"Dynein light chain 1, axonemal; Part of the multisubunit axonemal ATPase complexes that generate the force for cilia motility and govern beat frequency (By similarity). Component of the outer arm dynein (ODA). May be involved in a mechanosensory feedback mechanism controlling ODA activity based on external conformational cues by tethering the outer arm dynein heavy chain (DNAH5) to the microtubule within the axoneme (By similarity)"
"22","NP_001027642","ENSCING00000005688","ENSCINT00000011761","dnal1","XP_026694736","7719.NP_001027642.1","dnal1",190,"Dynein light chain 1, axonemal; Part of the multisubunit axonemal ATPase complexes that generate the force for cilia motility and govern beat frequency (By similarity). Component of the outer arm dynein (ODA). May be involved in a mechanosensory feedback mechanism controlling ODA activity based on external conformational cues by tethering the outer arm dynein heavy chain (DNAH5) to the microtubule within the axoneme (By similarity)"
"23","NP_001027644","ENSCING00000005631","ENSCINT00000011665","tektinA1","","7719.NP_001027644.1","tektinA1",447,"Tektin A1"
"24","NP_001027645","ENSCING00000007391","ENSCINT00000015193","tektinB1","","7719.NP_001027645.1","tektinB1",435,"Tektin B1"
"25","NP_001027646","ENSCING00000006989","ENSCINT00000014350","ciaxp66.0","","7719.NP_001027646.1","ciaxp66.0",575,"Axonemal p66.0"
"26","NP_001027651","ENSCING00000002157","ENSCINT00000004407","en","","7719.NP_001027651.1","en",345,"En protein"
"27","NP_001027652","ENSCING00000006915","ENSCINT00000014209","pax258","","7719.NP_001027652.1","pax258",341,"Pax-2/5/8"
"28","NP_001027654","ENSCING00000004313","ENSCINT00000008903","blcap","","7719.NP_001027654.1","blcap",92,"Blcap protein"
"29","NP_001027656","ENSCING00000003693","ENSCINT00000007614","gnrhr2","","7719.NP_001027656.1","gnrhr2",401,"Gonadotropin-releasing hormone receptor"
"30","NP_001027662","ENSCING00000019349","ENSCINT00000033145","otx2","","7719.NP_001027662.2","otx2",425,"Otx"
"31","NP_001027665","ENSCING00000001363","ENSCINT00000002640","hox5","","7719.NP_001027665.1","hox5",220,"Hox 5"
"32","NP_001027668","ENSCING00000009129","ENSCINT00000018527","msxb","","7719.NP_001027668.1","msxb",327,"Msxb homeoprotein"
"33","NP_001027676","ENSCING00000018828","ENSCINT00000036955","sec61g","","7719.NP_001027676.1","SEC61G",68,"Protein transport protein Sec61 subunit gamma; Necessary for protein translocation in the endoplasmic reticulum"
"34","NP_001027676","ENSCING00000024485","ENSCINT00000036066","sec61g","","7719.NP_001027676.1","SEC61G",68,"Protein transport protein Sec61 subunit gamma; Necessary for protein translocation in the endoplasmic reticulum"
"35","NP_001027678","ENSCING00000018058","ENSCINT00000035213","rps13","","7719.NP_001027678.1","RPS13",151,"40S ribosomal protein S13; Belongs to the universal ribosomal protein uS15 family"
"36","NP_001027679","ENSCING00000006187","ENSCINT00000012773","rs23","","7719.NP_001027679.1","RPS23",143,"40S ribosomal protein S23; Belongs to the universal ribosomal protein uS12 family"
"37","NP_001027680","ENSCING00000016152","ENSCINT00000028390","rl32","","7719.NP_001027680.1","rl32",136,"Rl32 protein"
"38","NP_001027683","ENSCING00000001856","ENSCINT00000003755","prx1","XP_018669748","7719.NP_001027683.1","Rax",826,"Prx1 protein"
"39","NP_001027684","ENSCING00000019625","ENSCINT00000034024","c3-1","","7719.NP_001027684.1","C3",1773,"Complement component C3 precursor"
"40","NP_001027690","ENSCING00000003145","ENSCINT00000006386","rhoc","","7719.NP_001027690.1","rhoa",193,"RhoA protein; Belongs to the small GTPase superfamily. Rho family"
"41","NP_001027691","ENSCING00000000822","ENSCINT00000001500","cdc42","","7719.NP_001027691.1","cdc42",191,"Cell division cycle 42; Belongs to the small GTPase superfamily. Rho family"
"42","NP_001027693","ENSCING00000009009","ENSCINT00000018289","","","7719.NP_001027693.1","LOC445704",193,"TC10 protein; Belongs to the small GTPase superfamily. Rho family"
"43","NP_001027696","ENSCING00000001031","ENSCINT00000001927","hox10","XP_026693863","7719.NP_001027696.1","hox10",435,"Hox10 protein"
"44","NP_001027697","ENSCING00000000531","ENSCINT00000000970","ona2","","7719.NP_001027697.1","Fut9",407,"Ona2 protein"
"45","NP_001027700","ENSCING00000006495","ENSCINT00000013341","hb3","","7719.NP_001027700.1","hb3",153,"Globin; Belongs to the globin family"
"46","NP_001027702","ENSCING00000013752","ENSCINT00000025371","fut13","","7719.NP_001027702.1","fut13",434,"Fut13 protein precursor"
"47","NP_001027706","ENSCING00000006684","ENSCINT00000013717","","","7719.NP_001027706.1","LOC445732",766,"SLC26A2 anion exchanger"
"48","NP_001027712","ENSCING00000000478","ENSCINT00000029093","tgm2","XP_009861590","7719.NP_001027712.1","tgm2",766,"Transglutiminase"
"49","NP_001027720","ENSCING00000009515","ENSCINT00000019380","ck2a","","7719.NP_001027720.1","ck2a",385,"Casein kinase 2 alpha subunit; Belongs to the protein kinase superfamily"
"50","NP_001027727","ENSCING00000001265","ENSCINT00000002459","opsin1","","7719.NP_001027727.1","OPN1LW",390,"Opsin; Belongs to the G-protein coupled receptor 1 family"
"51","NP_001027744","ENSCING00000020390","ENSCINT00000036087","ar20","","7719.NP_001027744.1","ar20",168,"Actin-related protein 2/3 complex subunit 4; Functions as actin-binding component of the Arp2/3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks. Seems to contact the mother actin filament"
"52","NP_001027745","ENSCING00000008670","ENSCINT00000017689","vgat","","7719.NP_001027745.1","vgat",638,"Vesicular GABA transporter"
"53","NP_001027747","ENSCING00000000625","ENSCINT00000001146","fgf4/5/6","","7719.NP_001027747.1","fgf4/5/6",229,"Fibroblast growth factor 4/5/6; Belongs to the heparin-binding growth factors family"
"54","NP_001027750","ENSCING00000000838","ENSCINT00000001527","su(h)","","7719.NP_001027750.1","su(h)",554,"Suppressor of hairless homolog; Transcriptional regulator that plays a central role in Notch signaling, a signaling pathway involved in cell-cell communication that regulates a broad spectrum of cell-fate determinations. Acts as a transcriptional repressor when it is not associated with Notch proteins. When associated with some Notch protein, it acts as a transcriptional activator that activates transcription of Notch target genes (By similarity). Required for the transcriptional expression of Brachyury, suggesting that it participates in notochord differentiation"
"55","NP_001027752","ENSCING00000003112","ENSCINT00000006296","tbx6b","","7719.NP_001027752.1","tbx6b",558,"T-box transcription factor Ci-Tbx6b"
