"","KHID","ensembl_transcript_id","KHname"
"1","KH.C1.1","ENSCINT00000010738","C1ORF158"
"2","KH.C1.10","ENSCINT00000023567","LASP/1"
"3","KH.C1.10","ENSCINT00000004156","LASP/1"
"4","KH.C1.10","ENSCINT00000028607","LASP/1"
"5","KH.C1.10","ENSCINT00000004158","LASP/1"
"6","KH.C1.10","ENSCINT00000004153","LASP/1"
"7","KH.C1.10","ENSCINT00000028608","LASP/1"
"8","KH.C1.100","ENSCINT00000009842","KH2013:KH.C1.100"
"9","KH.C1.1000","ENSCINT00000004173","PDCD6IP"
"10","KH.C1.1000","ENSCINT00000004170","PDCD6IP"
"11","KH.C1.1000","ENSCINT00000023576","PDCD6IP"
"12","KH.C1.1001","ENSCINT00000023610","UBE2M"
"13","KH.C1.1001","ENSCINT00000008296","UBE2M"
"14","KH.C1.1001","ENSCINT00000015490","UBE2M"
"15","KH.C1.1003","ENSCINT00000014548","KH2013:KH.C1.1003_F49F1.1"
"16","KH.C1.1005","ENSCINT00000023533","PLCH1/2"
"17","KH.C1.1005","ENSCINT00000023534","PLCH1/2"
"18","KH.C1.1005","ENSCINT00000015578","PLCH1/2"
"19","KH.C1.1005","ENSCINT00000023535","PLCH1/2"
"20","KH.C1.1006","ENSCINT00000003229","KH2013:KH.C1.1006"
"21","KH.C1.1007","ENSCINT00000023868","C11ORF70"
"22","KH.C1.1008","ENSCINT00000016207","MFAP1"
"23","KH.C1.1009","ENSCINT00000015530","CCDC50"
"24","KH.C1.101","ENSCINT00000012669","KH2013:KH.C1.101_CDIPT"
"25","KH.C1.1010","ENSCINT00000027896","KH2013:KH.C1.1010_ITLN3"
"26","KH.C1.1010","ENSCINT00000014107","KH2013:KH.C1.1010_ITLN3"
"27","KH.C1.1011","ENSCINT00000008241","RAB35"
"28","KH.C1.1011","ENSCINT00000008208","RAB35"
"29","KH.C1.1011","ENSCINT00000008203","RAB35"
"30","KH.C1.1011","ENSCINT00000008253","RAB35"
"31","KH.C1.1012","ENSCINT00000027503","CHMP5"
"32","KH.C1.1012","ENSCINT00000009854","CHMP5"
"33","KH.C1.1016","ENSCINT00000010629","NR6A1"
"34","KH.C1.1016","ENSCINT00000010624","NR6A1"
"35","KH.C1.1016","ENSCINT00000024082","NR6A1"
"36","KH.C1.1017","ENSCINT00000014525","NRCAM"
"37","KH.C1.1017","ENSCINT00000023748","NRCAM"
"38","KH.C1.1017","ENSCINT00000023747","NRCAM"
"39","KH.C1.1019","ENSCINT00000023679","CABP4/5"
"40","KH.C1.1019","ENSCINT00000011571","CABP4/5"
"41","KH.C1.1019","ENSCINT00000011575","CABP4/5"
"42","KH.C1.102","ENSCINT00000019955","KH2013:KH.C1.102"
"43","KH.C1.1020","ENSCINT00000023431","KH2013:KH.C1.1020_MOXD1"
"44","KH.C1.1020","ENSCINT00000028835","KH2013:KH.C1.1020_MOXD1"
"45","KH.C1.1020","ENSCINT00000023430","KH2013:KH.C1.1020_MOXD1"
"46","KH.C1.1020","ENSCINT00000013731","KH2013:KH.C1.1020_MOXD1"
"47","KH.C1.1021","ENSCINT00000003276","PEX5"
"48","KH.C1.1021","ENSCINT00000003267","PEX5"
"49","KH.C1.1022","ENSCINT00000023584","KH2013:KH.C1.1022"
"50","KH.C1.1023","ENSCINT00000012090","TM9SF2"
"51","KH.C1.1023","ENSCINT00000012094","TM9SF2"
"52","KH.C1.1024","ENSCINT00000003797","GRWD1"
"53","KH.C1.1025","ENSCINT00000009826","NFX1"
"54","KH.C1.1025","ENSCINT00000009830","NFX1"
"55","KH.C1.1027","ENSCINT00000027809","HDAC1/2"
"56","KH.C1.1027","ENSCINT00000005410","HDAC1/2"
"57","KH.C1.1028","ENSCINT00000025402","KH2013:KH.C1.1028"
"58","KH.C1.1029","ENSCINT00000002591","DDX1"
"59","KH.C1.1029","ENSCINT00000002237","DDX1"
"60","KH.C1.1029","ENSCINT00000027647","DDX1"
"61","KH.C1.1029","ENSCINT00000002229","DDX1"
"62","KH.C1.1031","ENSCINT00000023878","UXT"
"63","KH.C1.1032","ENSCINT00000005308","GOLPH3"
"64","KH.C1.1032","ENSCINT00000025253","GOLPH3"
"65","KH.C1.1033","ENSCINT00000009349","ADHFE1"
"66","KH.C1.1034","ENSCINT00000025526","PAQR5/7"
"67","KH.C1.1035","ENSCINT00000029453","KH2013:KH.C1.1035_WBSCR27"
"68","KH.C1.1035","ENSCINT00000029452","KH2013:KH.C1.1035_WBSCR27"
"69","KH.C1.1035","ENSCINT00000022047","KH2013:KH.C1.1035_WBSCR27"
"70","KH.C1.1035","ENSCINT00000022046","KH2013:KH.C1.1035_WBSCR27"
"71","KH.C1.1035","ENSCINT00000018493","KH2013:KH.C1.1035_WBSCR27"
"72","KH.C1.1037","ENSCINT00000025349","LRP1/5"
"73","KH.C1.1037","ENSCINT00000011232","LRP1/5"
"74","KH.C1.1037","ENSCINT00000011239","LRP1/5"
"75","KH.C1.1039","ENSCINT00000001165","KH2013:KH.C1.1039_PRSS12"
"76","KH.C1.1039","ENSCINT00000025480","KH2013:KH.C1.1039_PRSS12"
"77","KH.C1.104","ENSCINT00000017019","C20ORF7"
"78","KH.C1.1041","ENSCINT00000011246","NIF3L1"
"79","KH.C1.1042","ENSCINT00000023756","KH2013:KH.C1.1042_F49F1.1"
"80","KH.C1.1042","ENSCINT00000029189","KH2013:KH.C1.1042_F49F1.1"
"81","KH.C1.1042","ENSCINT00000000621","KH2013:KH.C1.1042_F49F1.1"
"82","KH.C1.1042","ENSCINT00000023757","KH2013:KH.C1.1042_F49F1.1"
"83","KH.C1.1043","ENSCINT00000023840","MTF1"
"84","KH.C1.1044","ENSCINT00000003324","KH2013:KH.C1.1044_SLC7A6/7"
"85","KH.C1.1045","ENSCINT00000009976","KH2013:KH.C1.1045_LRRC15"
"86","KH.C1.1045","ENSCINT00000025416","KH2013:KH.C1.1045_LRRC15"
"87","KH.C1.1046","ENSCINT00000003554","EPB41L1/2/3"
"88","KH.C1.1046","ENSCINT00000003550","EPB41L1/2/3"
"89","KH.C1.1046","ENSCINT00000003558","EPB41L1/2/3"
"90","KH.C1.1047","ENSCINT00000003280","KH2013:KH.C1.1047"
"91","KH.C1.1048","ENSCINT00000015585","KH2013:KH.C1.1048"
"92","KH.C1.1049","ENSCINT00000000852","CLDN14/17/2/20"
"93","KH.C1.1049","ENSCINT00000025313","CLDN14/17/2/20"
"94","KH.C1.105","ENSCINT00000023654","CCDC51"
"95","KH.C1.105","ENSCINT00000027589","CCDC51"
"96","KH.C1.1051","ENSCINT00000009721","KH2013:KH.C1.1051_GPR112"
"97","KH.C1.1051","ENSCINT00000023655","KH2013:KH.C1.1051_GPR112"
"98","KH.C1.1051","ENSCINT00000029430","KH2013:KH.C1.1051_GPR112"
"99","KH.C1.1054","ENSCINT00000010930","CEP85"
"100","KH.C1.1056","ENSCINT00000020377","GRB10/14/7"
"101","KH.C1.1056","ENSCINT00000006852","GRB10/14/7"
"102","KH.C1.1057","ENSCINT00000029197","XPNPEP1"
"103","KH.C1.1057","ENSCINT00000015218","XPNPEP1"
"104","KH.C1.1057","ENSCINT00000024021","XPNPEP1"
"105","KH.C1.1057","ENSCINT00000024020","XPNPEP1"
"106","KH.C1.1058","ENSCINT00000023979","KH2013:KH.C1.1058_NUP214"
"107","KH.C1.1059","ENSCINT00000023993","IRAK1/3"
"108","KH.C1.1059","ENSCINT00000016221","IRAK1/3"
"109","KH.C1.1060","ENSCINT00000019956","KH2013:KH.C1.1060_SLC19A2/3"
"110","KH.C1.1061","ENSCINT00000010936","KH2013:KH.C1.1061_TRIM2"
"111","KH.C1.1062","ENSCINT00000005438","KH2013:KH.C1.1062"
"112","KH.C1.1063","ENSCINT00000016224","KH2013:KH.C1.1063_MUP1/3"
"113","KH.C1.1063","ENSCINT00000016223","KH2013:KH.C1.1063_MUP1/3"
"114","KH.C1.1063","ENSCINT00000016227","KH2013:KH.C1.1063_MUP1/3"
"115","KH.C1.1063","ENSCINT00000016229","KH2013:KH.C1.1063_MUP1/3"
"116","KH.C1.1063","ENSCINT00000016230","KH2013:KH.C1.1063_MUP1/3"
"117","KH.C1.1063","ENSCINT00000016234","KH2013:KH.C1.1063_MUP1/3"
"118","KH.C1.1064","ENSCINT00000004244","KDELC1/2"
"119","KH.C1.1064","ENSCINT00000004249","KDELC1/2"
"120","KH.C1.1064","ENSCINT00000004258","KDELC1/2"
"121","KH.C1.1064","ENSCINT00000004250","KDELC1/2"
"122","KH.C1.1065","ENSCINT00000018499","ESYT1/2/3"
"123","KH.C1.1065","ENSCINT00000025387","ESYT1/2/3"
"124","KH.C1.1065","ENSCINT00000025386","ESYT1/2/3"
"125","KH.C1.1066","ENSCINT00000025476","CDR-1"
"126","KH.C1.1066","ENSCINT00000025477","CDR-1"
"127","KH.C1.1067","ENSCINT00000025456","FRQ1/2"
"128","KH.C1.1067","ENSCINT00000025457","FRQ1/2"
"129","KH.C1.1068","ENSCINT00000025326","MFHAS1"
"130","KH.C1.107","ENSCINT00000015488","KH2013:KH.C1.107_BHMT/2"
"131","KH.C1.1070","ENSCINT00000014305","4930415O20RIK"
"132","KH.C1.1072","ENSCINT00000025357","KH2013:KH.C1.1072"
"133","KH.C1.1073","ENSCINT00000023852","KH2013:KH.C1.1073_TMED6"
"134","KH.C1.1074","ENSCINT00000003578","KH2013:KH.C1.1074_TRAF7"
"135","KH.C1.1074","ENSCINT00000003580","KH2013:KH.C1.1074_TRAF7"
"136","KH.C1.1074","ENSCINT00000003574","KH2013:KH.C1.1074_TRAF7"
"137","KH.C1.1075","ENSCINT00000002483","EME1/2"
"138","KH.C1.1076","ENSCINT00000023934","DYM"
"139","KH.C1.1076","ENSCINT00000016136","DYM"
"140","KH.C1.1077","ENSCINT00000009366","SDF4"
"141","KH.C1.1077","ENSCINT00000025300","SDF4"
"142","KH.C1.1077","ENSCINT00000009369","SDF4"
"143","KH.C1.1079","ENSCINT00000016341","DUSP1/2/4/5"
"144","KH.C1.1079","ENSCINT00000023853","DUSP1/2/4/5"
"145","KH.C1.1080","ENSCINT00000010798","KH2013:KH.C1.1080_VWF"
"146","KH.C1.1081","ENSCINT00000012415","DIS3"
"147","KH.C1.1082","ENSCINT00000018460","MSS51"
"148","KH.C1.1083","ENSCINT00000021164","KH2013:KH.C1.1083_EPHA10/2/3/4/5/6/7/8"
"149","KH.C1.1083","ENSCINT00000025459","KH2013:KH.C1.1083_EPHA10/2/3/4/5/6/7/8"
"150","KH.C1.1083","ENSCINT00000006617","KH2013:KH.C1.1083_EPHA10/2/3/4/5/6/7/8"
"151","KH.C1.1085","ENSCINT00000025317","ATRN"
"152","KH.C1.1087","ENSCINT00000023614","KH2013:KH.C1.1087_BHMT/2"
"153","KH.C1.1088","ENSCINT00000015579","KH2013:KH.C1.1088"
"154","KH.C1.109","ENSCINT00000010942","CCDC15"
"155","KH.C1.1092","ENSCINT00000027993","MRS2"
"156","KH.C1.1092","ENSCINT00000001055","MRS2"
"157","KH.C1.1092","ENSCINT00000001056","MRS2"
"158","KH.C1.1093","ENSCINT00000003904","KH2013:KH.C1.1093_ZAN"
"159","KH.C1.1093","ENSCINT00000000171","KH2013:KH.C1.1093_ZAN"
"160","KH.C1.1094","ENSCINT00000004225","KH2013:KH.C1.1094_ABAT"
"161","KH.C1.1094","ENSCINT00000004217","KH2013:KH.C1.1094_ABAT"
"162","KH.C1.1095","ENSCINT00000016324","DLD"
